# metadata,value
mode,qcl
fudge_factor,1
cycles,1
cycles_completed,1
integration_time,4
on_start,0.1
on_stop,0.3
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.008),Counts_TL2(0.010),Counts_TL3(0.012),DCounts_TL1(0.008),DCounts_TL2(0.010),DCounts_TL3(0.012),ClicksOn_TL1(0.008),ClicksOn_TL2(0.010),ClicksOn_TL3(0.012),ClicksOff_TL1(0.008),ClicksOff_TL2(0.010),ClicksOff_TL3(0.012)
0.0039,-1782.3129251700684,45.493197278911566,-8.503401360544219,15969.812925170068,79.50680272108843,8.503401360544219,227.0,2.0,0.0,37561.0,187.0,20.0
0.0078,-899.2346938775518,41.66666666666666,-12.329931972789117,15524.234693877552,83.33333333333334,12.329931972789117,234.0,2.0,0.0,36513.0,196.0,29.0
0.0118,-1698.5544217687075,54.42176870748298,-8.078231292517007,15511.054421768707,70.57823129251702,8.078231292517007,221.0,2.0,0.0,36482.0,166.0,19.0
0.0157,-67.17687074830064,-79.93197278911565,-9.35374149659864,15567.1768707483,79.93197278911565,9.35374149659864,248.0,0.0,0.0,36614.0,188.0,22.0
0.0196,488.5204081632637,-25.935374149659864,-10.629251700680273,15448.979591836736,88.43537414965986,10.629251700680273,255.0,1.0,0.0,36336.0,208.0,25.0
0.0235,842.6870748299316,105.86734693877551,-12.329931972789117,15594.812925170068,81.63265306122449,12.329931972789117,263.0,3.0,0.0,36679.0,192.0,29.0
0.0275,66.32653061224482,35.71428571428571,-20.408163265306122,15558.673469387755,89.28571428571429,20.408163265306122,250.0,2.0,0.0,36594.0,210.0,48.0
0.0314,4936.224489795917,358.4183673469388,55.697278911564624,15751.275510204083,79.08163265306123,6.802721088435375,331.0,7.0,1.0,37047.0,186.0,16.0
0.0353,21118.197278911564,2105.4421768707484,238.0952380952381,15694.302721088436,82.0578231292517,11.904761904761905,589.0,35.0,4.0,36913.0,193.0,28.0
0.0392,48811.22448979592,13165.391156462585,2926.0204081632655,15688.775510204083,84.60884353741497,11.479591836734695,1032.0,212.0,47.0,36900.0,199.0,27.0
0.0431,123414.1156462585,52896.683673469386,17858.843537414967,15898.384353741498,103.31632653061224,16.156462585034014,2229.0,848.0,286.0,37393.0,243.0,38.0
0.0471,229122.87414965985,138468.11224489796,64834.183673469386,16002.125850340137,156.8877551020408,40.816326530612244,3922.0,2218.0,1038.0,37637.0,369.0,96.0
0.051,324339.28571428574,260539.54081632654,167663.69047619047,16223.214285714286,210.4591836734694,86.30952380952381,5449.0,4172.0,2684.0,38157.0,495.0,203.0
0.0549,382674.7448979592,356671.768707483,295745.7482993197,16387.755102040817,328.2312925170068,191.7517006802721,6385.0,5712.0,4735.0,38544.0,772.0,451.0
0.0588,434706.63265306124,410914.5408163265,378635.20408163266,16168.367346938776,397.9591836734694,302.2959183673469,7214.0,6581.0,6063.0,38028.0,936.0,711.0
0.0627,457796.768707483,447936.64965986396,431537.4149659864,16390.731292517008,500.85034013605446,400.0850340136055,7587.0,7175.0,6911.0,38551.0,1178.0,941.0
0.0667,488050.1700680272,474313.7755102041,454454.9319727891,16137.32993197279,498.7244897959184,482.5680272108844,8067.0,7597.0,7279.0,37955.0,1173.0,1135.0
0.0706,502803.1462585034,497985.5442176871,484232.14285714284,16134.3537414966,576.9557823129252,517.8571428571429,8303.0,7977.0,7756.0,37948.0,1357.0,1218.0
0.0745,520105.86734693876,511792.0918367347,514130.95238095237,16019.132653061226,645.4081632653061,556.547619047619,8578.0,8199.0,8235.0,37677.0,1518.0,1309.0
0.0784,527144.9829931973,531680.6972789116,521315.9013605442,16230.017006802722,694.3027210884354,621.5986394557824,8694.0,8518.0,8351.0,38173.0,1633.0,1462.0
0.0824,528511.9047619047,540142.0068027211,539464.7108843537,16238.095238095239,795.4931972789116,722.7891156462586,8716.0,8655.0,8643.0,38192.0,1871.0,1700.0
0.0863,556020.8333333334,565518.7074829933,554067.6020408163,16354.166666666668,1043.7925170068029,932.3979591836735,9158.0,9065.0,8880.0,38465.0,2455.0,2193.0
0.0902,571615.6462585034,578961.3095238095,564159.4387755102,17009.3537414966,1726.1904761904764,1590.561224489796,9418.0,9291.0,9052.0,40006.0,4060.0,3741.0
0.0941,598402.6360544218,598886.0544217688,584987.6700680272,18972.363945578232,3738.9455782312925,3762.3299319727894,9878.0,9642.0,9420.0,44623.0,8794.0,8849.0
0.098,632556.1224489796,628394.9829931973,624174.7448979592,24943.87755102041,9792.517006802722,9700.255102040817,10520.0,10211.0,10142.0,58668.0,23032.0,22815.0
0.102,758073.1292517007,728585.4591836735,713522.1088435374,44176.87074829932,28852.04081632653,28915.391156462585,12836.0,12119.0,11879.0,103904.0,67860.0,68009.0
0.1059,1002598.2142857143,1078729.5918367347,1003420.4931972789,115964.28571428572,99582.90816326531,99204.5068027211,17897.0,18853.0,17642.0,272748.0,234219.0,233329.0
0.1098,765465.9863945576,747767.857142857,765634.3537414966,1404471.5136054424,1387732.142857143,1367053.1462585034,34719.0,34168.0,34123.0,3303317.0,3263946.0,3215309.0
0.1078,1349925.5952380951,1365687.0748299318,1367710.4591836734,260886.90476190476,247687.92517006805,247602.04081632654,25773.0,25814.0,25845.0,613606.0,582562.0,582360.0
