# metadata,value
mode,qcl
fudge_factor,1
cycles,8
cycles_completed,8
integration_time,4
on_start,0.01
on_stop,0.048
on_dcr_start,0.048
on_dcr_stop,0.048
off_start,0.12
off_stop,2

Bias_Current,Counts_TL1(0.012),Counts_TL2(0.014),Counts_TL3(0.016),CountsOnDcr_TL1(0.012),CountsOnDcr_TL2(0.014),CountsOnDcr_TL3(0.016),DCounts_TL1(0.012),DCounts_TL2(0.014),DCounts_TL3(0.016),ClicksOn_TL1(0.012),ClicksOn_TL2(0.014),ClicksOn_TL3(0.016),ClicksOnDcr_TL1(0.012),ClicksOnDcr_TL2(0.014),ClicksOnDcr_TL3(0.016),ClicksOff_TL1(0.012),ClicksOff_TL2(0.014),ClicksOff_TL3(0.016)
0.0794,66626.59807764091,67501.3706140351,68500.42430711086,,,,7270.057624113475,1145.8333333333333,962.2949911347517,10783.0,10017.0,10136.0,0.0,0.0,0.0,52484.0,8272.0,6947.0
0.0814,68552.25247293766,68768.8751049832,67736.9485465659,,,,7640.181737588653,1605.3025265957447,1383.1172429078015,11118.0,10269.0,10086.0,0.0,0.0,0.0,55156.0,11589.0,9985.0
0.0833,69939.45968645017,70027.9371967152,69004.43845651363,,,,8329.454787234043,2319.924645390071,2130.429964539007,11421.0,10557.0,10380.0,0.0,0.0,0.0,60132.0,16748.0,15380.0
0.0853,70419.63390024264,70214.98226950354,68945.63328200822,,,,9548.841976950354,3613.142730496454,3367.963209219858,11669.0,10773.0,10552.0,0.0,0.0,0.0,68935.0,26084.0,24314.0
0.0873,71715.30159341173,71956.53695408735,70858.65324048152,,,,11720.827792553191,5743.572695035461,5498.254654255319,12175.0,11338.0,11142.0,0.0,0.0,0.0,84615.0,41464.0,39693.0
0.0892,72022.37017077269,73751.82991554684,74025.12160554313,,,,15765.458776595746,9656.887189716312,9397.301640070922,12810.0,12171.0,12173.0,0.0,0.0,0.0,113814.0,69715.0,67841.0
0.0912,75964.41652668906,78311.81906728257,78439.59966405376,,,,22651.26329787234,16301.667774822696,15920.323581560284,14390.0,13806.0,13769.0,0.0,0.0,0.0,163524.0,117685.0,114932.0
0.0931,85939.11849104143,93204.86013904442,98194.04103676746,,,,36148.326684397165,29704.95345744681,29040.059840425532,17815.0,17935.0,18566.0,0.0,0.0,0.0,260962.0,214446.0,209646.0
0.0951,171154.60380505788,173639.81867067935,173752.00488755136,,,,65872.53435283688,58891.70545212766,57635.05651595745,34587.0,33931.0,33764.0,0.0,0.0,0.0,475547.0,425151.0,416079.0
0.0971,288916.23069475556,260662.77208146697,239030.73529068683,,,,187241.93816489363,174315.29809397162,165087.95988475176,69481.0,63472.0,58969.0,0.0,0.0,0.0,1351737.0,1258417.0,1191803.0
0.099,239331.35906588286,221000.75237961928,195092.74974337453,,,,1098703.1804078014,1055527.4822695036,964522.1077127659,195246.0,186271.0,169211.0,0.0,0.0,0.0,7931758.0,7620064.0,6963078.0
0.101,-45422.90733482642,-45598.26573581528,-37320.697438409785,,,,2537493.905141844,2337915.974069149,2107523.548315603,363643.0,334495.0,302084.0,0.0,0.0,0.0,18318676.0,16877883.0,15214634.0
0.1029,-44914.94902482256,-33230.427923199255,-28647.517438876443,,,,2889315.9906914895,2609950.5485372343,2289235.510859929,415055.0,375995.0,329865.0,0.0,0.0,0.0,20858550.0,18841755.0,16526449.0
0.1049,-33860.560435330495,-27317.5041993279,-8176.383445315529,,,,3066844.3871897166,2698678.52393617,2297615.8023049645,442573.0,389805.0,334075.0,0.0,0.0,0.0,22140163.0,19482300.0,16586948.0
0.1069,-30162.643768663518,-12083.799925345462,6838.26316955965,,,,3156245.428856383,2702804.7429078016,2232930.1030585105,456158.0,392630.0,326827.0,0.0,0.0,0.0,22785567.0,19512088.0,16119969.0
0.1088,-14465.781308324076,3568.4665453527123,20084.044886151794,,,,3179796.0992907803,2649693.594858156,2104203.235815603,461885.0,387164.0,309976.0,0.0,0.0,0.0,22955584.0,19128668.0,15190664.0
0.1078,-23122.827430944424,-3797.490318215918,16331.835864594672,,,,3175158.1892730496,2684485.53856383,2176561.5303634754,459945.0,391166.0,319987.0,0.0,0.0,0.0,22922102.0,19379838.0,15713033.0
