# metadata,value
mode,qcl
fudge_factor,1
cycles,8
cycles_completed,8
integration_time,2
on_start,0.1
on_stop,0.3
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.008),Counts_TL2(0.010),Counts_TL3(0.012),Counts_TL4(0.014),DCounts_TL1(0.008),DCounts_TL2(0.010),DCounts_TL3(0.012),DCounts_TL4(0.014),ClicksOn_TL1(0.008),ClicksOn_TL2(0.010),ClicksOn_TL3(0.012),ClicksOn_TL4(0.014),ClicksOff_TL1(0.008),ClicksOff_TL2(0.010),ClicksOff_TL3(0.012),ClicksOff_TL4(0.014)
0.0029,20975.552721088436,30.87797619047619,0.0,0.0,626.0097789115647,0.37202380952380953,0.0,0.0,5530.0,8.0,0.0,0.0,23558.0,14.0,0.0,0.0
0.0049,21051.020408163266,23.09204931972789,0.0,0.0,624.7608418367347,0.34545068027210885,0.0,0.0,5549.0,6.0,0.0,0.0,23511.0,13.0,0.0,0.0
0.0069,21083.70535714286,22.906037414965986,0.0,0.0,623.3258928571429,0.5314625850340137,0.0,0.0,5557.0,6.0,0.0,0.0,23457.0,20.0,0.0,0.0
0.0088,21575.01594387755,23.038903061224488,0.0,0.0,624.202806122449,0.3985969387755102,0.0,0.0,5683.0,6.0,0.0,0.0,23490.0,15.0,0.0,0.0
0.0108,21235.437925170067,34.78422619047619,0.0,0.0,627.843324829932,0.37202380952380953,0.0,0.0,5597.0,9.0,0.0,0.0,23627.0,14.0,0.0,0.0
0.0127,21311.809098639456,54.262329931972786,-0.07971938775510204,0.0,629.5971513605442,0.4251700680272109,0.07971938775510204,0.0,5617.0,14.0,0.0,0.0,23693.0,16.0,3.0,0.0
0.0147,21625.239158163266,30.82482993197279,0.0,0.0,636.4795918367347,0.4251700680272109,0.0,0.0,5699.0,8.0,0.0,0.0,23952.0,16.0,0.0,0.0
0.0167,21436.755952380954,23.251488095238095,0.0,0.0,633.5565476190477,0.18601190476190477,0.0,0.0,5650.0,6.0,0.0,0.0,23842.0,7.0,0.0,0.0
0.0186,21428.730867346938,34.78422619047619,0.0,0.0,625.9566326530612,0.37202380952380953,0.0,0.0,5646.0,9.0,0.0,0.0,23556.0,14.0,0.0,0.0
0.0206,21322.54464285714,38.531037414965986,0.0,0.0,622.7678571428572,0.5314625850340137,0.0,0.0,5618.0,10.0,0.0,0.0,23436.0,20.0,0.0,0.0
0.0225,20564.413265306124,42.62329931972789,0.0,0.0,619.1804846938776,0.34545068027210885,0.0,0.0,5423.0,11.0,0.0,0.0,23301.0,13.0,0.0,0.0
0.0245,21627.97619047619,19.026360544217688,0.0,0.0,618.1175595238095,0.5048894557823129,0.0,0.0,5695.0,5.0,0.0,0.0,23261.0,19.0,0.0,0.0
0.0265,21523.251488095237,19.079506802721088,0.0,0.0,617.3735119047619,0.4517431972789116,0.0,0.0,5668.0,5.0,0.0,0.0,23233.0,17.0,0.0,0.0
0.0284,21650.350765306124,11.213860544217686,0.0,0.0,630.8992346938776,0.5048894557823129,0.0,0.0,5704.0,3.0,0.0,0.0,23742.0,19.0,0.0,0.0
0.0304,21796.39668367347,30.87797619047619,0.0,0.0,621.5720663265306,0.37202380952380953,0.0,0.0,5739.0,8.0,0.0,0.0,23391.0,14.0,0.0,0.0
0.0324,21181.73363095238,26.99829931972789,0.0,0.0,622.953869047619,0.34545068027210885,0.0,0.0,5582.0,7.0,0.0,0.0,23443.0,13.0,0.0,0.0
0.0343,21678.225977891158,65.98107993197279,15.625,3.826530612244898,614.7427721088436,0.4251700680272109,0.0,0.07971938775510204,5707.0,17.0,4.0,1.0,23134.0,16.0,0.0,3.0
