# metadata,value
mode,qcl
fudge_factor,1
cycles,2
cycles_completed,1
integration_time,2
on_start,0.1
on_stop,0.3
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.008),Counts_TL2(0.010),Counts_TL3(0.012),Counts_TL4(0.014),DCounts_TL1(0.008),DCounts_TL2(0.010),DCounts_TL3(0.012),DCounts_TL4(0.014),ClicksOn_TL1(0.008),ClicksOn_TL2(0.010),ClicksOn_TL3(0.012),ClicksOn_TL4(0.014),ClicksOff_TL1(0.008),ClicksOff_TL2(0.010),ClicksOff_TL3(0.012),ClicksOff_TL4(0.014)
0.0029,17367.559523809523,30.82482993197279,0.0,0.0,507.4404761904762,0.4251700680272109,0.0,0.0,572.0,1.0,0.0,0.0,2387.0,2.0,0.0,0.0
0.0049,19342.049319727892,30.82482993197279,0.0,0.0,501.70068027210885,0.4251700680272109,0.0,0.0,635.0,1.0,0.0,0.0,2360.0,2.0,0.0,0.0
0.0069,19805.272108843536,-0.21258503401360546,0.0,0.0,538.4778911564626,0.21258503401360546,0.0,0.0,651.0,0.0,0.0,0.0,2533.0,1.0,0.0,0.0
0.0088,18829.506802721087,-0.6377551020408163,0.0,0.0,514.2431972789116,0.6377551020408163,0.0,0.0,619.0,0.0,0.0,0.0,2419.0,3.0,0.0,0.0
0.0108,19393.28231292517,-0.4251700680272109,0.0,0.0,512.96768707483,0.4251700680272109,0.0,0.0,637.0,0.0,0.0,0.0,2413.0,2.0,0.0,0.0
0.0127,19089.285714285714,31.037414965986393,0.0,0.0,535.7142857142858,0.21258503401360546,0.0,0.0,628.0,1.0,0.0,0.0,2520.0,1.0,0.0,0.0
0.0147,21569.302721088436,-0.21258503401360546,0.0,0.0,524.4472789115647,0.21258503401360546,0.0,0.0,707.0,0.0,0.0,0.0,2467.0,1.0,0.0,0.0
0.0167,19575.255102040817,31.25,0.0,0.0,518.4948979591837,0.0,0.0,0.0,643.0,1.0,0.0,0.0,2439.0,0.0,0.0,0.0
0.0186,20303.146258503402,30.82482993197279,0.0,0.0,540.6037414965987,0.4251700680272109,0.0,0.0,667.0,1.0,0.0,0.0,2543.0,2.0,0.0,0.0
0.0206,21217.049319727892,-0.21258503401360546,0.0,0.0,532.9506802721089,0.21258503401360546,0.0,0.0,696.0,0.0,0.0,0.0,2507.0,1.0,0.0,0.0
0.0225,21274.23469387755,31.25,0.0,0.0,569.515306122449,0.0,0.0,0.0,699.0,1.0,0.0,0.0,2679.0,0.0,0.0,0.0
0.0245,19638.180272108842,31.037414965986393,0.0,0.0,518.0697278911565,0.21258503401360546,0.0,0.0,645.0,1.0,0.0,0.0,2437.0,1.0,0.0,0.0
0.0265,19773.809523809523,-0.21258503401360546,0.0,0.0,538.6904761904763,0.21258503401360546,0.0,0.0,650.0,0.0,0.0,0.0,2534.0,1.0,0.0,0.0
