# metadata,value
mode,qcl
fudge_factor,1
cycles,2
cycles_completed,1
integration_time,2
on_start,0.1
on_stop,0.3
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.008),Counts_TL2(0.010),Counts_TL3(0.012),Counts_TL4(0.014),DCounts_TL1(0.008),DCounts_TL2(0.010),DCounts_TL3(0.012),DCounts_TL4(0.014),ClicksOn_TL1(0.008),ClicksOn_TL2(0.010),ClicksOn_TL3(0.012),ClicksOn_TL4(0.014),ClicksOff_TL1(0.008),ClicksOff_TL2(0.010),ClicksOff_TL3(0.012),ClicksOff_TL4(0.014)
0.0029,20416.028911564626,30.39965986394558,0.0,0.0,802.7210884353742,0.8503401360544218,0.0,0.0,679.0,1.0,0.0,0.0,3776.0,4.0,0.0,0.0
0.0049,23461.947278911564,92.68707482993197,0.0,0.0,819.3027210884354,1.0629251700680273,0.0,0.0,777.0,3.0,0.0,0.0,3854.0,5.0,0.0,0.0
0.0069,20294.430272108842,-1.7006802721088436,0.0,0.0,861.8197278911565,1.7006802721088436,0.0,0.0,677.0,0.0,0.0,0.0,4054.0,8.0,0.0,0.0
0.0088,22193.45238095238,-0.8503401360544218,0.0,0.0,837.7976190476192,0.8503401360544218,0.0,0.0,737.0,0.0,0.0,0.0,3941.0,4.0,0.0,0.0
0.0108,23248.086734693876,31.037414965986393,0.0,0.0,845.6632653061225,0.21258503401360546,0.0,0.0,771.0,1.0,0.0,0.0,3978.0,1.0,0.0,0.0
0.0127,20071.215986394556,61.43707482993197,0.0,0.0,772.5340136054422,1.0629251700680273,0.0,0.0,667.0,2.0,0.0,0.0,3634.0,5.0,0.0,0.0
0.0147,20251.275510204083,-0.6377551020408163,0.0,0.0,811.2244897959184,0.6377551020408163,0.0,0.0,674.0,0.0,0.0,0.0,3816.0,3.0,0.0,0.0
0.0167,20309.52380952381,30.187074829931973,0.0,0.0,721.7261904761905,1.0629251700680273,0.0,0.0,673.0,1.0,0.0,0.0,3395.0,5.0,0.0,0.0
0.0186,22475.97789115646,-0.4251700680272109,0.0,0.0,836.5221088435375,0.4251700680272109,0.0,0.0,746.0,0.0,0.0,0.0,3935.0,2.0,0.0,0.0
0.0206,21933.673469387755,62.074829931972786,0.0,0.0,785.0765306122449,0.4251700680272109,0.0,0.0,727.0,2.0,0.0,0.0,3693.0,2.0,0.0,0.0
0.0225,18259.99149659864,62.074829931972786,0.0,0.0,708.7585034013606,0.4251700680272109,0.0,0.0,607.0,2.0,0.0,0.0,3334.0,2.0,0.0,0.0
0.0245,19094.812925170067,61.224489795918366,0.0,0.0,717.687074829932,1.2755102040816326,0.0,0.0,634.0,2.0,0.0,0.0,3376.0,6.0,0.0,0.0
0.0265,20774.022108843536,31.037414965986393,0.0,0.0,725.9778911564626,0.21258503401360546,0.0,0.0,688.0,1.0,0.0,0.0,3415.0,1.0,0.0,0.0
0.0284,19739.37074829932,61.86224489795919,0.0,0.0,823.1292517006804,0.6377551020408163,0.0,0.0,658.0,2.0,0.0,0.0,3872.0,3.0,0.0,0.0
0.0304,20436.437074829933,31.037414965986393,0.0,0.0,782.3129251700681,0.21258503401360546,0.0,0.0,679.0,1.0,0.0,0.0,3680.0,1.0,0.0,0.0
0.0324,20984.69387755102,30.82482993197279,0.0,31.25,702.8061224489796,0.4251700680272109,0.0,0.0,694.0,1.0,0.0,1.0,3306.0,2.0,0.0,0.0
0.0343,20318.664965986394,62.074829931972786,0.0,0.0,743.8350340136055,0.4251700680272109,0.0,0.0,674.0,2.0,0.0,0.0,3499.0,2.0,0.0,0.0
0.0363,19827.593537414967,92.47448979591837,62.5,0.0,797.4064625850341,1.2755102040816326,0.0,0.0,660.0,3.0,2.0,0.0,3751.0,6.0,0.0,0.0
0.0382,23907.100340136054,466.41156462585036,93.75,0.0,905.3996598639457,2.33843537414966,0.0,0.0,794.0,15.0,3.0,0.0,4259.0,11.0,0.0,0.0
0.0402,24433.248299319726,686.2244897959183,250.0,187.5,879.2517006802722,1.2755102040816326,0.0,0.0,810.0,22.0,8.0,6.0,4136.0,6.0,0.0,0.0
0.0422,23822.066326530614,1404.7619047619048,562.2874149659864,218.75,896.6836734693878,1.4880952380952381,0.21258503401360546,0.0,791.0,45.0,18.0,7.0,4218.0,7.0,1.0,0.0
0.0441,32929.84693877551,2529.3367346938776,1249.5748299319728,750.0,1163.9030612244899,1.9132653061224492,0.4251700680272109,0.0,1091.0,81.0,40.0,24.0,5475.0,9.0,2.0,0.0
0.0461,33190.901360544216,4404.336734693878,2530.824829931973,593.1122448979592,1184.0986394557824,1.9132653061224492,0.4251700680272109,0.6377551020408163,1100.0,141.0,81.0,19.0,5570.0,9.0,2.0,3.0
0.048,30114.583333333332,5623.299319727891,3780.824829931973,1500.0,1010.4166666666667,1.7006802721088436,0.4251700680272109,0.0,996.0,180.0,121.0,48.0,4753.0,8.0,2.0,0.0
0.05,,,,,,,,,,,,,,,,
0.052,,,,,,,,,,,,,,,,
0.0539,,,,,,,,,,,,,,,,
0.0559,,,,,,,,,,,,,,,,
0.0578,,,,,,,,,,,,,,,,
0.0598,,,,,,,,,,,,,,,,
0.0618,,,,,,,,,,,,,,,,
0.0637,,,,,,,,,,,,,,,,
0.0657,,,,,,,,,,,,,,,,
0.0676,,,,,,,,,,,,,,,,
0.0696,,,,,,,,,,,,,,,,
0.0716,,,,,,,,,,,,,,,,
0.0735,,,,,,,,,,,,,,,,
0.0755,,,,,,,,,,,,,,,,
0.0775,,,,,,,,,,,,,,,,
0.0794,,,,,,,,,,,,,,,,
0.0814,,,,,,,,,,,,,,,,
0.0833,,,,,,,,,,,,,,,,
0.0853,,,,,,,,,,,,,,,,
0.0873,,,,,,,,,,,,,,,,
0.0892,,,,,,,,,,,,,,,,
0.0912,,,,,,,,,,,,,,,,
0.0931,,,,,,,,,,,,,,,,
0.0951,,,,,,,,,,,,,,,,
0.0971,,,,,,,,,,,,,,,,
0.099,,,,,,,,,,,,,,,,
0.101,,,,,,,,,,,,,,,,
0.1029,,,,,,,,,,,,,,,,
0.1049,,,,,,,,,,,,,,,,
0.1069,,,,,,,,,,,,,,,,
0.1088,,,,,,,,,,,,,,,,
0.1078,,,,,,,,,,,,,,,,
