# metadata,value
mode,qcl
fudge_factor,1
cycles,4
cycles_completed,4
integration_time,3.0
on_start,0.1
on_stop,0.3
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.008),Counts_TL2(0.010),Counts_TL3(0.012),Counts_TL4(0.014),DCounts_TL1(0.008),DCounts_TL2(0.010),DCounts_TL3(0.012),DCounts_TL4(0.014),ClicksOn_TL1(0.008),ClicksOn_TL2(0.010),ClicksOn_TL3(0.012),ClicksOn_TL4(0.014),ClicksOff_TL1(0.008),ClicksOff_TL2(0.010),ClicksOff_TL3(0.012),ClicksOff_TL4(0.014)
0.0275,125683.31916099772,5835.31746031746,111.04024943310657,5.048894557823129,23933.86833900227,1112.5992063492065,21.772250566893426,0.1594387755102041,57453.0,2668.0,51.0,2.0,1351019.0,62804.0,1229.0,9.0
0.0294,126076.5837585034,5970.308956916099,88.25821995464852,-0.33659297052154197,23725.499574829933,1100.0035430839005,21.116780045351476,0.33659297052154197,57524.0,2715.0,42.0,0.0,1339257.0,62093.0,1192.0,19.0
0.0314,125634.51318027212,5905.505952380952,108.34750566893425,-0.5314625850340137,23816.007653061228,1112.7232142857144,21.860827664399096,0.5314625850340137,57389.0,2695.0,50.0,0.0,1344366.0,62811.0,1234.0,30.0
0.0333,125391.88279478459,5693.700396825397,86.06150793650792,-0.40745464852607716,23793.013038548757,1100.5704365079366,20.7093253968254,0.40745464852607716,57287.0,2609.0,41.0,0.0,1343068.0,62125.0,1169.0,23.0
0.0353,126141.97137188209,5753.791099773243,154.38988095238093,-0.10629251700680273,23647.091128117918,1092.563066893424,20.089285714285715,0.10629251700680273,57519.0,2629.0,67.0,0.0,1334831.0,61673.0,1134.0,6.0
0.0373,126301.85303287982,5746.350623582766,85.74263038548752,2.48015873015873,23695.542800453517,1100.0035430839005,21.02820294784581,0.12400793650793653,57599.0,2629.0,41.0,1.0,1337566.0,62093.0,1187.0,7.0
0.0392,123825.66255668933,5796.130952380952,132.36961451247166,-0.12400793650793653,23551.941609977326,1086.6815476190477,21.27621882086168,0.12400793650793653,56593.0,2643.0,59.0,0.0,1329460.0,61341.0,1201.0,7.0
0.0412,125951.60147392288,6276.874291383219,163.93849206349208,10.186366213151928,23511.94019274377,1092.9173752834467,20.957341269841272,0.23030045351473927,57394.0,2830.0,71.0,4.0,1327202.0,61693.0,1183.0,13.0
0.0431,125506.2712585034,6439.23611111111,257.9719387755102,38.83219954648526,23587.4787414966,1094.6180555555557,20.673894557823132,0.23030045351473927,57252.0,2893.0,107.0,15.0,1331466.0,61789.0,1167.0,13.0
0.0451,126823.82015306121,6844.122023809524,543.1016156462584,93.5374149659864,23780.346513605444,1101.1904761904764,22.002551020408166,0.21258503401360546,57832.0,3051.0,217.0,36.0,1342353.0,62160.0,1242.0,12.0
0.0471,128699.35161564624,8152.97264739229,1126.700680272109,328.00099206349205,23772.00255102041,1089.2148526077099,21.73681972789116,0.12400793650793653,58549.0,3549.0,441.0,126.0,1341882.0,61484.0,1227.0,7.0
0.049,132370.7482993197,9779.141865079366,2134.6017573696145,760.0800736961451,23858.41836734694,1101.0664682539684,21.64824263038549,0.33659297052154197,59992.0,4178.0,828.0,292.0,1346760.0,62153.0,1222.0,19.0
0.051,131877.63959750565,11819.479875283447,3706.7743764172333,1840.7915249433106,23929.652069161002,1112.81179138322,22.39229024943311,0.3543083900226758,59830.0,4966.0,1432.0,707.0,1350781.0,62816.0,1264.0,20.0
0.0529,135303.85487528346,14553.677721088436,6308.017998866213,3319.621598639456,23849.79095804989,1118.1972789115648,22.711167800453516,0.6909013605442178,61115.0,6018.0,2431.0,1275.0,1346273.0,63120.0,1282.0,39.0
0.0549,138903.84070294784,17038.58418367347,8835.494614512472,5478.156887755103,23736.784297052156,1115.061649659864,23.880385487528347,1.009778911564626,62454.0,6971.0,3402.0,2104.0,1339894.0,62943.0,1348.0,57.0
0.0569,138777.31717687074,19252.81675170068,11701.282596371882,8367.931547619048,23863.307823129253,1111.7665816326532,22.67573696145125,1.860119047619048,62454.0,7820.0,4502.0,3214.0,1347036.0,62757.0,1280.0,105.0
0.0588,140021.02820294784,21399.216978458047,14526.679421768707,11614.494756235828,23952.93013038549,1113.8038548752836,22.799744897959187,2.6927437641723357,62966.0,8645.0,5587.0,4461.0,1352095.0,62872.0,1287.0,152.0
0.0608,144095.36210317462,23040.6214569161,16738.378684807256,15179.333191609976,23873.3878968254,1115.6285430839005,24.6421485260771,2.958475056689343,64500.0,9276.0,6437.0,5830.0,1347605.0,62975.0,1391.0,167.0
0.0627,145109.28642290249,24574.05045351474,18669.306264172337,17259.212018140588,24013.109410430843,1123.8662131519275,26.0062358276644,3.8088151927437646,64943.0,9868.0,7179.0,6629.0,1355492.0,63440.0,1468.0,215.0
0.0647,143516.42219387754,26249.36224489796,19842.757936507936,19811.259920634922,23876.80697278912,1107.4085884353742,24.429563492063494,3.844246031746032,64279.0,10505.0,7629.0,7609.0,1347798.0,62511.0,1379.0,217.0
0.0667,145952.75297619047,27592.067035147393,21618.923611111113,21539.965986394556,23706.101190476194,1105.8496315192745,24.305555555555557,4.304846938775511,65149.0,11020.0,8311.0,8273.0,1338162.0,62423.0,1372.0,243.0
