# metadata,value
mode,qcl
fudge_factor,1
cycles,4
cycles_completed,4
integration_time,3.0
on_start,0.1
on_stop,0.3
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(-0.008),Counts_TL2(-0.010),Counts_TL3(-0.012),Counts_TL4(-0.014),DCounts_TL1(-0.008),DCounts_TL2(-0.010),DCounts_TL3(-0.012),DCounts_TL4(-0.014),ClicksOn_TL1(-0.008),ClicksOn_TL2(-0.010),ClicksOn_TL3(-0.012),ClicksOn_TL4(-0.014),ClicksOff_TL1(-0.008),ClicksOff_TL2(-0.010),ClicksOff_TL3(-0.012),ClicksOff_TL4(-0.014)
0.0314,738.0598072562358,3.720238095238095,-0.1594387755102041,0.0,121.31519274376419,1.4880952380952384,0.1594387755102041,0.0,330.0,2.0,0.0,0.0,6848.0,84.0,9.0,0.0
0.0333,635.4166666666666,6.855867346938775,-0.053146258503401364,2.3384353741496597,117.18750000000001,0.9566326530612246,0.053146258503401364,0.26573129251700683,289.0,3.0,0.0,1.0,6615.0,54.0,3.0,15.0
0.0353,621.7403628117913,4.233985260770974,2.6041666666666665,2.568735827664399,115.2388038548753,0.9743480725623584,0.0,0.03543083900226758,283.0,2.0,1.0,1.0,6505.0,55.0,0.0,2.0
0.0373,633.343962585034,4.127692743764172,-0.26573129251700683,2.3738662131519273,116.656037414966,1.080640589569161,0.26573129251700683,0.23030045351473927,288.0,2.0,0.0,1.0,6585.0,61.0,15.0,13.0
0.0392,674.53231292517,12.294501133786849,5.066609977324263,-0.19486961451247167,117.13435374149661,0.7263321995464853,0.14172335600907032,0.19486961451247167,304.0,5.0,2.0,0.0,6612.0,41.0,8.0,11.0
0.0412,745.4648526077098,19.6109693877551,5.1020408163265305,5.0311791383219955,119.1184807256236,1.2223639455782314,0.10629251700680273,0.1771541950113379,332.0,8.0,2.0,2.0,6724.0,69.0,6.0,10.0
0.0431,796.3966836734694,63.98809523809524,2.391581632653061,4.924886621315192,120.26998299319729,1.1160714285714286,0.21258503401360546,0.28344671201814065,352.0,25.0,1.0,2.0,6789.0,63.0,12.0,16.0
0.0451,1001.6121031746032,84.50255102040816,12.666524943310659,-0.053146258503401364,118.17956349206351,1.4349489795918369,0.3543083900226758,0.053146258503401364,430.0,33.0,5.0,0.0,6671.0,81.0,20.0,3.0
0.0471,1714.6931689342402,352.8380102040816,54.28004535147392,5.1020408163265305,116.03599773242632,1.3286564625850341,0.40745464852607716,0.10629251700680273,703.0,136.0,21.0,2.0,6550.0,75.0,23.0,6.0
0.049,2869.84481292517,801.0558390022676,205.640589569161,28.504109977324262,119.73852040816328,1.0274943310657598,0.08857709750566894,0.14172335600907032,1148.0,308.0,79.0,11.0,6759.0,58.0,5.0,8.0
0.051,4615.256519274377,1818.611819727891,572.562358276644,88.43537414965986,119.1184807256236,1.7006802721088436,0.3543083900226758,0.10629251700680273,1818.0,699.0,220.0,34.0,6724.0,96.0,20.0,6.0
0.0529,7379.924886621315,3755.93466553288,1189.6435657596373,296.4675453514739,122.67928004535149,1.8778344671201816,0.46060090702947853,0.40745464852607716,2881.0,1443.0,457.0,114.0,6925.0,106.0,26.0,23.0
0.0549,9755.633503401361,5820.595946712018,2811.7913832199547,739.2467403628118,124.5748299319728,2.3207199546485264,0.7086167800453516,0.33659297052154197,3794.0,2236.0,1080.0,284.0,7032.0,131.0,40.0,19.0
0.0569,12629.446570294784,9160.235969387755,5139.3849206349205,1952.4872448979593,123.15759637188211,3.8265306122448983,1.2400793650793653,0.6377551020408164,4897.0,3519.0,1974.0,750.0,6952.0,216.0,70.0,36.0
0.0588,15067.655187074828,12155.204790249432,8425.347222222223,4043.5267857142853,125.05314625850342,3.6493764172335603,1.7361111111111114,0.7440476190476192,5834.0,4669.0,3236.0,1553.0,7059.0,206.0,98.0,42.0
0.0608,17242.152069161,15248.263888888889,11841.039540816326,6743.1264172335605,119.82709750566895,4.340277777777779,2.7104591836734695,1.6652494331065761,6667.0,5857.0,4548.0,2590.0,6764.0,245.0,153.0,94.0
0.0627,18941.22023809524,17378.29506802721,15126.948696145124,10552.01247165533,123.88392857142858,4.517431972789116,3.2596371882086173,2.675028344671202,7321.0,6675.0,5810.0,4053.0,6993.0,255.0,184.0,151.0
0.0647,20098.037131519275,19174.939767573695,17931.2641723356,14358.808106575963,123.3170351473923,4.747732426303855,3.6316609977324266,3.171060090702948,7765.0,7365.0,6887.0,5515.0,6961.0,268.0,205.0,179.0
0.0667,21821.72973356009,20892.67998866213,20334.591128117914,17509.353741496598,120.97859977324265,5.757511337868482,3.950538548752835,3.6670918367346945,8426.0,8025.0,7810.0,6725.0,6829.0,325.0,223.0,207.0
0.0686,22980.353599773243,22114.38846371882,21924.302012471657,20815.74192176871,123.81306689342405,5.403202947845806,5.3854875283446715,4.570578231292518,8872.0,8494.0,8421.0,7995.0,6989.0,305.0,304.0,258.0
0.0706,24266.26275510204,23621.350623582766,23305.342970521542,22906.604308390022,119.15391156462586,6.253543083900228,4.552862811791384,4.854024943310658,9364.0,9073.0,8951.0,8798.0,6726.0,353.0,257.0,274.0
0.0725,25289.22193877551,24870.78373015873,24260.18636621315,24734.21556122449,119.63222789115648,6.820436507936509,5.438633786848073,5.367772108843538,9757.0,9553.0,9318.0,9500.0,6753.0,385.0,307.0,303.0
0.0745,26270.76247165533,25489.1050170068,25860.880810657596,25798.327664399094,119.86252834467122,8.290816326530614,6.3066893424036286,6.35983560090703,10134.0,9791.0,9933.0,9909.0,6766.0,468.0,356.0,359.0
0.0765,27505.102040816328,27149.270124716553,26896.630527210884,26651.909722222223,122.50212585034015,6.979875283446713,7.0153061224489806,6.9444444444444455,10609.0,10428.0,10331.0,10237.0,6915.0,394.0,396.0,392.0
0.0784,28662.273242630385,28239.0695861678,27781.303146258502,27962.744472789116,124.18509070294786,8.32624716553288,7.759353741496599,8.609693877551022,11054.0,10847.0,10671.0,10741.0,7010.0,470.0,438.0,486.0
0.0804,29517.307964852604,28375.26573129252,29152.95493197279,28678.305697278913,125.92120181405897,10.150935374149661,8.503401360544219,9.194302721088436,11383.0,10900.0,11198.0,11016.0,7108.0,573.0,480.0,519.0
0.0824,30675.116921768706,29660.48398526077,30051.162131519275,29702.274659863942,126.96641156462587,11.391014739229027,11.337868480725625,11.26700680272109,11828.0,11394.0,11544.0,11410.0,7167.0,643.0,640.0,636.0
0.0843,31148.844954648524,30667.623299319726,30572.49149659864,30621.208900226757,132.40504535147394,14.668367346938778,13.446003401360546,14.2077664399093,12012.0,11782.0,11745.0,11764.0,7474.0,828.0,759.0,802.0
0.0863,31858.50694444444,31423.380810657596,32122.590702947848,31593.732284580496,136.28472222222223,19.327522675736965,18.034297052154198,18.2468820861678,12286.0,12074.0,12342.0,12139.0,7693.0,1091.0,1018.0,1030.0
0.0882,32606.91255668934,32600.729875283443,32725.48185941043,32587.744472789116,143.08744331065762,26.87429138321996,27.122307256235832,26.83886054421769,12576.0,12529.0,12577.0,12524.0,8077.0,1517.0,1531.0,1515.0
0.0902,33827.11522108843,33658.90731292517,32696.46400226757,32958.705357142855,157.25977891156464,41.61352040816327,40.515164399092974,41.29464285714286,13050.0,12941.0,12571.0,12672.0,8877.0,2349.0,2287.0,2331.0
0.0922,34674.231150793654,33857.7628968254,34560.44501133787,34181.70705782313,185.14384920634922,69.32043650793652,69.76332199546486,65.6887755102041,13386.0,13028.0,13298.0,13151.0,10451.0,3913.0,3938.0,3708.0
