Bias_Current,Counts_TL1(0.009),Counts_TL2(0.010),Counts_TL3(0.011),Counts_TL4(0.012),DCounts_TL1(0.009),DCounts_TL2(0.010),DCounts_TL3(0.011),DCounts_TL4(0.012)
0.3137,-95.59523809524035,1.7857142857142208,2.2380952380952124,1.0952380952380913,12353.333333333334,1500.0,193.0,28.666666666666668
0.3176,-168.85714285714494,78.09523809523785,-24.73809523809527,-3.1904761904761934,13001.0,1485.0,217.0,27.0
0.3216,93.80952380952112,-15.547619047619037,-6.952380952380992,-4.9523809523809526,13088.333333333334,1517.3333333333333,209.33333333333334,24.0
0.3255,-81.023809523811,31.023809523809405,19.428571428571416,-5.547619047619051,13234.0,1574.3333333333333,202.0,32.333333333333336
0.3294,-562.0952380952385,-1.5000000000002274,-0.4285714285714448,0.8571428571428541,13740.666666666666,1555.6666666666667,212.33333333333334,25.333333333333332
0.3333,-138.28571428571558,-17.690476190476375,21.88095238095235,1.5952380952380913,12215.666666666666,1479.0,193.0,24.0
0.3373,-149.78571428571558,-27.42857142857156,-7.404761904761926,1.2619047619047592,11873.0,1422.6666666666667,183.0,24.333333333333332
0.3412,-122.88095238095411,41.166666666666515,10.690476190476176,-7.047619047619051,11666.333333333334,1396.3333333333333,186.33333333333334,29.666666666666668
0.3451,-120.26190476190459,-64.85714285714289,5.666666666666629,5.523809523809518,12494.666666666666,1455.3333333333333,169.33333333333334,20.666666666666668
0.349,85.99999999999818,-27.35714285714289,-17.809523809523824,4.8571428571428505,12222.333333333334,1405.3333333333333,202.33333333333334,29.666666666666668
0.3529,-30.66666666666788,58.26190476190459,9.928571428571416,3.4761904761904745,11697.333333333334,1275.6666666666667,165.66666666666666,20.333333333333332
0.3569,-37.59523809523853,-46.78571428571445,-13.428571428571445,-2.571428571428573,10962.0,1345.0,175.33333333333334,24.0
0.3608,29.76190476190277,68.16666666666652,32.85714285714283,19.761904761904756,10858.333333333334,1261.0,143.33333333333334,26.666666666666668
0.3647,237.47619047619082,40.095238095238074,31.952380952380935,1.6904761904761862,11019.666666666666,1273.0,165.66666666666666,28.666666666666668
0.3686,361.5238095238092,61.30952380952385,21.095238095238074,0.8095238095238066,10939.666666666666,1283.3333333333333,183.66666666666666,31.333333333333332
0.3725,585.7619047619028,199.73809523809518,39.095238095238074,-1.190476190476197,11019.0,1291.3333333333333,190.66666666666666,33.333333333333336
0.3765,693.3571428571431,254.69047619047592,44.928571428571416,11.499999999999996,11153.666666666666,1325.6666666666667,180.66666666666666,17.666666666666668
0.3804,1190.666666666666,355.3809523809523,60.54761904761904,3.261904761904759,11226.0,1330.3333333333333,171.0,22.333333333333332
0.3843,1923.3809523809523,467.6904761904759,76.85714285714283,7.523809523809518,11045.666666666666,1221.0,166.0,27.0
0.3882,2289.4285714285706,561.1190476190475,104.11904761904756,26.880952380952376,10807.0,1307.3333333333333,189.33333333333334,21.333333333333332
0.3922,3269.619047619046,774.4285714285713,167.33333333333331,22.761904761904756,11061.333333333334,1430.3333333333333,191.0,23.666666666666668
0.3961,3950.0714285714257,1125.8571428571424,184.9047619047619,52.333333333333314,11374.333333333334,1408.6666666666667,218.66666666666666,22.666666666666668
0.4,5414.619047619044,1508.9285714285709,280.4047619047618,47.76190476190476,11666.333333333334,1491.6666666666667,210.66666666666666,32.0
0.4039,6924.095238095237,1942.6904761904757,410.5238095238094,62.02380952380951,12564.0,1671.0,249.0,43.333333333333336
0.4078,8710.38095238095,2581.9047619047615,525.5952380952381,76.35714285714286,13467.0,1930.0,316.6666666666667,45.666666666666664
0.4118,10288.95238095238,3014.2619047619046,651.5238095238094,105.73809523809521,14200.333333333334,2036.3333333333333,324.6666666666667,52.0
0.4157,12425.619047619044,3739.9523809523803,871.4047619047619,138.09523809523807,14338.666666666666,2207.6666666666665,361.3333333333333,50.0
0.4196,14652.28571428571,4745.738095238095,1058.0238095238094,195.6190476190476,14962.0,2353.6666666666665,405.6666666666667,60.333333333333336
0.4235,17333.214285714283,5488.190476190475,1299.0714285714284,211.9523809523809,15506.666666666666,2604.6666666666665,458.6666666666667,69.0
0.4275,20033.904761904763,6527.5714285714275,1419.0,265.07142857142856,16119.666666666666,2901.0,522.6666666666666,76.0
0.4314,23126.64285714285,7720.928571428571,1789.4047619047615,308.85714285714283,17176.333333333332,3296.3333333333335,585.0,84.0
0.4353,25913.023809523806,8709.02380952381,2045.071428571428,361.99999999999994,17392.333333333332,3429.6666666666665,654.3333333333334,113.0
0.4392,29087.476190476187,9893.809523809521,2329.428571428571,432.99999999999994,18436.333333333332,3838.3333333333335,758.6666666666666,125.33333333333333
0.4431,32636.595238095233,11380.40476190476,2679.666666666666,496.6190476190475,19272.333333333332,4160.666666666667,820.3333333333334,134.33333333333334
