Bias_Current,Counts_TL1(0.010),Counts_TL2(0.011),Counts_TL3(0.012),DCounts_TL1(0.010),DCounts_TL2(0.011),DCounts_TL3(0.012)
0.1765,601.4464285714239,775.5535714285706,860.0714285714284,30659.0,8017.75,1923.5
0.1804,576.2999999999956,910.7928571428556,852.2214285714285,26254.95,7081.35,2203.85
0.1843,811.2107142857094,892.7214285714272,903.9499999999994,28697.45,6898.35,2358.55
0.1882,749.682142857142,883.8714285714277,916.4821428571427,27195.05,7693.45,2974.5
0.1863,771.1214285714268,875.0357142857138,924.1607142857138,26912.45,7613.0,2730.75
