Bias_Current,Counts_TL1(0.010),Counts_TL2(0.011),Counts_TL3(0.012),DCounts_TL1(0.010),DCounts_TL2(0.011),DCounts_TL3(0.012)
0.0686,-106.78571428571377,-132.1428571428578,57.499999999999886,22063.333333333332,5241.666666666667,1013.3333333333334
0.0725,173.92857142856883,-0.11904761904861516,41.571428571428555,22110.0,5056.666666666667,1003.6666666666666
0.0765,-192.52380952380918,-38.714285714286234,83.21428571428555,21641.333333333332,4928.0,1015.0
0.0804,-20.857142857144936,114.57142857142844,69.33333333333326,21003.0,4939.0,1030.6666666666667
0.0843,260.3333333333285,171.52380952380827,123.0238095238094,21339.666666666668,5079.666666666667,1099.0
0.0882,-202.47619047619082,256.78571428571377,226.21428571428555,22437.0,5145.0,1113.6666666666667
0.0922,-296.35714285714494,295.69047619047524,187.85714285714266,21899.333333333332,5218.0,1171.6666666666667
0.0961,146.7619047619046,321.80952380952294,274.30952380952385,21916.333333333332,5302.0,1245.3333333333333
0.1,263.8809523809505,579.6904761904761,259.71428571428555,22401.0,5267.333333333333,1409.3333333333333
0.1039,801.261904761901,632.4047619047615,493.09523809523785,22207.666666666668,5717.0,1586.6666666666667
0.1078,648.9761904761872,661.8809523809523,745.1904761904761,23404.0,6511.333333333333,2322.6666666666665
0.1118,744.3333333333321,936.5,754.4523809523798,25222.333333333332,8592.666666666666,4480.666666666667
0.1157,2154.571428571424,1816.809523809523,2066.357142857142,28774.0,12073.666666666666,7930.666666666667
0.1196,5976.40476190476,5098.499999999998,5190.857142857141,31139.666666666668,14347.333333333334,10227.0
0.1235,7524.999999999996,6395.428571428571,6777.5952380952385,30583.333333333332,14359.333333333334,10039.666666666666
0.1275,7933.023809523809,8054.476190476189,8082.166666666666,30689.0,13077.666666666666,8863.666666666666
0.1314,7471.190476190477,8428.40476190476,7075.95238095238,27713.333333333332,10246.0,6605.0
0.1353,5240.357142857141,4647.999999999999,4896.499999999998,24865.0,8085.333333333333,3974.3333333333335
0.1392,3090.738095238092,3036.499999999999,3036.5476190476184,23792.0,6617.666666666667,2445.0
0.1431,1483.7142857142862,1866.4285714285706,1805.928571428571,22535.333333333332,5896.666666666667,1903.0
0.1471,1671.8095238095193,1325.0238095238092,1277.333333333333,21793.666666666668,5572.0,1681.0
0.151,937.3809523809505,972.5952380952376,949.1904761904761,22181.666666666668,5619.666666666667,1652.0
0.1549,890.9285714285688,913.1428571428569,886.452380952381,22559.666666666668,5627.333333333333,1590.3333333333333
0.1588,503.0714285714239,848.2380952380945,899.285714285714,21879.666666666668,5322.0,1498.3333333333333
0.1627,371.6190476190459,947.8571428571422,825.1666666666663,22201.0,5386.666666666667,1495.6666666666667
0.1667,724.4999999999964,673.0476190476184,829.9761904761904,22063.0,5587.666666666667,1523.0
0.1706,793.8809523809505,746.1904761904761,867.833333333333,21654.333333333332,5438.333333333333,1578.0
0.1745,746.8571428571413,718.1666666666661,837.7380952380952,21812.666666666668,5544.333333333333,1628.3333333333333
0.1784,467.8571428571413,840.6666666666661,861.9285714285713,21816.666666666668,5509.333333333333,1730.3333333333333
0.1824,975.9999999999964,791.3809523809523,861.5476190476186,21749.0,5719.333333333333,1961.6666666666667
0.1863,1189.452380952378,780.7142857142853,856.4761904761904,22470.666666666668,6213.333333333333,2409.0
0.1902,729.5714285714239,854.2380952380945,850.1904761904761,23140.666666666668,6899.333333333333,3067.6666666666665
0.1941,904.7857142857138,1031.2857142857129,891.0476190476184,24355.333333333332,8124.666666666667,4394.666666666667
0.198,902.8571428571377,983.2142857142844,1089.2857142857138,26356.666666666668,10298.333333333334,6533.333333333333
0.202,1118.1666666666642,786.4523809523798,950.1190476190477,30069.333333333332,14057.0,10351.666666666666
0.2059,606.4047619047633,1245.4285714285688,1237.5476190476147,36884.666666666664,20717.666666666668,16810.666666666668
0.2098,735.4523809523816,1059.6904761904734,991.9761904761872,47999.666666666664,31545.666666666668,27877.666666666668
0.2137,1057.6904761904734,434.0238095238019,731.6190476190459,64881.0,48796.333333333336,45066.0
0.2176,1118.5714285714203,1351.3095238095266,1558.3095238095266,91393.33333333333,75518.33333333333,72261.33333333333
0.2216,1351.809523809512,882.1904761904589,749.5714285714203,128380.33333333333,113294.0,108629.0
0.2255,-26.952380952396197,53.71428571426077,508.0476190476038,176387.66666666666,160382.0,156686.0
