Bias_Current,Counts_TL1(0.008),Counts_TL2(0.009),Counts_TL3(0.010),Counts_TL4(0.011),Counts_TL5(0.012),DCounts_TL1(0.008),DCounts_TL2(0.009),DCounts_TL3(0.010),DCounts_TL4(0.011),DCounts_TL5(0.012)
0.1843,64291.64285714278,59849.7857142857,59505.47619047618,58814.714285714275,58611.619047619046,267619.6666666667,46393.666666666664,7185.0,1954.3333333333333,1227.6666666666667
0.1882,60445.619047618995,60917.23809523809,59843.666666666664,59496.04761904762,59059.19047619047,246652.0,44603.0,7481.333333333333,2264.6666666666665,1492.0
0.1922,61534.83333333334,61143.547619047604,60212.42857142857,60187.30952380951,59696.690476190466,237227.66666666666,44563.0,7675.666666666667,2707.3333333333335,2025.3333333333333
0.1961,65511.57142857139,62131.14285714285,60720.7619047619,60481.16666666666,59969.5238095238,237683.66666666666,44292.666666666664,8400.666666666666,3623.0,2890.0
0.2,66281.88095238095,62790.38095238095,61545.61904761904,61168.7857142857,61026.11904761904,234108.0,45462.0,10277.0,5366.333333333333,4559.0
0.2039,69027.99999999997,63203.40476190474,62997.21428571428,62330.71428571428,61988.7857142857,245163.66666666666,50279.333333333336,13317.666666666666,8246.666666666666,7354.666666666667
0.2078,68547.619047619,64994.738095238084,63522.54761904762,63099.71428571428,63217.19047619047,254225.0,56829.666666666664,18309.0,13402.666666666666,12759.0
0.2118,72487.54761904763,66671.0714285714,64857.261904761894,64115.35714285713,64054.80952380951,276477.3333333333,67011.66666666667,27735.0,22381.666666666668,21560.666666666668
0.2157,71882.14285714278,66163.54761904762,65522.99999999999,64714.61904761903,64925.09523809522,289216.6666666667,80201.33333333333,42760.333333333336,37091.333333333336,35713.0
0.2196,71184.2142857142,66981.11904761902,64768.85714285714,64533.2619047619,63696.64285714285,326680.6666666667,107129.0,65140.666666666664,59475.666666666664,59006.333333333336
0.2235,67355.2142857142,63828.07142857142,62248.80952380951,61522.42857142855,60506.26190476191,339809.6666666667,140254.66666666666,99533.33333333333,94874.0,94544.33333333333
0.2275,59586.476190476154,57266.904761904734,55521.78571428568,54907.119047619024,54352.476190476154,410637.3333333333,187453.33333333334,144055.0,138936.33333333334,137346.33333333334
0.2314,52751.80952380947,51980.02380952382,50396.78571428571,49373.904761904734,49224.761904761865,478122.0,243483.66666666666,194846.66666666666,189496.33333333334,188138.33333333334
0.2353,45660.476190476096,44631.190476190415,42270.45238095234,40644.45238095237,40231.38095238092,544280.0,296761.6666666667,250131.33333333334,242799.0,241712.66666666666
0.2392,38039.57142857136,37813.619047618995,36262.833333333314,33693.85714285716,32239.809523809527,608580.6666666666,359050.6666666667,306641.3333333333,299882.3333333333,300392.3333333333
0.2431,32498.190476190415,30993.738095238048,29335.30952380947,27684.714285714203,26982.619047619053,670019.6666666666,423230.6666666667,364492.6666666667,355917.6666666667,351398.3333333333
0.2471,23742.071428571362,26177.595238095208,24612.976190476154,23341.99999999994,23683.452380952367,728999.0,469473.0,411090.0,401049.6666666667,400068.3333333333
0.251,20093.071428571362,22718.214285714203,21336.523809523787,21232.49999999994,20469.333333333314,775973.0,516255.0,457198.0,448555.0,446664.0
0.2549,16393.166666666628,18555.857142857043,20289.119047618995,18964.452380952367,17180.190476190473,832877.6666666666,562945.3333333334,501487.6666666667,492962.3333333333,491379.3333333333
0.2588,13902.619047618937,16159.333333333256,16700.880952380947,15087.476190476096,14506.809523809468,886353.3333333334,616032.3333333334,546514.0,536836.3333333334,534708.6666666666
0.2627,9737.666666666511,15455.428571428522,15678.09523809515,13827.666666666628,11942.23809523799,940162.3333333334,650491.0,589918.3333333334,581339.0,579586.3333333334
0.2667,8741.73809523799,12844.285714285681,12127.214285714203,10747.690476190415,8410.190476190415,955932.6666666666,690870.0,639529.3333333334,631749.3333333334,630141.0
0.2706,6658.785714285565,13902.09523809515,10918.571428571362,9393.023809523787,6017.88095238083,1030818.0,744019.3333333334,685401.6666666666,675945.6666666666,674605.3333333334
0.2745,4125.738095238106,9025.666666666628,9512.714285714203,7167.357142857043,4282.619047618937,1077157.0,795741.0,732606.3333333334,721638.0,719623.3333333334
0.2784,5361.357142857043,6265.666666666511,6391.904761904618,5405.23809523799,4312.9285714285215,1091335.6666666667,839809.3333333334,783778.3333333334,770165.0,762312.6666666666
0.2824,-2298.6904761905316,4698.214285714203,3480.904761904734,3048.5952380951494,1774.309523809352,1168618.3333333333,891733.3333333334,831206.0,817527.0,811095.3333333334
0.2863,-830.214285714319,3468.1428571428405,3123.166666666628,1773.5952380951494,364.97619047609624,1237090.3333333333,939955.6666666666,872856.0,853593.6666666666,846546.3333333334
0.2902,-5867.095238095382,1442.4761904760962,1535.023809523671,24.952380952308886,-3062.8809523810633,1284412.3333333333,993798.0,925487.0,909472.6666666666,902206.3333333334
0.2941,-3145.4761904764455,-1096.8333333334886,140.42857142840512,-1981.8095238095848,-4094.190476190648,1335271.6666666667,1044959.3333333334,977939.3333333334,956799.6666666666,941751.3333333334
