Bias_Current,Counts_TL1(0.009),Counts_TL2(0.010),Counts_TL3(0.011),Counts_TL4(0.012),DCounts_TL1(0.009),DCounts_TL2(0.010),DCounts_TL3(0.011),DCounts_TL4(0.012)
0.4,18906.30952380952,6602.45238095238,1917.1190476190473,445.71428571428567,51396.666666666664,12924.333333333334,3509.6666666666665,831.6666666666666
0.4039,22145.738095238084,7999.95238095238,2065.6190476190473,605.5476190476189,50845.333333333336,12347.666666666666,3273.6666666666665,809.3333333333334
0.4078,25147.59523809523,9131.261904761903,2641.595238095237,641.9285714285712,49094.666666666664,12319.333333333334,3267.3333333333335,800.3333333333334
0.4118,29437.880952380954,10740.595238095235,3263.714285714285,828.7142857142854,50243.666666666664,12776.666666666666,3438.6666666666665,840.3333333333334
0.4157,34742.61904761903,12852.738095238094,3789.595238095237,980.0238095238093,51163.333333333336,12746.666666666666,3419.3333333333335,800.3333333333334
0.4196,39002.71428571427,15266.309523809521,4764.5714285714275,1167.833333333333,50766.333333333336,13011.666666666666,3472.3333333333335,861.3333333333334
0.4235,45708.214285714275,18028.095238095237,5454.357142857141,1466.0714285714284,53065.0,13335.0,3559.3333333333335,866.6666666666666
0.4275,49861.7857142857,19929.7619047619,5835.309523809523,1551.7857142857142,53906.666666666664,13066.666666666666,3459.3333333333335,816.6666666666666
0.4314,54512.2857142857,22017.166666666664,6726.690476190475,1752.0476190476188,51135.333333333336,12712.0,3378.6666666666665,875.3333333333334
0.4353,61436.14285714285,25725.54761904762,8147.309523809523,2221.6904761904757,52979.333333333336,13431.0,3639.0,992.0
0.4392,70161.59523809524,28993.83333333333,9018.666666666666,2329.8095238095234,57205.666666666664,13893.666666666666,3623.0,877.3333333333334
0.4431,89424.09523809524,33507.38095238095,10666.880952380952,2924.3095238095234,54414.0,13695.0,3789.6666666666665,928.6666666666666
0.4471,154233.47619047615,55188.21428571428,15842.285714285714,3987.071428571428,61940.333333333336,14376.666666666666,3897.0,987.3333333333334
0.451,344268.7619047619,91067.09523809522,24848.42857142857,6304.357142857142,59286.0,15962.666666666666,4098.0,1076.0
