Bias_Current,Counts_TL1(0.070),Counts_TL2(0.080),Counts_TL3(0.090),Counts_TL4(0.100),DCounts_TL1(0.070),DCounts_TL2(0.080),DCounts_TL3(0.090),DCounts_TL4(0.100)
1.7647,-0.5833333333333335,-0.08333333333333331,-0.08333333333333333,0.16666666666666666,2.0833333333333335,0.3333333333333333,0.16666666666666666,0.0
1.7843,-0.4166666666666665,0.24999999999999994,0.4166666666666667,0.0,2.1666666666666665,0.4166666666666667,0.0,0.08333333333333333
1.8039,0.16666666666666674,0.0,0.16666666666666666,0.0,1.75,0.3333333333333333,0.0,0.0
1.8235,0.583333333333333,0.33333333333333337,0.0,-0.08333333333333333,2.0833333333333335,0.25,0.0,0.08333333333333333
1.8431,0.8333333333333333,0.08333333333333337,0.25,-0.08333333333333333,1.6666666666666667,0.3333333333333333,0.08333333333333333,0.16666666666666666
1.8627,0.5833333333333335,0.0,-0.25,0.16666666666666666,1.75,0.3333333333333333,0.25,0.0
1.8824,-0.4999999999999998,0.08333333333333337,-0.16666666666666666,0.16666666666666669,2.1666666666666665,0.3333333333333333,0.3333333333333333,0.08333333333333333
1.902,0.33333333333333326,0.08333333333333337,0.3333333333333333,0.0,1.9166666666666667,0.5,0.0,0.3333333333333333
1.9216,1.5833333333333335,0.25,1.0,1.0833333333333333,1.5,0.5,0.16666666666666666,0.16666666666666666
1.9412,3.416666666666667,1.75,1.4166666666666665,2.1666666666666665,1.75,0.5,0.4166666666666667,0.08333333333333333
1.9608,5.5,4.166666666666667,4.333333333333333,3.9999999999999996,2.25,0.8333333333333334,0.0,0.08333333333333333
1.9804,7.583333333333332,8.833333333333334,7.5,10.5,2.3333333333333335,0.5,0.3333333333333333,0.25
2.0,13.5,14.083333333333334,13.5,13.333333333333332,1.6666666666666667,0.4166666666666667,0.16666666666666666,0.5833333333333334
2.0196,25.166666666666664,22.416666666666668,22.666666666666668,27.5,1.9166666666666667,0.5833333333333334,0.25,0.16666666666666666
2.0392,40.916666666666664,45.41666666666667,41.0,42.75,1.75,0.6666666666666666,0.16666666666666666,0.3333333333333333
2.0588,65.66666666666667,64.25,68.16666666666666,67.5,2.8333333333333335,0.3333333333333333,0.16666666666666666,0.16666666666666666
2.0784,106.66666666666666,101.75,101.91666666666667,104.91666666666667,1.9166666666666667,0.5,0.25,0.3333333333333333
2.098,144.08333333333331,147.08333333333331,148.5,144.33333333333331,2.3333333333333335,0.5833333333333334,0.3333333333333333,0.08333333333333333
2.1176,202.58333333333334,204.66666666666666,199.5,203.16666666666666,2.1666666666666665,0.25,0.25,0.25
2.1373,265.5833333333333,250.0,261.41666666666663,263.5833333333333,2.6666666666666665,0.6666666666666666,0.16666666666666666,0.16666666666666666
2.1569,340.9166666666667,347.3333333333333,280.9166666666667,338.75,2.25,0.4166666666666667,65.33333333333333,0.3333333333333333
2.1765,425.0833333333333,421.9166666666667,420.4166666666667,426.08333333333337,2.0,0.5,0.3333333333333333,0.3333333333333333
2.1961,494.66666666666663,496.25,513.0,516.8333333333334,1.6666666666666667,0.3333333333333333,0.16666666666666666,0.16666666666666666
2.2157,608.8333333333333,584.9166666666666,587.9166666666666,589.25,2.0833333333333335,0.8333333333333334,0.25,0.16666666666666666
2.2353,670.5,680.0,677.4166666666666,679.0833333333333,2.5,0.5833333333333334,0.3333333333333333,0.08333333333333333
2.2549,736.1666666666666,756.5,760.5833333333334,754.1666666666666,2.5,0.5,0.75,0.3333333333333333
2.2745,821.3333333333333,824.1666666666666,836.8333333333333,822.8333333333334,2.0833333333333335,1.0,0.08333333333333333,0.4166666666666667
2.2941,888.1666666666666,897.25,890.6666666666666,891.0,2.5833333333333335,0.8333333333333334,0.5,0.25
2.3137,948.9166666666667,937.0,952.3333333333333,947.0833333333334,2.6666666666666665,1.0,0.3333333333333333,0.6666666666666666
2.3333,978.25,974.9166666666667,992.0833333333334,995.9166666666666,2.0833333333333335,0.9166666666666666,0.4166666666666667,0.5
2.3529,1027.0833333333333,1051.75,1017.8333333333333,1024.25,2.25,0.9166666666666666,0.5833333333333334,0.3333333333333333
2.3725,1078.0,1055.5,1038.1666666666667,1047.6666666666665,1.5833333333333333,0.5833333333333334,0.8333333333333334,0.4166666666666667
2.3922,1090.25,1083.3333333333335,1076.1666666666667,1083.1666666666667,2.25,0.5833333333333334,0.3333333333333333,0.5
2.4118,1097.8333333333335,1126.25,1112.6666666666667,1119.0833333333333,2.3333333333333335,0.9166666666666666,0.25,0.75
2.4314,1114.0,1124.8333333333333,1124.3333333333333,1108.0833333333333,2.5833333333333335,0.9166666666666666,0.4166666666666667,0.6666666666666666
2.451,1133.5,1130.5,1131.0,1133.8333333333335,3.0833333333333335,0.9166666666666666,0.6666666666666666,0.8333333333333334
2.4706,1138.9166666666665,1139.0833333333333,1135.1666666666665,1142.75,2.6666666666666665,0.9166666666666666,0.9166666666666666,0.5833333333333334
2.4902,1139.5833333333335,1151.9166666666665,1152.75,1140.0,2.3333333333333335,0.6666666666666666,1.1666666666666667,1.0833333333333333
2.5098,1156.6666666666667,1156.8333333333333,1136.3333333333333,1132.0833333333333,2.8333333333333335,1.4166666666666667,0.6666666666666666,0.75
2.5294,1139.25,1158.1666666666667,1155.75,1159.4166666666665,1.75,1.0,0.9166666666666666,0.6666666666666666
2.549,1163.75,1170.5833333333335,1166.4166666666667,1152.0,2.0833333333333335,0.8333333333333334,0.75,1.3333333333333333
2.5686,1156.9166666666667,1165.5833333333333,1174.9166666666667,1188.4166666666667,2.5,1.0,0.8333333333333334,0.5833333333333334
2.5882,1170.0833333333335,1169.25,1167.5833333333333,1168.4166666666665,2.3333333333333335,1.3333333333333333,0.75,1.6666666666666667
2.6078,1170.8333333333333,1184.3333333333333,1161.5833333333335,1185.25,2.6666666666666665,1.25,0.8333333333333334,1.0
2.6275,1176.0,1190.6666666666665,1183.75,1178.25,2.75,1.6666666666666667,1.25,1.0
2.6471,1211.6666666666667,1186.5,1195.75,1184.25,1.8333333333333333,1.3333333333333333,1.1666666666666667,0.6666666666666666
2.6667,1203.1666666666667,1196.4166666666667,1184.75,1227.3333333333335,3.0,1.0,0.75,1.3333333333333333
2.6863,1235.0833333333333,1212.9166666666667,1193.0,1226.3333333333335,3.5,1.3333333333333333,1.8333333333333333,1.3333333333333333
2.7059,1237.1666666666667,1231.25,1241.9166666666667,1234.5,3.0,2.1666666666666665,1.3333333333333333,1.5
2.7255,1291.1666666666667,1270.25,1309.8333333333333,1299.6666666666667,3.5833333333333335,1.6666666666666667,1.6666666666666667,1.3333333333333333
2.7451,1381.0,1381.5833333333335,1390.0833333333335,1348.5833333333335,4.083333333333333,1.0833333333333333,1.0833333333333333,1.5833333333333333
2.7647,1529.75,1535.1666666666667,1513.8333333333333,1515.25,2.4166666666666665,2.0,2.0,2.0833333333333335
2.7843,1752.4166666666667,1748.0,1742.0833333333333,1724.3333333333333,3.3333333333333335,1.75,1.9166666666666667,1.9166666666666667
2.8039,2110.9166666666665,2112.1666666666665,2119.166666666667,2125.25,3.75,2.5,1.1666666666666667,1.5833333333333333
2.8235,2683.75,2694.0833333333335,2660.833333333333,2697.8333333333335,3.6666666666666665,2.9166666666666665,2.0833333333333335,2.1666666666666665
2.8431,3527.5,3521.75,3544.1666666666665,3571.25,3.8333333333333335,3.0833333333333335,3.0833333333333335,3.4166666666666665
2.8627,4670.5,4662.5,4694.5,4681.833333333334,4.666666666666667,3.0833333333333335,3.1666666666666665,3.5833333333333335
2.8824,6136.833333333333,6138.666666666667,6156.916666666667,6128.583333333333,7.166666666666667,3.8333333333333335,4.25,4.166666666666667
2.902,7967.75,7943.833333333333,7957.166666666667,7935.333333333333,6.916666666666667,5.25,4.833333333333333,4.416666666666667
