Bias_Current,Counts_TL1(0.010),Counts_TL2(0.011),Counts_TL3(0.012),Counts_TL4(0.013),Counts_TL5(0.014),Counts_TL6(0.015),DCounts_TL1(0.010),DCounts_TL2(0.011),DCounts_TL3(0.012),DCounts_TL4(0.013),DCounts_TL5(0.014),DCounts_TL6(0.015)
0.0176,135.28571428571422,-5.684341886080802e-14,17.428571428571416,16.57142857142857,10.285714285714285,-8.0,2654.0,400.0,54.0,12.0,4.0,8.0
0.0216,-139.42857142857156,85.85714285714283,-19.142857142857146,13.428571428571427,-2.0,0.2857142857142847,2668.0,332.0,62.0,8.0,2.0,14.0
0.0255,-37.571428571428896,76.71428571428567,-20.85714285714286,6.142857142857139,24.14285714285714,-4.0,2684.0,384.0,78.0,26.0,8.0,4.0
0.0294,703.2857142857138,302.2857142857142,95.42857142857142,101.14285714285714,13.857142857142854,10.714285714285714,2686.0,412.0,76.0,6.0,4.0,0.0
0.0333,2068.2857142857138,1337.285714285714,714.7142857142857,276.1428571428571,178.42857142857142,80.42857142857142,2846.0,602.0,146.0,56.0,18.0,16.0
0.0373,4673.142857142856,3552.7142857142853,2545.428571428571,1619.8571428571427,938.8571428571427,449.8571428571428,3384.0,958.0,426.0,248.0,154.0,68.0
0.0412,7936.428571428571,6691.285714285714,5469.714285714285,4361.428571428571,2983.142857142857,2089.8571428571427,3960.0,1448.0,866.0,610.0,474.0,278.0
0.0451,9769.857142857141,8912.42857142857,8450.42857142857,7446.428571428571,6665.857142857142,4973.714285714285,4148.0,1884.0,1396.0,1250.0,902.0,762.0
0.049,9724.42857142857,10003.714285714284,10022.571428571428,9471.142857142857,9009.999999999998,7924.285714285714,4372.0,2132.0,1756.0,1686.0,1540.0,1390.0
0.0529,10639.142857142855,10748.714285714284,10290.571428571428,10684.999999999998,10247.285714285714,9909.142857142857,4568.0,2512.0,2388.0,2240.0,2192.0,2098.0
0.0569,10367.0,10830.285714285712,10379.999999999998,11033.714285714284,10579.571428571428,10578.42857142857,6458.0,4284.0,4270.0,4202.0,3924.0,4168.0
0.0608,11160.714285714283,10948.428571428569,10870.142857142855,13368.142857142855,11476.857142857141,10306.857142857141,15150.0,12398.0,11962.0,12214.0,11516.0,12036.0
0.0647,14190.714285714275,-16097.571428571435,11307.57142857142,8945.85714285713,16780.714285714275,8528.85714285713,66970.0,93244.0,63846.0,64322.0,62280.0,62214.0
0.0686,-19555.428571428638,-4973.285714285797,-8227.85714285716,-1641.0,-7464.5714285714785,-12539.000000000058,632934.0,590484.0,574160.0,546316.0,513586.0,496664.0
0.0725,-11326.428571428638,-3539.714285714319,-6074.857142857276,-4894.285714285797,-5458.714285714319,-17542.000000000116,1277680.0,1203254.0,1121432.0,1042030.0,956448.0,865992.0
0.0686,11476.714285714203,-8672.428571428638,-3289.2857142857974,-23623.428571428638,128.85714285710128,945.7142857142608,603734.0,596726.0,565200.0,551502.0,509714.0,478690.0
