Bias_Current,Counts_TL1(0.010),Counts_TL2(0.011),Counts_TL3(0.012),Counts_TL4(0.013),Counts_TL5(0.014),Counts_TL6(0.015),DCounts_TL1(0.010),DCounts_TL2(0.011),DCounts_TL3(0.012),DCounts_TL4(0.013),DCounts_TL5(0.014),DCounts_TL6(0.015)
0.0608,821.2857142857138,385.35714285714266,74.07142857142856,23.499999999999986,-0.9285714285714306,4.7142857142857135,8518.0,1870.0,342.0,64.0,17.0,6.0
0.0618,862.0,492.35714285714266,108.85714285714283,35.14285714285714,4.642857142857142,-3.6428571428571432,8388.0,1788.0,384.0,72.0,15.0,9.0
0.0627,1552.5714285714275,590.9285714285711,177.21428571428567,45.571428571428555,6.785714285714285,-3.6428571428571432,8251.0,1693.0,371.0,83.0,20.0,9.0
0.0637,1688.2857142857138,801.5714285714284,211.6428571428571,83.99999999999997,5.357142857142854,-1.8571428571428577,8226.0,2202.0,408.0,91.0,25.0,9.0
0.0647,2852.4285714285706,1053.7857142857138,350.4999999999999,44.64285714285714,23.07142857142857,10.499999999999993,10994.0,2598.0,512.0,125.0,43.0,27.0
0.0657,3232.142857142855,1197.0714285714284,385.42857142857133,134.28571428571428,3.857142857142854,-8.142857142857146,10050.0,2419.0,511.0,130.0,39.0,26.0
0.0667,2752.8571428571413,1394.7142857142853,490.42857142857133,107.7142857142857,25.499999999999993,13.428571428571427,9790.0,2241.0,506.0,128.0,37.0,8.0
0.0676,3745.642857142855,1749.0,545.7857142857142,149.57142857142856,60.21428571428571,-4.714285714285715,10474.0,2376.0,531.0,129.0,38.0,19.0
0.0686,3769.2857142857138,1739.1428571428569,749.0714285714284,257.71428571428567,53.35714285714285,33.57142857142857,11045.0,2318.0,517.0,153.0,52.0,20.0
0.0696,4684.642857142855,1957.2857142857138,840.1428571428571,267.71428571428567,60.499999999999986,18.21428571428571,10135.0,2407.0,492.0,118.0,27.0,5.0
0.0706,4559.0714285714275,2314.2857142857138,877.9999999999998,255.99999999999994,86.78571428571428,1.7857142857142847,9857.0,2325.0,522.0,119.0,40.0,25.0
0.0716,4394.785714285714,2416.7857142857138,940.4285714285713,374.35714285714283,93.49999999999999,29.857142857142854,10482.0,2460.0,556.0,131.0,19.0,13.0
0.0725,5928.642857142855,3108.2142857142853,1260.285714285714,486.4999999999999,172.78571428571428,30.07142857142857,10666.0,2465.0,704.0,151.0,29.0,11.0
0.0735,5521.285714285714,3216.9285714285706,1394.3571428571427,552.2857142857142,153.28571428571428,43.357142857142854,12943.0,3067.0,736.0,162.0,61.0,12.0
0.0745,6203.5714285714275,3555.2142857142853,1802.0714285714284,536.2857142857142,207.78571428571425,35.28571428571428,13675.0,3218.0,764.0,228.0,44.0,29.0
0.0755,7164.428571428569,3859.9285714285706,1830.2142857142853,652.1428571428571,169.85714285714283,77.64285714285714,12307.0,3024.0,743.0,205.0,73.0,17.0
0.0765,6800.999999999996,4139.142857142857,2118.2142857142853,717.2857142857142,243.4285714285714,73.42857142857142,12849.0,3018.0,805.0,222.0,78.0,23.0
0.0775,6871.642857142855,4413.214285714285,2277.428571428571,956.9285714285713,376.49999999999994,108.07142857142856,13398.0,3235.0,819.0,227.0,61.0,8.0
0.0784,7768.928571428569,4910.642857142856,2439.642857142857,1065.142857142857,356.71428571428567,102.7142857142857,12890.0,3184.0,880.0,242.0,79.0,33.0
0.0794,8975.285714285714,5160.928571428571,2783.7142857142853,1257.4999999999998,447.1428571428571,107.85714285714283,12014.0,3198.0,852.0,280.0,85.0,35.0
0.0804,8811.785714285714,5495.142857142857,3044.3571428571427,1344.1428571428569,521.3571428571428,135.28571428571428,12940.0,3387.0,936.0,263.0,84.0,29.0
0.0814,8138.642857142855,5840.214285714284,3118.357142857142,1583.0714285714284,667.2857142857142,180.1428571428571,13356.0,3183.0,987.0,333.0,97.0,27.0
0.0824,9669.714285714283,6310.285714285714,3736.999999999999,1692.0714285714284,666.8571428571428,190.78571428571428,13941.0,3554.0,1063.0,324.0,101.0,36.0
0.0833,9066.499999999996,6753.214285714284,4139.928571428571,1960.3571428571427,755.7857142857142,269.07142857142856,13171.0,3395.0,1069.0,370.0,121.0,47.0
0.0843,10563.857142857141,7117.5714285714275,4380.285714285714,2251.7142857142853,883.7857142857142,274.4285714285714,14654.0,3711.0,1109.0,384.0,143.0,47.0
0.0853,9725.285714285714,7624.285714285714,4709.642857142857,2331.285714285714,955.9285714285713,339.85714285714283,14314.0,3790.0,1110.0,383.0,153.0,53.0
0.0863,11424.785714285714,7993.642857142857,4948.999999999999,2418.8571428571427,1076.642857142857,333.07142857142856,11752.0,3251.0,1151.0,474.0,168.0,83.0
0.0873,11093.642857142855,7903.5714285714275,5216.5714285714275,2824.4999999999995,1292.9285714285713,462.7857142857142,12001.0,3625.0,1312.0,513.0,216.0,64.0
0.0882,10199.714285714283,8653.571428571428,5798.499999999999,3131.142857142857,1441.9999999999998,465.0,14436.0,3325.0,1239.0,551.0,183.0,85.0
0.0892,10920.571428571428,8914.92857142857,6276.214285714285,3330.9999999999995,1578.7857142857142,613.0714285714286,11508.0,3294.0,1272.0,594.0,248.0,78.0
0.0902,11587.714285714283,9639.642857142855,6677.999999999999,3704.857142857142,1820.2142857142853,666.2142857142857,12198.0,3530.0,1322.0,588.0,253.0,107.0
0.0912,11546.571428571428,9785.357142857141,6968.0,4002.9285714285706,1952.5714285714284,778.7857142857142,12782.0,3920.0,1382.0,681.0,301.0,148.0
0.0922,12812.357142857141,10079.714285714284,7372.5714285714275,4335.285714285714,2176.3571428571427,850.0714285714284,11718.0,3931.0,1456.0,679.0,354.0,141.0
0.0931,12265.714285714283,10942.857142857141,7925.857142857141,4842.071428571428,2580.4999999999995,1047.642857142857,11145.0,3450.0,1517.0,749.0,382.0,147.0
0.0941,12901.428571428569,10887.357142857141,8247.785714285714,5266.785714285714,2748.428571428571,1179.9285714285713,10870.0,3618.0,1654.0,885.0,423.0,179.0
0.0951,13386.714285714283,11166.857142857141,8685.42857142857,5680.285714285714,3145.7142857142853,1432.2857142857142,11499.0,4051.0,1786.0,934.0,465.0,182.0
0.0961,13199.78571428571,11560.285714285712,8832.999999999998,6268.214285714285,3433.928571428571,1724.3571428571427,12027.0,4129.0,1892.0,1055.0,550.0,206.0
0.0971,13837.928571428569,12137.857142857141,9771.499999999998,6805.142857142856,3867.7857142857138,1990.428571428571,14696.0,4880.0,2041.0,1202.0,584.0,231.0
0.098,13552.714285714283,12574.428571428569,10584.714285714284,7360.357142857141,4338.285714285714,2019.5,14683.0,4672.0,2201.0,1270.0,751.0,343.0
0.099,14787.357142857141,13448.428571428569,10535.785714285714,7857.5,4696.571428571428,2442.9999999999995,14193.0,4698.0,2591.0,1505.0,832.0,357.0
0.1,14450.571428571428,13808.642857142855,11693.42857142857,8604.571428571428,5426.0714285714275,2610.9999999999995,12553.0,4986.0,2803.0,1699.0,940.0,464.0
0.101,16536.714285714283,14949.428571428569,12682.571428571428,9570.214285714284,5704.5714285714275,2988.928571428571,12974.0,5422.0,3296.0,2153.0,1299.0,570.0
0.102,16979.142857142855,16581.85714285714,13921.0,10576.285714285714,6830.142857142857,3605.642857142857,13278.0,6111.0,3954.0,2713.0,1552.0,789.0
0.1029,18789.78571428571,18172.214285714283,15397.214285714283,12178.714285714284,8049.714285714284,4523.357142857142,15037.0,7401.0,5051.0,3457.0,2036.0,1032.0
0.1039,21020.78571428571,20045.714285714283,17758.499999999996,13884.714285714283,9464.571428571428,5375.785714285714,17306.0,9015.0,6329.0,4451.0,2889.0,1501.0
0.1049,25074.999999999993,23209.5,20750.35714285714,16409.071428571428,10916.999999999998,6411.857142857141,18500.0,11478.0,8655.0,6407.0,4258.0,2306.0
0.1059,27122.642857142855,26147.071428571428,23875.071428571428,19847.071428571428,13263.642857142855,8037.5714285714275,21472.0,14769.0,11616.0,8769.0,5981.0,3291.0
0.1069,32568.928571428565,31390.28571428571,29386.857142857138,23717.928571428565,16416.35714285714,10149.357142857141,26515.0,18449.0,15556.0,12066.0,8489.0,4831.0
0.1078,39196.428571428565,37030.99999999999,34355.85714285714,28851.999999999993,20767.28571428571,13529.285714285714,31400.0,24794.0,20837.0,16798.0,11797.0,6710.0
0.1088,47223.78571428571,47383.142857142855,42477.07142857142,36784.71428571428,27362.928571428565,17409.999999999996,37778.0,30549.0,27114.0,21176.0,15771.0,9265.0
0.1098,59925.85714285713,57036.928571428565,53611.214285714275,48093.142857142855,35670.35714285714,23202.0,42742.0,36022.0,30912.0,24389.0,18985.0,11698.0
0.1108,74112.35714285713,74646.78571428571,68047.64285714284,59267.35714285713,45631.928571428565,30650.142857142855,46218.0,37055.0,32722.0,27563.0,20077.0,13457.0
0.1118,88110.92857142855,86145.14285714284,83331.85714285713,71219.99999999999,54990.57142857142,38860.85714285714,44348.0,35712.0,31511.0,26405.0,20963.0,13582.0
0.1127,97281.35714285713,95797.49999999999,93363.64285714284,80677.92857142857,64145.642857142855,45742.142857142855,40924.0,32140.0,27806.0,22781.0,18699.0,12415.0
0.1137,103960.85714285713,97451.21428571428,94036.78571428571,83730.78571428571,68786.57142857142,48235.57142857142,33832.0,27747.0,23565.0,20096.0,16367.0,11343.0
0.1147,99750.21428571428,94939.71428571428,88806.78571428571,81245.28571428571,66207.78571428571,49562.928571428565,28423.0,21821.0,18820.0,16969.0,13744.0,9971.0
0.1157,89568.14285714284,88282.71428571428,82972.57142857142,74344.28571428571,62652.28571428571,49075.07142857142,25164.0,17703.0,15556.0,14445.0,11312.0,8766.0
0.1167,79259.78571428571,77071.85714285713,74294.71428571428,66915.64285714286,58332.714285714275,46216.49999999999,22717.0,15021.0,12991.0,11179.0,9378.0,7746.0
0.1176,71243.49999999999,65406.35714285713,62681.07142857142,58169.714285714275,51444.21428571428,42867.142857142855,19394.0,12274.0,10735.0,9766.0,8379.0,6965.0
0.1186,61574.428571428565,58520.28571428571,54994.07142857142,51356.85714285714,46217.57142857142,40110.71428571428,16822.0,10944.0,9247.0,8161.0,6986.0,6100.0
0.1196,53838.85714285713,49903.78571428571,47700.428571428565,45139.99999999999,41758.142857142855,36633.35714285714,15254.0,9348.0,7846.0,7110.0,6249.0,5547.0
0.1206,46101.78571428571,43730.99999999999,42183.71428571428,40412.85714285714,37123.71428571428,33893.21428571428,14350.0,8294.0,6827.0,5980.0,5712.0,5205.0
0.1216,42125.85714285714,38766.78571428571,38495.142857142855,35833.428571428565,35354.21428571428,32721.142857142855,14792.0,8010.0,6112.0,5563.0,5144.0,4686.0
0.1225,38166.142857142855,36032.57142857143,35004.28571428571,33184.928571428565,32091.928571428565,30552.78571428571,14116.0,7221.0,5385.0,5099.0,4792.0,4599.0
0.1235,35387.99999999999,33097.07142857143,32224.0,31144.0,30851.714285714283,29811.28571428571,13312.0,6619.0,5001.0,4706.0,4459.0,4328.0
0.1245,33287.28571428571,31379.5,30516.28571428571,29791.0,29209.071428571428,28445.28571428571,12727.0,6233.0,4698.0,4509.0,4257.0,4144.0
0.1255,31665.357142857138,30557.571428571428,29318.5,28919.928571428565,28779.571428571428,27973.142857142855,12115.0,5896.0,4644.0,4289.0,4024.0,4084.0
0.1265,30117.571428571428,29585.071428571428,28374.78571428571,28608.42857142857,27970.642857142855,27616.28571428571,12411.0,6006.0,4352.0,4038.0,4099.0,4098.0
0.1275,29764.214285714283,28856.714285714283,27977.28571428571,27643.571428571424,27724.499999999996,27423.42857142857,12234.0,5829.0,4362.0,4085.0,3888.0,3998.0
0.1284,28712.071428571428,28713.642857142855,28170.35714285714,27698.214285714283,27258.142857142855,27228.35714285714,12154.0,5731.0,4235.0,4025.0,3874.0,3927.0
0.1294,29058.357142857138,27440.071428571428,27803.85714285714,27361.071428571424,27522.071428571424,27639.999999999996,12097.0,5726.0,4314.0,4055.0,3869.0,4010.0
0.1304,28146.357142857138,27721.857142857138,27793.42857142857,27447.714285714283,27651.071428571424,27211.499999999996,12484.0,5671.0,4278.0,4038.0,3890.0,3951.0
0.1314,27706.499999999993,27708.714285714283,27106.714285714283,27802.999999999996,27180.571428571424,27241.78571428571,12106.0,5577.0,4304.0,3972.0,4098.0,3960.0
0.1324,28004.714285714283,27559.857142857138,27149.35714285714,27356.42857142857,27047.92857142857,27655.499999999996,12481.0,5783.0,4381.0,4015.0,4061.0,4007.0
0.1333,27676.28571428571,27320.857142857138,27396.642857142855,27457.214285714283,27740.214285714283,95374.35714285713,11488.0,5697.0,4398.0,4341.0,5333.0,38256.0
0.1343,-43492.50000000012,458632.6428571427,-61.85714285714289,-18.285714285714285,16.07142857142857,3.3571428571428568,940555.0,1189112.0,994.0,29.0,0.0,2.0
0.1353,-30.142857142857224,-4.857142857142861,-1.571428571428573,-2.428571428571429,-0.2142857142857144,0.0,1048.0,162.0,23.0,6.0,2.0,0.0
0.1363,-0.3571428571428896,-3.142857142857167,5.571428571428569,3.1428571428571423,-7.0,-5.0,1195.0,171.0,23.0,4.0,7.0,5.0
0.1373,23.78571428571422,8.785714285714278,-11.92857142857143,2.3571428571428568,0.7857142857142856,2.571428571428571,1153.0,168.0,28.0,3.0,1.0,1.0
0.1382,33.57142857142844,-60.64285714285717,-1.7857142857142883,-6.0,1.7857142857142856,-2.0,1245.0,216.0,25.0,6.0,0.0,2.0
0.1373,-19.21428571428578,-22.928571428571445,-4.214285714285715,-8.500000000000002,3.571428571428571,-1.6428571428571432,1346.0,214.0,31.0,21.0,0.0,7.0
