Bias_Current,Counts_TL1(0.010),Counts_TL2(0.011),Counts_TL3(0.012),Counts_TL4(0.013),Counts_TL5(0.014),Counts_TL6(0.015),DCounts_TL1(0.010),DCounts_TL2(0.011),DCounts_TL3(0.012),DCounts_TL4(0.013),DCounts_TL5(0.014),DCounts_TL6(0.015)
0.0176,-17.142857142857338,49.28571428571422,32.14285714285714,6.7142857142857135,-12.428571428571429,4.285714285714285,2910.0,440.0,50.0,4.0,16.0,10.0
0.0186,-76.5714285714289,-4.285714285714334,-11.714285714285722,-8.428571428571429,-4.0,1.1428571428571423,2898.0,440.0,76.0,12.0,4.0,6.0
0.0196,-332.8571428571431,-9.142857142857167,26.14285714285714,7.857142857142854,-0.4285714285714288,0.0,2890.0,402.0,56.0,10.0,4.0,0.0
0.0206,9.714285714285325,54.14285714285711,12.142857142857139,23.714285714285708,13.428571428571427,15.857142857142854,2976.0,428.0,70.0,12.0,8.0,2.0
0.0216,-39.000000000000455,-40.00000000000006,27.285714285714278,-21.285714285714285,-35.285714285714285,7.857142857142854,3114.0,490.0,62.0,32.0,46.0,10.0
0.0225,217.28571428571422,-97.14285714285717,-5.714285714285722,-31.285714285714285,-9.714285714285715,3.1428571428571423,2772.0,540.0,70.0,42.0,24.0,4.0
0.0235,59.28571428571422,56.14285714285711,45.999999999999986,4.285714285714285,1.5714285714285712,-11.285714285714286,2730.0,426.0,54.0,10.0,2.0,22.0
0.0245,-35.000000000000455,39.714285714285666,-7.857142857142861,-4.857142857142858,-6.0,13.428571428571427,3160.0,496.0,90.0,12.0,6.0,8.0
0.0255,98.4285714285711,-80.14285714285717,-45.28571428571429,-19.285714285714285,-1.2857142857142865,1.5714285714285712,2598.0,448.0,106.0,30.0,12.0,2.0
0.0265,149.4285714285711,-18.71428571428578,-1.142857142857153,19.285714285714285,-26.857142857142858,9.857142857142854,2772.0,508.0,94.0,20.0,34.0,8.0
0.0275,47.28571428571422,147.28571428571422,73.42857142857142,-0.1428571428571459,-16.0,7.142857142857142,2942.0,442.0,98.0,18.0,16.0,0.0
0.0284,819.5714285714284,242.1428571428571,65.85714285714285,13.714285714285708,14.285714285714285,11.428571428571427,2884.0,440.0,52.0,22.0,0.0,10.0
0.0294,819.5714285714284,281.42857142857133,92.99999999999997,39.28571428571428,-7.857142857142861,-12.857142857142858,2684.0,490.0,132.0,50.0,40.0,20.0
0.0304,782.8571428571427,506.2857142857142,173.4285714285714,55.999999999999986,9.428571428571427,10.285714285714285,2960.0,458.0,98.0,44.0,12.0,4.0
0.0314,1082.428571428571,595.8571428571427,290.85714285714283,92.99999999999999,64.57142857142857,18.57142857142857,2914.0,522.0,152.0,32.0,14.0,10.0
0.0324,1608.0,981.4285714285713,376.1428571428571,162.57142857142856,75.57142857142856,33.99999999999999,3092.0,590.0,156.0,66.0,28.0,16.0
0.0333,1998.1428571428569,1133.8571428571427,735.8571428571428,367.4285714285714,101.28571428571428,51.85714285714285,3034.0,634.0,182.0,54.0,38.0,16.0
0.0343,2803.999999999999,1578.428571428571,1083.142857142857,554.8571428571428,254.57142857142856,72.85714285714285,3096.0,668.0,174.0,88.0,74.0,20.0
0.0353,3917.857142857142,2210.285714285714,1310.1428571428569,789.8571428571428,368.85714285714283,200.1428571428571,2950.0,704.0,322.0,128.0,74.0,32.0
0.0363,4030.2857142857138,3020.142857142857,2040.7142857142853,1072.5714285714284,568.7142857142857,276.99999999999994,3184.0,812.0,370.0,206.0,92.0,48.0
0.0373,4548.142857142856,3341.5714285714284,2401.428571428571,1552.7142857142856,901.5714285714284,435.42857142857133,3384.0,1012.0,470.0,258.0,202.0,86.0
0.0382,5780.5714285714275,4489.142857142857,3132.7142857142853,2104.9999999999995,1388.1428571428569,601.7142857142857,3548.0,1068.0,528.0,370.0,194.0,134.0
0.0392,6279.142857142857,5198.285714285714,3994.5714285714284,2842.5714285714284,1926.428571428571,978.1428571428571,3728.0,1166.0,584.0,386.0,270.0,154.0
0.0402,6995.857142857141,5921.714285714285,4586.571428571428,3328.428571428571,2278.428571428571,1245.5714285714284,3772.0,1364.0,842.0,568.0,418.0,208.0
0.0412,7060.857142857141,6705.142857142857,5389.999999999999,4141.428571428571,3012.2857142857138,2085.285714285714,4532.0,1652.0,910.0,730.0,502.0,254.0
0.0422,8510.285714285714,7248.0,6336.285714285714,5046.142857142857,4036.857142857142,2544.7142857142853,4054.0,1652.0,1178.0,836.0,706.0,416.0
0.0431,8658.857142857141,7677.857142857141,7072.285714285714,5969.714285714285,4652.857142857142,3250.8571428571427,4384.0,1790.0,1292.0,916.0,690.0,492.0
0.0441,8978.714285714284,8443.857142857141,7771.714285714284,6400.999999999999,5409.857142857142,4001.857142857142,4132.0,1774.0,1364.0,1024.0,858.0,616.0
0.0451,9297.999999999998,8789.999999999998,8810.857142857141,7548.857142857141,6268.285714285714,4770.714285714285,4402.0,1910.0,1382.0,1194.0,996.0,790.0
