# metadata,value
mode,qcl
fudge_factor,1
on_start,0.1
on_stop,0.29
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.016),DCounts_TL1(0.016),ClicksOn_TL1(0.016),ClicksOff_TL1(0.016)
0.0392,802078.0522735411,27.2108843537415,1524,8
0.0451,1223157.8947368423,0.0,2324,0
0.051,1681538.1310418907,40.816326530612244,3195,12
0.0569,1936220.5513784464,95.23809523809524,3679,28
0.0627,2150335.8395989975,190.47619047619048,4086,56
0.0686,2257564.8048693165,329.93197278911566,4290,97
0.0745,2284189.2230576444,547.6190476190477,4341,161
0.0804,2422932.509846044,751.7006802721089,4605,221
0.0784,2354674.7225205875,588.4353741496599,4475,173
