# metadata,value
mode,qcl
fudge_factor,1
on_start,0.1
on_stop,0.29
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.016),DCounts_TL1(0.016),ClicksOn_TL1(0.016),ClicksOff_TL1(0.016)
0.0392,455263.1578947369,0.0,865,0
0.0451,791032.2234156821,20.408163265306122,1503,6
0.051,1159446.4733261727,27.2108843537415,2203,8
0.0569,1397782.491944146,112.24489795918367,2656,33
0.0627,1584050.6623702114,159.8639455782313,3010,47
0.0686,1595452.7389903332,336.734693877551,3032,99
0.0745,1695802.1840315077,513.6054421768707,3223,151
0.0804,1737611.5288220553,809.5238095238095,3303,238
0.0784,1712022.7354099536,608.843537414966,3254,179
