# metadata,value
mode,qcl
fudge_factor,1
on_start,0.1
on_stop,0.29
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.016),DCounts_TL1(0.016),ClicksOn_TL1(0.016),ClicksOff_TL1(0.016)
0.0392,980509.3089867528,17.006802721088437,1863,5
0.0451,1474162.9072681707,47.61904761904762,2801,14
0.051,2118913.3548156107,34.013605442176875,4026,10
0.0569,2461436.090225564,142.85714285714286,4677,42
0.0627,2719187.9699248127,285.7142857142857,5167,84
0.0686,2782284.6401718585,346.9387755102041,5287,102
0.0745,2935880.415324025,435.374149659864,5579,128
0.0804,3017085.213032582,809.5238095238095,5734,238
0.0784,2996233.2617257433,608.843537414966,5694,179
