# metadata,value
mode,qcl
fudge_factor,1
on_start,0.1
on_stop,0.29
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.016),DCounts_TL1(0.016),ClicksOn_TL1(0.016),ClicksOff_TL1(0.016)
0.0392,197337.80880773364,30.612244897959187,375,9
0.0451,381035.62477622635,17.006802721088437,724,5
0.051,532074.6509129968,30.612244897959187,1011,9
0.0569,654111.8868600072,98.63945578231294,1243,29
0.0627,726145.7214464734,170.06802721088437,1380,50
0.0686,748114.9301825993,306.12244897959187,1422,90
0.0745,745313.28320802,476.1904761904762,1417,140
0.0804,790779.62764053,799.3197278911565,1504,235
0.0784,790970.1038310062,608.843537414966,1504,179
