# metadata,value
mode,qcl
fudge_factor,1
cycles,6
cycles_completed,6
integration_time,2
on_start,0.1
on_stop,0.29
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.012),Counts_TL2(0.014),Counts_TL3(0.016),Counts_TL4(0.018),Counts_TL5(0.020),DCounts_TL1(0.012),DCounts_TL2(0.014),DCounts_TL3(0.016),DCounts_TL4(0.018),DCounts_TL5(0.020),ClicksOn_TL1(0.012),ClicksOn_TL2(0.014),ClicksOn_TL3(0.016),ClicksOn_TL4(0.018),ClicksOn_TL5(0.020),ClicksOff_TL1(0.012),ClicksOff_TL2(0.014),ClicksOff_TL3(0.016),ClicksOff_TL4(0.018),ClicksOff_TL5(0.020)
0.0529,43817.887973903016,43809.314954051806,37505.99713569639,31406.50733977802,22991.78501810081,41.76114890400605,35.714285714285715,23.24263038548753,11.621315192743765,5.291005291005291,3000.0,2999.0,2567.0,2149.0,1573.0,442.0,378.0,246.0,123.0,56.0
0.0549,46543.113736722764,46681.87333412898,42820.35943032185,36486.47909456181,27288.61339857581,50.45351473922903,43.272864701436134,30.517762660619805,19.36885865457294,6.708238851095994,3187.0,3196.0,2931.0,2497.0,1867.0,534.0,458.0,323.0,205.0,71.0
0.0569,48161.291124637,48821.45343517525,45235.92214663644,38713.778493853686,32924.424155627166,55.083144368858655,52.815570672713534,41.85563114134543,28.911564625850342,14.17233560090703,3298.0,3343.0,3097.0,2650.0,2253.0,583.0,559.0,443.0,306.0,150.0
0.0588,50660.98281417831,49029.50829454589,45811.363726777265,43762.90428452083,37275.85829653499,70.01133786848072,64.05895691609977,51.20937263794407,38.26530612244898,19.46334089191232,3470.0,3358.0,3137.0,2996.0,2551.0,741.0,678.0,542.0,405.0,206.0
0.0608,50751.60619803478,52052.61168795004,49750.51219318138,47570.28483908184,40276.877710148394,81.72713529856388,67.2713529856387,59.42932728647015,46.674225245653815,30.139833711262284,3477.0,3565.0,3407.0,3257.0,2757.0,865.0,712.0,629.0,494.0,319.0
0.0627,52128.21239606955,52103.41329514263,50958.268687592004,49747.39427934917,44726.871742849195,94.0098261526833,89.56916099773242,79.74300831443689,62.54724111866969,39.21012849584278,3572.0,3570.0,3491.0,3407.0,3062.0,995.0,948.0,844.0,662.0,415.0
0.0647,51109.70879579903,53030.67689063931,52569.07646099376,51326.12781954888,47167.80045351475,103.74149659863946,97.97808012093726,91.74225245653817,77.38095238095238,54.421768707483,3503.0,3634.0,3602.0,3516.0,3230.0,1098.0,1037.0,971.0,819.0,576.0
0.0667,53087.997772208306,51864.462744162,51871.832358674474,52104.074670804,49596.28237259817,113.75661375661376,109.2214663643235,101.85185185185186,88.90778533635677,67.46031746031747,3639.0,3555.0,3555.0,3570.0,3397.0,1204.0,1156.0,1078.0,941.0,714.0
0.0686,53429.143294744805,53309.7276922465,51910.18717428493,53243.07793292757,51625.30333770936,123.48828420256991,125.9448223733938,121.97656840513984,104.87528344671202,85.22297808012094,3663.0,3655.0,3559.0,3649.0,3537.0,1307.0,1333.0,1291.0,1110.0,902.0
0.0706,54110.678481919094,55344.60655607273,55564.755141822825,54907.6411266261,54810.90126108924,143.7074829931973,137.8495842781557,136.99924414210128,121.59863945578232,101.37944066515496,3711.0,3795.0,3810.0,3764.0,3756.0,1521.0,1459.0,1450.0,1287.0,1073.0
0.0725,54522.750328201466,54153.85189163386,56656.02498309266,54915.055495882574,54948.28837967936,155.6122448979592,159.01360544217687,156.84051398337112,143.42403628117916,124.81103552532124,3740.0,3715.0,3886.0,3766.0,3767.0,1647.0,1683.0,1660.0,1518.0,1321.0
0.0745,56487.15041572186,55515.55475991568,57663.82722679716,54758.53323785656,55520.587182241325,179.5162509448224,171.57974300831444,172.43008314436887,168.3673469387755,151.92743764172337,3876.0,3809.0,3956.0,3757.0,3808.0,1900.0,1816.0,1825.0,1782.0,1608.0
0.0765,57635.76600230737,59041.16441898398,58260.45271909935,57812.243903409326,55737.8515733779,200.4913076341648,198.6016628873772,204.45956160241874,199.45200302343162,183.2010582010582,3956.0,4052.0,3999.0,3968.0,3825.0,2122.0,2102.0,2164.0,2111.0,1939.0
0.0784,61278.687790905846,62249.17452361062,60856.97875641486,60227.49830926524,59588.19170943232,241.78004535147394,236.2055933484505,239.5124716553288,225.7180650037793,221.74981103552534,4208.0,4274.0,4179.0,4135.0,4091.0,2559.0,2500.0,2535.0,2389.0,2347.0
0.0804,62998.562875442585,64233.883319409644,64778.78724589252,62041.94016788003,62672.95719457375,290.9108087679516,298.2804232804233,294.3121693121693,297.2411186696901,294.8790627362056,4329.0,4414.0,4451.0,4264.0,4307.0,3079.0,3157.0,3115.0,3146.0,3121.0
0.0824,69876.51171579745,71157.32287066875,70500.46743843738,68819.72291840715,68258.05088117119,401.26606198034773,392.38473167044594,391.3454270597128,405.42328042328046,396.91987906273624,4807.0,4894.0,4849.0,4735.0,4696.0,4247.0,4153.0,4142.0,4291.0,4201.0
0.0843,79814.92421530017,88410.7292039623,80369.06253729564,78104.49238174803,81210.68544376818,565.1927437641724,580.4988662131519,566.609977324263,565.098261526833,572.9402872260015,5498.0,6087.0,5536.0,5381.0,5594.0,5982.0,6144.0,5997.0,5981.0,6064.0
0.0863,118648.80455106021,125694.26542546845,118045.77415761628,124719.07944464339,126391.67362851575,854.119425547997,855.4421768707483,872.3544973544974,851.0959939531368,859.7883597883598,8174.0,8656.0,8134.0,8589.0,8704.0,9040.0,9054.0,9233.0,9008.0,9100.0
0.0882,322046.14711381635,300051.7514023154,325641.93221148115,303208.22890559735,322002.31232844025,1374.9055177626606,1351.7573696145125,1346.371882086168,1353.1746031746031,1360.2607709750566,22122.0,20616.0,22366.0,20832.0,22118.0,14552.0,14307.0,14250.0,14322.0,14397.0
