# metadata,value
mode,qcl
fudge_factor,1
cycles,6
cycles_completed,6
integration_time,2
on_start,0.1
on_stop,0.29
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.010),Counts_TL2(0.012),Counts_TL3(0.014),Counts_TL4(0.016),Counts_TL5(0.018),Counts_TL6(0.020),DCounts_TL1(0.010),DCounts_TL2(0.012),DCounts_TL3(0.014),DCounts_TL4(0.016),DCounts_TL5(0.018),DCounts_TL6(0.020),ClicksOn_TL1(0.010),ClicksOn_TL2(0.012),ClicksOn_TL3(0.014),ClicksOn_TL4(0.016),ClicksOn_TL5(0.018),ClicksOn_TL6(0.020),ClicksOff_TL1(0.010),ClicksOff_TL2(0.012),ClicksOff_TL3(0.014),ClicksOff_TL4(0.016),ClicksOff_TL5(0.018),ClicksOff_TL6(0.020)
0.0471,-15.684051398337113,-5.479969765684052,-2.739984882842026,-2.0786092214663645,-0.2834467120181406,-0.1889644746787604,15.684051398337113,5.479969765684052,2.739984882842026,2.0786092214663645,0.2834467120181406,0.1889644746787604,0.0,0.0,0.0,0.0,0.0,0.0,166.0,58.0,29.0,22.0,3.0,2.0
0.049,-16.250944822373395,-6.897203325774755,-4.913076341647771,-2.2675736961451247,-0.6613756613756614,-0.1889644746787604,16.250944822373395,6.897203325774755,4.913076341647771,2.2675736961451247,0.6613756613756614,0.1889644746787604,0.0,0.0,0.0,0.0,0.0,0.0,172.0,73.0,52.0,24.0,7.0,2.0
0.051,26.85284640171859,36.11210566097785,-5.196523053665911,-4.251700680272109,12.54127381946931,0.0,17.006802721088437,7.747543461829176,5.196523053665911,4.251700680272109,2.0786092214663645,0.0,3.0,3.0,0.0,0.0,1.0,0.0,180.0,82.0,55.0,45.0,22.0,0.0
0.0529,11.57158769940725,-10.487528344671203,7.344750765803399,-6.2358276643990935,-3.0234315948601664,-1.1337868480725624,17.6681783824641,10.487528344671203,7.275132275132275,6.2358276643990935,3.0234315948601664,1.1337868480725624,2.0,0.0,1.0,0.0,0.0,0.0,187.0,111.0,77.0,66.0,32.0,12.0
0.0549,-7.205513784461152,-11.810279667422526,-9.16477702191988,6.494410629748977,-5.574452003023432,13.39161395552373,21.825396825396826,11.810279667422526,9.16477702191988,8.125472411186697,5.574452003023432,1.2282690854119427,1.0,0.0,0.0,1.0,0.0,1.0,231.0,125.0,97.0,86.0,59.0,13.0
0.0569,7.130922544456382,-0.02486374666825597,-13.227513227513228,-9.25925925925926,-4.913076341647771,-3.9682539682539684,22.108843537414966,14.64474678760393,13.227513227513228,9.25925925925926,4.913076341647771,3.9682539682539684,2.0,1.0,0.0,0.0,0.0,0.0,234.0,155.0,140.0,98.0,52.0,42.0
0.0588,32.118987946055626,-18.89644746787604,0.2585829653498841,-12.282690854119426,-10.109599395313682,-6.046863189720333,26.360544217687075,18.89644746787604,14.36130007558579,12.282690854119426,10.109599395313682,6.046863189720333,4.0,0.0,1.0,0.0,0.0,0.0,279.0,200.0,152.0,130.0,107.0,64.0
0.0608,-26.549508692365837,11.760552174086012,-4.748975613637265,-17.290249433106577,2.715121136173769,-9.16477702191988,26.549508692365837,17.479213907785336,19.36885865457294,17.290249433106577,11.904761904761905,9.16477702191988,0.0,2.0,1.0,0.0,1.0,0.0,281.0,185.0,205.0,183.0,126.0,97.0
0.0627,56.162230974261064,-9.473087480606276,-22.770219198790628,11.57158769940725,-17.95162509448224,5.927517205712697,31.557067271352988,24.09297052154195,22.770219198790628,17.6681783824641,17.95162509448224,8.692365835222978,6.0,1.0,0.0,2.0,0.0,1.0,334.0,255.0,241.0,187.0,190.0,92.0
0.0647,9.940525917969538,-9.567569717945657,4.107490949596215,-7.677924971158054,-19.74678760393046,-0.875203882722678,33.91912320483749,24.18745275888133,25.132275132275133,22.29780801209373,19.74678760393046,15.495086923658352,3.0,1.0,2.0,1.0,0.0,1.0,359.0,256.0,266.0,236.0,209.0,164.0
0.0667,-7.419342005808172,27.772805028444132,-0.23869196801527437,-27.77777777777778,-8.150336157854953,39.96101364522418,36.65910808767952,30.706727135298564,29.478458049886623,27.77777777777778,22.770219198790628,18.51851851851852,2.0,4.0,2.0,0.0,1.0,4.0,388.0,325.0,312.0,294.0,241.0,196.0
0.0686,-12.332418347455938,-5.340732784341807,-15.992361857023509,-30.990173847316704,0.9895771173966672,-7.583442733818673,41.57218442932729,34.580498866213155,30.612244897959183,30.990173847316704,28.25018896447468,22.203325774754347,2.0,2.0,1.0,0.0,2.0,1.0,440.0,366.0,324.0,328.0,299.0,235.0
0.0706,30.48792616461791,10.41293710466644,-7.324859768468787,-8.08071766718383,11.83017066475714,19.672196363925696,42.61148904006047,33.44671201814059,36.564625850340136,37.32048374905518,32.02947845804989,24.18745275888133,5.0,3.0,2.0,2.0,3.0,3.0,451.0,354.0,387.0,395.0,339.0,256.0
0.0725,-19.702032859927595,-13.844134144886024,6.066754187054947,-23.928869793531447,25.127302382941487,-20.99992043601066,48.94179894179894,43.08390022675737,37.79289493575208,38.54875283446712,33.35222978080121,35.61980347694634,2.0,2.0,3.0,1.0,4.0,1.0,518.0,456.0,400.0,408.0,353.0,377.0
0.0745,-26.03234276166607,-2.8145761228467876,-16.96204797708557,-18.662728249194412,-13.749651907546646,33.22791104745993,55.27210884353742,46.674225245653815,46.20181405895692,47.90249433106576,42.989417989417994,39.871504157218446,2.0,3.0,2.0,2.0,2.0,5.0,585.0,494.0,489.0,507.0,455.0,422.0
0.0765,19.786569598599698,-15.758642638341875,-17.175876198432583,1.223296336078299,59.41938178780285,20.283844531964846,67.93272864701436,59.6182917611489,61.03552532123961,57.2562358276644,57.539682539682545,52.815570672713534,6.0,3.0,3.0,4.0,8.0,5.0,719.0,631.0,646.0,606.0,609.0,559.0
0.0784,9.015594541910346,-39.82674941321558,75.99852806619727,-0.502247682698794,49.026335680471036,-20.860683454668404,78.70370370370371,69.06651549508693,70.20030234315949,73.60166288737717,67.93272864701436,64.72033257747543,6.0,2.0,10.0,5.0,8.0,3.0,833.0,731.0,743.0,779.0,719.0,685.0
0.0804,27.36503958308471,-5.156741058996687,-2.227791701475894,-3.456060786887832,-61.74662847595178,-1.7553805147789916,104.21390778533636,92.87603930461074,89.94708994708995,91.17535903250189,90.98639455782313,89.47467876039305,9.0,6.0,6.0,6.0,2.0,6.0,1103.0,983.0,952.0,965.0,963.0,947.0
0.0824,-63.80534670008352,-10.591956080677875,-28.046306241794937,-29.274575327206875,-0.31825595735369916,59.48402752914035,136.9047619047619,127.55102040816327,130.38548752834467,131.6137566137566,131.89720332577477,130.57445200302342,5.0,8.0,7.0,7.0,9.0,13.0,1449.0,1350.0,1380.0,1393.0,1396.0,1382.0
0.0843,-15.2514222063094,-49.56836535783901,-12.605919560806768,65.12312527350124,-108.99271989497552,19.184866929227866,205.30990173847317,195.76719576719577,202.66439909297054,198.0347694633409,196.71201814058958,200.11337868480726,13.0,10.0,13.0,18.0,6.0,15.0,2173.0,2072.0,2145.0,2096.0,2082.0,2118.0
0.0863,79.35513386641213,-20.338544774634954,-54.46652345148581,-76.92843219159008,21.820424076063205,66.24696662290654,315.3817082388511,312.7362055933485,303.0045351473923,310.84656084656086,314.4368858654573,313.869992441421,27.0,20.0,17.0,16.0,23.0,26.0,3338.0,3310.0,3207.0,3290.0,3328.0,3322.0
0.0882,84.13394597605134,-17.14106695309698,-32.258224927397805,-196.47829892190794,134.89079842463315,-93.5722242113219,500.6613756613757,484.97732426303855,500.0944822373394,503.4958427815571,493.7641723356009,502.9289493575208,40.0,32.0,32.0,21.0,43.0,28.0,5299.0,5133.0,5293.0,5329.0,5226.0,5323.0
