# metadata,value
mode,qcl
fudge_factor,1
cycles,6
cycles_completed,6
integration_time,4
on_start,0.1
on_stop,0.29
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.011),Counts_TL2(0.012),Counts_TL3(0.014),Counts_TL4(0.016),Counts_TL5(0.018),Counts_TL6(0.020),DCounts_TL1(0.011),DCounts_TL2(0.012),DCounts_TL3(0.014),DCounts_TL4(0.016),DCounts_TL5(0.018),DCounts_TL6(0.020),ClicksOn_TL1(0.011),ClicksOn_TL2(0.012),ClicksOn_TL3(0.014),ClicksOn_TL4(0.016),ClicksOn_TL5(0.018),ClicksOn_TL6(0.020),ClicksOff_TL1(0.011),ClicksOff_TL2(0.012),ClicksOff_TL3(0.014),ClicksOff_TL4(0.016),ClicksOff_TL5(0.018),ClicksOff_TL6(0.020)
0.0294,19143.366849663846,8456.563034570556,5102.1974579305415,2821.5901857819154,1242.595576242193,255.84795321637432,1.369992441421013,1.0393046107331823,0.1417233560090703,0.0472411186696901,0.0944822373393802,0.0,2619.0,1157.0,698.0,386.0,170.0,35.0,29.0,22.0,3.0,1.0,2.0,0.0
0.0314,20883.794307196567,10686.80381509329,7463.261327922984,4371.3450292397665,1856.7251461988308,657.8947368421053,0.7086167800453514,0.3306878306878307,0.1889644746787604,0.0,0.0,0.0,2857.0,1462.0,1021.0,598.0,254.0,90.0,15.0,7.0,4.0,0.0,0.0,0.0
0.0333,22468.965071408686,12659.921132195572,9678.220849743408,6257.309941520469,2989.7660818713457,1067.2514619883043,1.7951625094482238,0.8975812547241119,0.1417233560090703,0.0,0.0,0.0,3074.0,1732.0,1324.0,856.0,409.0,146.0,38.0,19.0,3.0,0.0,0.0,0.0
0.0353,25041.970004376024,14435.858992719897,11783.295043163465,8406.432748538013,4831.871345029241,2302.631578947369,1.889644746787604,1.2755102040816326,0.3306878306878307,0.0,0.0,0.0,3426.0,1975.0,1612.0,1150.0,661.0,315.0,40.0,27.0,7.0,0.0,0.0,0.0
0.0373,27782.39497553408,16950.195429048817,13457.082686875921,10730.757946453437,6915.204678362575,3676.900584795322,2.6927437641723357,1.5589569160997734,0.5196523053665911,0.2362055933484505,0.0,0.0,3801.0,2319.0,1841.0,1468.0,946.0,503.0,57.0,33.0,11.0,5.0,0.0,0.0
0.0392,28942.45534471099,18264.756633647616,15883.652583840556,12558.290567689066,9203.169133150339,5562.865497076024,4.913076341647771,2.787226001511716,0.8503401360544218,0.1889644746787604,0.0472411186696901,0.0,3960.0,2499.0,2173.0,1718.0,1259.0,761.0,104.0,59.0,18.0,4.0,1.0,0.0
0.0412,31067.333512352317,21931.843497632977,18564.605959342804,15218.636869952663,11271.929824561405,7448.830409356727,7.227891156462586,5.291005291005291,2.6455026455026456,0.6613756613756614,0.0,0.0,4251.0,3001.0,2540.0,2082.0,1542.0,1019.0,153.0,112.0,56.0,14.0,0.0,0.0
0.0431,34118.070473803564,23684.00912996778,20631.949417193784,18163.64572144648,13449.867227592795,9510.186677009988,12.046485260770975,7.511337868480726,4.015495086923658,1.5589569160997734,0.4251700680272109,0.0472411186696901,4669.0,3241.0,2823.0,2485.0,1840.0,1301.0,255.0,159.0,85.0,33.0,9.0,1.0
0.0451,36042.74575327208,25499.082527747945,23487.632772407214,21094.270895492704,15489.199188447312,12923.882125949798,17.195767195767196,12.613378684807257,6.519274376417234,2.2203325774754346,0.5668934240362812,0.0944822373393802,4933.0,3490.0,3214.0,2886.0,2119.0,1768.0,364.0,267.0,138.0,47.0,12.0,2.0
0.0471,37309.00664359312,28168.285296574777,25522.8075148188,21801.114890400608,19113.70191351395,15562.582050364008,22.86470143613001,18.84920634920635,10.818216175359034,4.440665154950869,1.7951625094482238,0.2834467120181406,5107.0,3856.0,3493.0,2983.0,2615.0,2129.0,484.0,399.0,229.0,94.0,38.0,6.0
0.049,38473.873175001005,28935.863965469234,28111.411962445804,24436.082766439915,21276.216334487013,17038.717826311815,27.58881330309902,26.124338624338627,17.243008314436885,8.361678004535147,3.0234315948601664,0.7558578987150416,5267.0,3962.0,3848.0,3344.0,2911.0,2331.0,584.0,553.0,365.0,177.0,64.0,16.0
0.051,39742.10576043283,30757.869375820508,29302.022417154,26630.23381867367,24373.647412181253,20261.3627322274,38.59599395313681,31.604308390022677,25.462962962962965,14.50302343159486,5.00755857898715,1.7951625094482238,5442.0,4212.0,4012.0,3645.0,3335.0,2772.0,817.0,669.0,539.0,307.0,106.0,38.0
0.0529,39917.76813064408,31020.070016310623,30637.461709830135,29137.67305167682,26517.33749055178,22971.08346262482,45.68216175359033,39.871504157218446,35.05291005291006,21.683673469387756,10.440287226001512,4.062736205593349,5467.0,4249.0,4196.0,3989.0,3629.0,3143.0,967.0,844.0,742.0,459.0,221.0,86.0
0.0549,40977.08308469587,32120.504634602385,30862.309543700525,30098.604646536984,29104.288499025348,24993.197278911568,53.618669690098265,50.547996976568406,44.123204837490555,32.97430083144369,18.51851851851852,6.802721088435375,5613.0,4401.0,4228.0,4122.0,3984.0,3420.0,1135.0,1070.0,934.0,698.0,392.0,144.0
0.0569,41910.097664796915,32594.410132474048,32317.636850061666,31216.257409396512,30397.80502844413,27509.647133707287,63.58654572940287,59.09863945578231,50.78420256991686,41.052532123960695,26.171579743008316,12.282690854119426,5742.0,4467.0,4428.0,4276.0,4162.0,3765.0,1346.0,1251.0,1075.0,869.0,554.0,260.0
0.0588,43219.73336118074,33074.302820543424,32878.22234156821,33091.59306997653,31155.56997652863,29519.490691013252,77.05026455026456,68.97203325774754,60.374149659863946,51.681783824640966,35.95049130763417,19.982993197278912,5923.0,4534.0,4506.0,4534.0,4267.0,4041.0,1631.0,1460.0,1278.0,1094.0,761.0,423.0
0.0608,43744.902931933015,34462.17478219358,33861.508931057804,33524.27198949756,32968.83577992601,31626.80759438279,85.50642479213909,84.60884353741497,71.23960695389268,64.9092970521542,50.17006802721089,32.54913076341648,5996.0,4726.0,4642.0,4595.0,4517.0,4331.0,1810.0,1791.0,1508.0,1374.0,1062.0,689.0
0.0627,43478.85089708398,33558.98923897045,33951.28197477822,33389.37373194893,34380.85789871505,33324.862254843465,95.71050642479214,88.67157974300832,83.80574452003023,75.53854875283447,63.58654572940287,45.020786092214664,5961.0,4603.0,4656.0,4578.0,4712.0,4565.0,2026.0,1877.0,1774.0,1599.0,1346.0,953.0
0.0647,44532.26071130207,36066.74672793094,34727.62262799857,33778.05127899114,33147.67325058679,34417.46727930939,109.55215419501134,102.84391534391534,96.93877551020408,88.90778533635677,76.01095993953138,56.21693121693122,6107.0,4948.0,4764.0,4633.0,4545.0,4716.0,2319.0,2177.0,2052.0,1882.0,1609.0,1190.0
0.0667,44433.48699128775,34750.64894378805,35015.567191789,34797.98205832041,34790.21213748658,34022.51660898278,120.60657596371883,117.77210884353742,108.70181405895691,99.6787603930461,92.82879818594104,71.0506424792139,6095.0,4770.0,4805.0,4774.0,4772.0,4664.0,2553.0,2493.0,2301.0,2110.0,1965.0,1504.0
0.0686,44893.433981779854,35037.80284043442,35731.1134980308,34906.56701277003,34654.652504276564,35264.85111588496,128.49584278155706,123.01587301587303,124.14965986394559,115.36281179138322,104.11942554799698,86.02607709750568,6159.0,4810.0,4905.0,4791.0,4755.0,4836.0,2720.0,2604.0,2628.0,2442.0,2204.0,1821.0
0.0706,44654.92103274059,36444.95912400048,36155.0180013526,35913.80236305048,35821.431057803245,35635.365695986,140.40060468631899,141.2981859410431,138.8416477702192,131.51927437641723,121.55139833711263,102.93839758125473,6128.0,5005.0,4965.0,4931.0,4917.0,4889.0,2972.0,2991.0,2939.0,2784.0,2573.0,2179.0
0.0725,45721.34453196484,36599.2933723197,36117.322075028846,36106.13836177746,36766.974479850425,36085.48653379481,155.84845049130763,155.0925925925926,147.29780801209372,151.17157974300832,140.92025699168556,120.65381708238851,6276.0,5028.0,4961.0,4960.0,5049.0,4953.0,3299.0,3283.0,3118.0,3200.0,2983.0,2554.0
0.0745,46843.27137287664,37528.46898993516,37242.294724907515,35950.76232247286,36623.90350877194,37492.11073318217,174.2724867724868,176.20937263794409,177.29591836734696,167.65873015873015,159.72222222222223,146.77815570672715,6432.0,5158.0,5119.0,4941.0,5032.0,5149.0,3689.0,3730.0,3753.0,3549.0,3381.0,3107.0
0.0765,49043.431992680125,39154.91108724192,37845.87709352748,38845.7328837968,38347.25205871823,38105.10402991607,196.33408919123207,201.8140589569161,195.0585789871504,196.6647770219199,190.75963718820861,177.05971277399848,6736.0,5384.0,5204.0,5341.0,5272.0,5237.0,4156.0,4272.0,4129.0,4163.0,4038.0,3748.0
0.0784,49378.54059752556,40194.655786291136,40100.05171659307,39090.63084298047,39940.99335640689,40058.57898715042,234.03250188964475,236.63076341647772,236.2055933484505,229.5445956160242,227.13529856387,219.19879062736206,6787.0,5531.0,5518.0,5379.0,5495.0,5510.0,4954.0,5009.0,5000.0,4859.0,4808.0,4640.0
0.0804,53226.05621195848,42058.7455742531,41970.12869475276,43554.565978438164,42053.501810080765,43025.641981938985,297.3356009070295,287.74565381708237,288.6432350718065,305.08314436885865,292.989417989418,285.76152683295544,7322.0,5793.0,5781.0,6000.0,5793.0,5925.0,6294.0,6091.0,6110.0,6458.0,6202.0,6049.0
0.0824,58774.09297052155,48518.657755499866,47628.91106735092,47711.93111747624,48718.06997652863,47721.757270159535,392.57369614512476,399.4708994708995,404.7146636432351,394.79402872260016,390.1171579743008,384.9678760393046,8094.0,6692.0,6571.0,6581.0,6718.0,6581.0,8310.0,8456.0,8567.0,8357.0,8258.0,8149.0
0.0843,67613.10766996858,59737.77449576323,60755.78082110039,60516.477204917064,57824.481839519445,59457.96534988265,574.0268329554044,561.9331065759637,567.3185941043084,572.7040816326531,574.6409674981104,563.9644746787604,9328.0,8249.0,8389.0,8357.0,7989.0,8211.0,12151.0,11895.0,12009.0,12123.0,12164.0,11938.0
0.0863,113894.69706011061,101362.3866213152,99586.77944862157,104247.46389783986,94423.32766439911,94813.82523769743,856.7649281934996,859.8356009070295,859.1269841269842,854.875283446712,854.4501133786848,851.379440665155,15698.0,13984.0,13741.0,14378.0,13034.0,13087.0,18136.0,18201.0,18186.0,18096.0,18087.0,18022.0
0.0882,323061.1921669253,282751.25810558145,285990.2608704301,277719.00733977807,272416.14701436134,285910.84357719705,1346.7025699168557,1342.3091458805745,1319.680650037793,1338.0102040816328,1333.8529856387,1318.6885865457295,44379.0,38864.0,39304.0,38175.0,37449.0,39293.0,28507.0,28414.0,27935.0,28323.0,28235.0,27914.0
