# metadata,value
mode,qcl
fudge_factor,1
cycles,10
cycles_completed,10
integration_time,3
on_start,0.1
on_stop,0.3
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(-0.008),Counts_TL2(-0.010),Counts_TL3(-0.012),Counts_TL4(-0.014),DCounts_TL1(-0.008),DCounts_TL2(-0.010),DCounts_TL3(-0.012),DCounts_TL4(-0.014),ClicksOn_TL1(-0.008),ClicksOn_TL2(-0.010),ClicksOn_TL3(-0.012),ClicksOn_TL4(-0.014),ClicksOff_TL1(-0.008),ClicksOff_TL2(-0.010),ClicksOff_TL3(-0.012),ClicksOff_TL4(-0.014)
0.0314,1274.5181405895692,5.839002267573697,-0.056689342403628114,0.0,242.1485260770975,2.494331065759637,0.056689342403628114,0.0,364.0,2.0,0.0,0.0,8543.0,88.0,2.0,0.0
0.0333,1338.6337868480728,38.91723356009071,-0.028344671201814057,-0.028344671201814057,244.69954648526075,2.749433106575964,0.028344671201814057,0.028344671201814057,380.0,10.0,0.0,0.0,8633.0,97.0,1.0,1.0
0.0353,1539.0589569161,38.97392290249434,4.138321995464853,0.0,244.27437641723355,2.6927437641723353,0.028344671201814057,0.0,428.0,10.0,1.0,0.0,8618.0,95.0,1.0,0.0
0.0373,1619.8979591836737,60.034013605442176,16.638321995464853,-0.1417233560090703,250.93537414965985,2.465986394557823,0.028344671201814057,0.1417233560090703,449.0,15.0,4.0,0.0,8853.0,87.0,1.0,5.0
0.0392,2239.3990929705215,121.91043083900227,12.5,0.0,248.10090702947846,3.0895691609977325,0.0,0.0,597.0,30.0,3.0,0.0,8753.0,109.0,0.0,0.0
0.0412,2921.485260770975,309.72222222222223,41.60997732426304,-0.028344671201814057,253.51473922902494,2.7777777777777777,0.056689342403628114,0.028344671201814057,762.0,75.0,10.0,0.0,8944.0,98.0,2.0,1.0
0.0431,4281.575963718821,750.6519274376418,129.02494331065762,8.333333333333334,247.59070294784578,3.514739229024943,0.1417233560090703,0.0,1087.0,181.0,31.0,2.0,8735.0,124.0,5.0,0.0
0.0451,6858.134920634921,1749.4897959183675,324.7732426303855,50.0,250.19841269841268,4.6768707482993195,0.22675736961451246,0.0,1706.0,421.0,78.0,12.0,8827.0,165.0,8.0,0.0
0.0471,10244.84126984127,3664.6258503401364,791.0997732426305,120.7482993197279,255.15873015873015,6.207482993197279,0.5668934240362812,0.08503401360544217,2520.0,881.0,190.0,29.0,9002.0,219.0,20.0,3.0
0.049,14620.719954648526,6435.2040816326535,2081.1791383219957,378.91156462585036,266.7800453514739,10.629251700680271,2.1541950113378685,0.25510204081632654,3573.0,1547.0,500.0,91.0,9412.0,375.0,76.0,9.0
0.051,19036.961451247167,10803.514739229026,4299.688208616781,1003.3446712018141,271.3718820861678,17.31859410430839,4.478458049886621,0.8219954648526077,4634.0,2597.0,1033.0,241.0,9574.0,611.0,158.0,29.0
0.0529,23049.433106575965,15670.238095238095,8135.515873015874,2384.6938775510203,283.9002267573696,25.595238095238095,10.317460317460316,2.806122448979592,5600.0,3767.0,1955.0,573.0,10016.0,903.0,364.0,99.0
0.0549,26771.37188208617,20107.879818594105,12310.232426303855,5185.856009070295,291.12811791383217,37.95351473922902,18.934240362811792,5.810657596371882,6495.0,4835.0,2959.0,1246.0,10271.0,1339.0,668.0,205.0
0.0569,28664.937641723358,24265.90136054422,17649.007936507936,8883.390022675738,305.8956916099773,50.765306122448976,30.158730158730158,12.443310657596372,6953.0,5836.0,4243.0,2135.0,10792.0,1791.0,1064.0,439.0
0.0588,30786.649659863946,27896.626984126986,22830.867346938776,13734.268707482994,317.5170068027211,65.87301587301587,48.29931972789115,24.064625850340136,7465.0,6711.0,5491.0,3302.0,11202.0,2324.0,1704.0,849.0
0.0608,32535.600907029482,30060.45918367347,26057.28458049887,19305.924036281183,318.5657596371882,77.0408163265306,63.548752834467116,39.909297052154194,7885.0,7233.0,6269.0,4643.0,11239.0,2718.0,2242.0,1408.0
0.0627,33620.634920634926,31351.842403628118,29572.02380952381,23488.40702947846,333.531746031746,89.82426303854875,77.97619047619047,57.42630385487528,8149.0,7546.0,7116.0,5651.0,11767.0,3169.0,2751.0,2026.0
0.0647,34083.02154195011,31507.426303854878,31312.726757369615,27695.861678004538,341.9784580498866,96.74036281179139,91.43990929705215,74.97165532879818,8262.0,7585.0,7537.0,6665.0,12065.0,3413.0,3226.0,2645.0
