LECROYWM8600A,187,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,25-Jun-2025 12:37:31,0                 
Time,Ampl
-1.0000171e-005,-0.00580866
-9.9999706e-006,-0.00359893
-9.9997706e-006,-0.00580866
-9.9995706e-006,-0.0013892
-9.9993706e-006,-0.00359893
-9.9991706e-006,-0.00359893
-9.9989706e-006,-0.00359893
-9.9987706e-006,-0.00359893
-9.9985706e-006,-0.00580866
-9.9983706e-006,-0.00359893
-9.9981706e-006,-0.00359893
-9.9979706e-006,-0.00580866
-9.9977706e-006,-0.0013892
-9.9975706e-006,-0.00580866
-9.9973706e-006,-0.00801838
-9.9971706e-006,-0.00580866
-9.9969706e-006,-0.00580866
-9.9967706e-006,-0.00580866
-9.9965706e-006,-0.00580866
-9.9963706e-006,-0.00359893
-9.9961706e-006,-0.00580866
-9.9959706e-006,-0.00359893
-9.9957706e-006,-0.00801838
-9.9955706e-006,-0.00801838
-9.9953706e-006,-0.00801838
-9.9951706e-006,-0.00580866
-9.9949706e-006,-0.0102281
-9.9947706e-006,-0.00359893
-9.9945706e-006,-0.00580866
-9.9943706e-006,-0.00801838
-9.9941706e-006,-0.00359893
-9.9939706e-006,-0.00580866
-9.9937706e-006,-0.00580866
-9.9935706e-006,0.000820535
-9.9933706e-006,-0.0013892
-9.9931706e-006,-0.0013892
-9.9929706e-006,0.000820535
-9.9927706e-006,0.00303026
-9.9925706e-006,0.00303026
-9.9923706e-006,0.00523999
-9.9921706e-006,0.00303026
-9.9919706e-006,0.00303026
-9.9917706e-006,0.00744972
-9.9915706e-006,0.00303026
-9.9913706e-006,0.000820535
-9.9911706e-006,0.00523999
-9.9909706e-006,0.000820535
-9.9907706e-006,-0.0013892
-9.9905706e-006,0.00303026
-9.9903706e-006,0.000820535
-9.9901706e-006,-0.0013892
-9.9899706e-006,-0.0013892
-9.9897706e-006,-0.0013892
-9.9895706e-006,-0.0013892
-9.9893706e-006,-0.0013892
-9.9891706e-006,-0.00359893
-9.9889706e-006,-0.0013892
-9.9887706e-006,-0.0013892
-9.9885706e-006,-0.00359893
-9.9883706e-006,-0.00359893
-9.9881706e-006,-0.00359893
-9.9879706e-006,-0.0013892
-9.9877706e-006,-0.00359893
-9.9875706e-006,-0.0013892
-9.9873706e-006,-0.0013892
-9.9871706e-006,-0.00359893
-9.9869706e-006,0.000820535
-9.9867706e-006,0.000820535
-9.9865706e-006,-0.0013892
-9.9863706e-006,0.00744972
-9.9861706e-006,0.000820535
-9.9859706e-006,-0.0013892
-9.9857706e-006,0.00303026
-9.9855706e-006,0.000820535
-9.9853706e-006,0.000820535
-9.9851706e-006,0.00303026
-9.9849706e-006,0.00303026
-9.9847706e-006,0.000820535
-9.9845706e-006,0.00744972
-9.9843706e-006,0.00303026
-9.9841706e-006,0.00303026
-9.9839706e-006,0.00523999
-9.9837706e-006,0.00523999
-9.9835706e-006,0.00303026
-9.9833706e-006,0.00303026
-9.9831706e-006,0.000820535
-9.9829706e-006,-0.0013892
-9.9827706e-006,0.00303026
-9.9825706e-006,0.000820535
-9.9823706e-006,-0.0013892
-9.9821706e-006,0.00303026
-9.9819706e-006,0.000820535
-9.9817706e-006,0.000820535
-9.9815706e-006,0.000820535
-9.9813706e-006,-0.0013892
-9.9811706e-006,0.000820535
-9.9809706e-006,0.00303026
-9.9807706e-006,0.000820535
-9.9805706e-006,0.000820535
-9.9803706e-006,0.00744972
-9.9801706e-006,0.00303026
-9.9799706e-006,0.00303026
-9.9797706e-006,0.00523999
-9.9795706e-006,0.00523999
-9.9793706e-006,0.00303026
-9.9791706e-006,0.00523999
-9.9789706e-006,0.00303026
-9.9787706e-006,0.00303026
-9.9785706e-006,0.00303026
-9.9783706e-006,0.00303026
-9.9781706e-006,0.00303026
-9.9779706e-006,0.00523999
-9.9777706e-006,0.00523999
-9.9775706e-006,0.00303026
-9.9773706e-006,0.00744972
-9.9771706e-006,0.00303026
-9.9769706e-006,0.00523999
-9.9767706e-006,0.00744972
-9.9765706e-006,0.00523999
-9.9763706e-006,0.00303026
-9.9761706e-006,0.00744972
-9.9759706e-006,0.00523999
-9.9757706e-006,0.00303026
-9.9755706e-006,0.00744972
-9.9753706e-006,0.00303026
-9.9751706e-006,0.00303026
-9.9749706e-006,0.00744972
-9.9747706e-006,0.00303026
-9.9745706e-006,0.00303026
-9.9743706e-006,0.00744972
-9.9741706e-006,0.00303026
-9.9739706e-006,0.00303026
-9.9737706e-006,0.00523999
-9.9735706e-006,0.00523999
-9.9733706e-006,0.00303026
-9.9731706e-006,0.00303026
-9.9729706e-006,0.00303026
-9.9727706e-006,0.00303026
-9.9725706e-006,0.00523999
-9.9723706e-006,0.00303026
-9.9721706e-006,0.000820535
-9.9719706e-006,0.00744972
-9.9717706e-006,0.00523999
-9.9715706e-006,0.00303026
-9.9713706e-006,0.00744972
-9.9711706e-006,0.00523999
-9.9709706e-006,0.00303026
-9.9707706e-006,0.00744972
-9.9705706e-006,0.00303026
-9.9703706e-006,0.00303026
-9.9701706e-006,0.00744972
-9.9699706e-006,0.00744972
-9.9697706e-006,0.00303026
-9.9695706e-006,0.00744972
-9.9693706e-006,0.00523999
-9.9691706e-006,0.000820535
-9.9689706e-006,0.00523999
-9.9687706e-006,0.00303026
-9.9685706e-006,0.00303026
-9.9683706e-006,0.00744972
-9.9681706e-006,0.00303026
-9.9679706e-006,0.00303026
-9.9677706e-006,0.00744972
-9.9675706e-006,0.00744972
-9.9673706e-006,0.00303026
-9.9671706e-006,0.00744972
-9.9669706e-006,0.00523999
-9.9667706e-006,0.00303026
-9.9665706e-006,0.00523999
-9.9663706e-006,0.00523999
-9.9661706e-006,0.00303026
-9.9659706e-006,0.00523999
-9.9657706e-006,0.000820535
-9.9655706e-006,-0.0013892
-9.9653706e-006,0.00303026
-9.9651706e-006,0.000820535
-9.9649706e-006,0.000820535
-9.9647706e-006,-0.0013892
-9.9645706e-006,-0.0013892
-9.9643706e-006,-0.00359893
-9.9641706e-006,0.000820535
-9.9639706e-006,-0.0013892
-9.9637706e-006,-0.00359893
-9.9635706e-006,0.000820535
-9.9633706e-006,0.000820535
-9.9631706e-006,-0.0013892
-9.9629706e-006,0.00303026
-9.9627706e-006,0.000820535
-9.9625706e-006,0.000820535
-9.9623706e-006,0.00303026
-9.9621706e-006,0.00523999
-9.9619706e-006,0.00303026
-9.9617706e-006,0.00523999
-9.9615706e-006,0.00523999
-9.9613706e-006,0.00523999
-9.9611706e-006,0.00744972
-9.9609706e-006,0.00523999
-9.9607706e-006,0.00744972
-9.9605706e-006,0.00965945
-9.9603706e-006,0.00523999
-9.9601706e-006,0.00744972
-9.9599706e-006,0.00965945
-9.9597706e-006,0.00965945
-9.9595706e-006,0.00523999
-9.9593706e-006,0.00744972
-9.9591706e-006,0.00744972
-9.9589706e-006,0.00523999
-9.9587706e-006,0.00744972
-9.9585706e-006,0.00744972
-9.9583706e-006,0.00523999
-9.9581706e-006,0.0118692
-9.9579706e-006,0.00965945
-9.9577706e-006,0.00744972
-9.9575706e-006,0.0118692
-9.9573706e-006,0.00965945
-9.9571706e-006,0.00744972
-9.9569706e-006,0.0118692
-9.9567706e-006,0.00744972
-9.9565706e-006,0.00523999
-9.9563706e-006,0.00965945
-9.9561706e-006,0.00523999
-9.9559706e-006,0.000820535
-9.9557706e-006,0.00744972
-9.9555706e-006,0.000820535
-9.9553706e-006,0.000820535
-9.9551706e-006,0.000820535
-9.9549706e-006,-0.0013892
-9.9547706e-006,-0.0013892
-9.9545706e-006,0.000820535
-9.9543706e-006,-0.0013892
-9.9541706e-006,-0.0013892
-9.9539706e-006,-0.0013892
-9.9537706e-006,-0.0013892
-9.9535706e-006,-0.00359893
-9.9533706e-006,-0.0013892
-9.9531706e-006,-0.0013892
-9.9529706e-006,-0.0013892
-9.9527706e-006,0.000820535
-9.9525706e-006,-0.0013892
-9.9523706e-006,-0.0013892
-9.9521706e-006,0.000820535
-9.9519706e-006,0.000820535
-9.9517706e-006,-0.0013892
-9.9515706e-006,0.000820535
-9.9513706e-006,0.000820535
-9.9511706e-006,-0.0013892
-9.9509706e-006,-0.0013892
-9.9507706e-006,-0.0013892
-9.9505706e-006,0.000820535
-9.9503706e-006,0.000820535
-9.9501706e-006,-0.0013892
-9.9499706e-006,0.000820535
-9.9497706e-006,-0.0013892
-9.9495706e-006,-0.0013892
-9.9493706e-006,-0.0013892
-9.9491706e-006,0.000820535
-9.9489706e-006,-0.00359893
-9.9487706e-006,-0.0013892
-9.9485706e-006,-0.0013892
-9.9483706e-006,-0.0013892
-9.9481706e-006,-0.00359893
-9.9479706e-006,-0.0013892
-9.9477706e-006,-0.0013892
-9.9475706e-006,-0.00580866
-9.9473706e-006,-0.0013892
-9.9471706e-006,-0.00359893
-9.9469706e-006,-0.00359893
-9.9467706e-006,-0.00359893
-9.9465706e-006,-0.00580866
-9.9463706e-006,-0.00359893
-9.9461706e-006,-0.00359893
-9.9459706e-006,-0.00580866
-9.9457706e-006,-0.00359893
-9.9455706e-006,-0.00359893
-9.9453706e-006,-0.00359893
-9.9451706e-006,0.000820535
-9.9449706e-006,0.00303026
-9.9447706e-006,-0.0013892
-9.9445706e-006,-0.0013892
-9.9443706e-006,0.00303026
-9.9441706e-006,0.000820535
-9.9439706e-006,0.000820535
-9.9437706e-006,0.00523999
-9.9435706e-006,0.000820535
-9.9433706e-006,0.00303026
-9.9431706e-006,0.00965945
-9.9429706e-006,0.00523999
-9.9427706e-006,0.00303026
-9.9425706e-006,0.00744972
-9.9423706e-006,0.00744972
-9.9421706e-006,0.00523999
-9.9419706e-006,0.00965945
-9.9417706e-006,0.00744972
-9.9415706e-006,0.00523999
-9.9413706e-006,0.00965945
-9.9411706e-006,0.00744972
-9.9409706e-006,0.00965945
-9.9407706e-006,0.0118692
-9.9405706e-006,0.0118692
-9.9403706e-006,0.0162886
-9.9401706e-006,0.0140789
-9.9399706e-006,0.0118692
-9.9397706e-006,0.0118692
-9.9395706e-006,0.0140789
-9.9393706e-006,0.0118692
-9.9391706e-006,0.0118692
-9.9389706e-006,0.0140789
-9.9387706e-006,0.0118692
-9.9385706e-006,0.00965945
-9.9383706e-006,0.0118692
-9.9381706e-006,0.0118692
-9.9379706e-006,0.00965945
-9.9377706e-006,0.0118692
-9.9375706e-006,0.00744972
-9.9373706e-006,0.00965945
-9.9371706e-006,0.00744972
-9.9369706e-006,0.00965945
-9.9367706e-006,0.00523999
-9.9365706e-006,0.00744972
-9.9363706e-006,0.00523999
-9.9361706e-006,0.00523999
-9.9359706e-006,0.00965945
-9.9357706e-006,0.00523999
-9.9355706e-006,0.00523999
