# metadata,value
mode,qcl
fudge_factor,1
on_start,0.1
on_stop,0.29
off_start,0.6
off_stop,30

Bias_Current,Counts_TL1(0.016),DCounts_TL1(0.016),ClicksOn_TL1(0.016),ClicksOff_TL1(0.016)
0.0,1812.1494211719778,643.9909297052154,7,284
0.0039,-523.8095238095239,523.8095238095239,0,231
0.0078,-589.5691609977324,589.5691609977324,0,260
0.0118,-578.2312925170068,578.2312925170068,0,255
0.0157,118.98794605561534,582.766439909297,2,257
0.0196,-437.6417233560091,437.6417233560091,0,193
0.0235,-541.9501133786848,541.9501133786848,0,239
0.0275,836.6153478935435,566.8934240362812,4,250
0.0314,3037.116601026376,471.65532879818596,10,208
0.0353,6498.26948323189,519.2743764172336,20,229
0.0392,4365.795440983411,546.4852607709751,14,241
0.0431,6480.12889366273,537.4149659863946,20,237
0.0471,16893.06599832916,650.7936507936508,50,287
0.051,15751.999045232129,739.2290249433106,47,326
0.0549,20304.332259219478,748.2993197278912,60,330
0.0588,19760.71130206469,941.0430839002267,59,415
0.0627,22744.002864303617,1115.6462585034014,68,492
0.0667,16959.899749373435,1285.7142857142858,52,567
0.0706,23589.68850698174,1673.469387755102,72,738
0.0745,26377.968731352194,2043.0839002267574,81,901
0.0784,48400.40577634563,2827.6643990929706,146,1247
0.0824,93934.95643871585,4310.657596371882,280,1901
0.0863,362779.56796753797,9501.133786848073,1061,4190
0.0902,7505262.32247285,23158.73015873016,21456,10213
0.0941,19130545.5304929,67349.20634920635,54714,29701
0.0931,16134843.060031032,50770.97505668934,46129,22390
