Bias_Current,Counts_TL1(0.010),Counts_TL2(0.011),Counts_TL3(0.012),Counts_TL4(0.013),Counts_TL5(0.014),DCounts_TL1(0.010),DCounts_TL2(0.011),DCounts_TL3(0.012),DCounts_TL4(0.013),DCounts_TL5(0.014)
0.0,154.5,58.0,-97.35714285714312,96.4285714285711,-97.71428571428578,36483.0,16867.0,7192.0,2675.0,1012.0
0.0039,819.9999999999927,-77.57142857143117,-91.28571428571468,31.07142857142844,-13.571428571428669,37880.0,16724.0,7552.0,2635.0,960.0
0.0078,623.5,-242.5,44.285714285713766,54.07142857142844,48.499999999999886,36564.0,16705.0,6845.0,2587.0,889.0
0.0118,320.35714285713766,-7.214285714288053,57.785714285713766,-41.92857142857156,-53.35714285714289,35585.0,15909.0,6819.0,2683.0,873.0
0.0157,620.8571428571377,-242.1428571428587,-69.07142857142935,-81.00000000000045,-25.642857142857224,37397.0,16535.0,6878.0,2731.0,881.0
0.0196,-930.3571428571449,2.142857142855064,-47.35714285714312,-138.64285714285734,-61.85714285714289,35600.0,15580.0,6692.0,2644.0,919.0
0.0235,-1980.5714285714348,150.78571428571377,-279.1428571428578,39.428571428571104,7.14285714285711,37827.0,16476.0,7022.0,2632.0,775.0
0.0275,-909.0,-98.00000000000182,-190.28571428571468,-69.92857142857156,35.28571428571422,36809.0,16148.0,6951.0,2836.0,954.0
0.0314,61.142857142855064,-184.85714285714494,21.071428571427532,200.21428571428532,-38.35714285714289,40471.0,16692.0,6720.0,2598.0,883.0
0.0353,381.64285714285506,558.4285714285706,136.57142857142753,-124.85714285714312,41.78571428571422,37088.0,15413.0,6392.0,2482.0,835.0
0.0392,13.5,-87.21428571428805,-138.0000000000009,-40.571428571428896,-114.78571428571433,35399.0,16239.0,6463.0,2387.0,863.0
0.0431,-585.1428571428623,245.8571428571413,73.42857142857065,-139.85714285714312,-35.71428571428578,35253.0,15372.0,5798.0,2372.0,800.0
0.0471,-655.6428571428623,112.21428571428442,45.92857142857065,190.21428571428532,27.57142857142844,37386.0,14611.0,6338.0,2258.0,751.0
0.051,198.0,511.57142857142753,91.64285714285688,157.57142857142844,77.71428571428567,33177.0,14467.0,6403.0,2371.0,783.0
0.0549,3638.142857142855,1726.5714285714275,1578.5714285714275,855.7142857142853,614.6428571428571,35344.0,15852.0,6700.0,2455.0,855.0
0.0588,9344.499999999993,7454.428571428569,6738.999999999998,4704.142857142857,3446.142857142857,32918.0,14242.0,6111.0,2803.0,911.0
0.0627,17177.999999999993,15499.142857142855,14896.785714285714,13083.142857142855,11310.357142857141,36172.0,15483.0,6705.0,2624.0,1020.0
0.0667,25167.499999999993,24538.857142857138,23722.571428571424,23318.071428571428,21769.785714285714,32770.0,14904.0,6756.0,2948.0,1432.0
0.0706,29332.142857142848,31848.999999999993,30901.714285714283,30057.071428571428,30036.499999999996,34425.0,15701.0,7384.0,3484.0,1701.0
0.0745,36067.0,36151.85714285714,36654.49999999999,36670.57142857143,36745.21428571428,37608.0,16666.0,7708.0,3683.0,1928.0
0.0784,40391.07142857142,41134.85714285714,40997.142857142855,40839.928571428565,41212.57142857143,35525.0,15758.0,7160.0,3469.0,1941.0
0.0824,45826.214285714275,44931.35714285714,45313.57142857142,44810.78571428571,44994.642857142855,34222.0,15799.0,7590.0,3691.0,2125.0
0.0863,48910.07142857142,48881.928571428565,49347.49999999999,48400.07142857142,49360.142857142855,34831.0,16552.0,7940.0,3816.0,2247.0
