Bias_Current,Counts_TL1(0.010),Counts_TL2(0.011),Counts_TL3(0.012),Counts_TL4(0.013),Counts_TL5(0.014),DCounts_TL1(0.010),DCounts_TL2(0.011),DCounts_TL3(0.012),DCounts_TL4(0.013),DCounts_TL5(0.014)
0.0,-7.714285714286234,36.428571428571104,48.28571428571422,-79.21428571428572,-42.571428571428584,12147.0,3910.0,1166.0,456.0,164.0
0.0039,49.42857142857065,290.28571428571377,-38.92857142857156,-101.71428571428572,-37.35714285714286,12272.0,3999.0,1230.0,441.0,132.0
0.0078,-376.57142857142935,83.9285714285711,31.28571428571422,14.285714285714278,35.714285714285694,12298.0,3925.0,1208.0,325.0,125.0
0.0118,-375.42857142857247,53.285714285713766,19.07142857142844,-18.35714285714289,69.64285714285714,12254.0,4011.0,1197.0,363.0,75.0
0.0157,315.9999999999982,115.21428571428532,-65.28571428571445,-24.71428571428578,-45.000000000000014,12109.0,3808.0,1201.0,414.0,145.0
0.0196,-278.71428571428623,-120.78571428571468,-93.64285714285734,8.785714285714278,9.142857142857139,12193.0,4044.0,1274.0,343.0,73.0
0.0235,-87.50000000000182,-134.42857142857156,-1714.0000000000005,-9.142857142857338,-78.85714285714289,12475.0,3838.0,5739.0,2877.0,986.0
0.0275,-325.7857142857174,-379.57142857142935,213.4999999999991,15.999999999999545,-19.71428571428578,27749.0,14726.0,6699.0,2709.0,959.0
0.0314,-160.6428571428587,-95.28571428571558,34.35714285714221,-288.7857142857147,-47.85714285714289,28191.0,14806.0,6971.0,2962.0,980.0
0.0353,-164.71428571428987,-233.1428571428587,-15.00000000000091,-4.071428571428896,31.857142857142776,28054.0,14651.0,6940.0,2838.0,936.0
0.0392,-397.85714285714494,-219.35714285714494,-111.85714285714312,-67.85714285714312,73.85714285714278,27455.0,14789.0,7069.0,2900.0,894.0
0.0431,-509.6428571428587,-103.78571428571558,-161.28571428571468,-5.7857142857146755,-14.85714285714289,28040.0,14527.0,6722.0,2779.0,847.0
0.0471,247.78571428571013,198.49999999999818,-97.78571428571468,-93.35714285714312,9.571428571428442,27829.0,14514.0,6896.0,2913.0,1019.0
0.051,257.7857142857101,-131.6428571428587,-87.28571428571468,66.78571428571422,49.07142857142844,27869.0,14512.0,6973.0,2885.0,942.0
0.0549,41.99999999999636,11.785714285713766,120.28571428571377,-19.92857142857156,-20.42857142857156,28083.0,14590.0,6969.0,2861.0,974.0
0.0588,-278.07142857143117,294.78571428571195,32.64285714285688,99.14285714285688,-66.50000000000011,28462.0,14732.0,7212.0,2883.0,1029.0
0.0627,-322.2142857142899,121.49999999999818,-271.6428571428578,26.857142857142662,54.857142857142776,28574.0,14841.0,7152.0,2641.0,913.0
0.0667,-379.1428571428587,-26.428571428572468,-388.8571428571431,-48.071428571428896,-57.35714285714289,28372.0,14505.0,7221.0,2932.0,1127.0
