Bias_Current,Counts_TL1(0.010),Counts_TL2(0.011),Counts_TL3(0.012),Counts_TL4(0.013),Counts_TL5(0.014),DCounts_TL1(0.010),DCounts_TL2(0.011),DCounts_TL3(0.012),DCounts_TL4(0.013),DCounts_TL5(0.014)
0.0961,-361.5714285714348,-40.464285714286234,-87.10714285714312,-24.71428571428578,-18.535714285714334,35095.5,11686.0,3738.0,1176.5,348.0
0.1,592.9642857142826,-312.2500000000018,-162.60714285714312,-30.46428571428578,-4.785714285714334,33474.0,12143.5,3926.0,1126.0,328.0
0.1039,2530.8214285714275,1320.6071428571413,522.9285714285706,151.3928571428571,51.78571428571422,34254.0,11203.5,3873.5,1237.0,387.5
0.1078,9739.392857142855,3854.0714285714275,1804.9642857142853,674.3214285714284,258.5357142857142,37161.5,12287.0,3924.5,1198.0,337.0
0.1118,12906.857142857138,7164.964285714283,3466.642857142856,1394.9999999999995,456.9999999999999,35823.5,12427.0,4215.5,1280.0,380.5
0.1157,16885.642857142855,10959.571428571428,5966.678571428571,2619.6071428571427,981.3928571428571,36321.5,13169.0,4373.5,1454.5,382.0
0.1196,18218.642857142848,14686.964285714283,8343.785714285714,3921.0714285714284,1544.1071428571427,41913.5,12705.0,4008.0,1370.0,405.0
0.1235,25509.32142857142,16101.607142857141,11030.42857142857,5619.3214285714275,2298.0714285714284,35088.0,13522.5,4116.0,1403.0,418.0
0.1275,29963.5,21405.678571428565,14009.142857142855,7426.464285714284,3322.0357142857138,36211.5,13034.5,4248.0,1503.0,473.5
0.1314,29734.392857142848,24468.321428571428,16526.67857142857,9572.071428571428,4729.392857142857,34429.0,11466.5,4376.0,1594.0,509.0
0.1353,32177.07142857142,26584.428571428565,19298.35714285714,11978.357142857141,5995.714285714285,31464.0,11599.5,4419.5,1614.5,627.5
0.1392,33688.928571428565,29577.714285714283,22242.42857142857,14410.642857142855,7892.285714285714,36920.0,12970.5,4829.0,1984.0,747.0
0.1431,36200.178571428565,31565.178571428565,25021.03571428571,17394.321428571428,9723.357142857141,34602.5,12112.5,4487.0,1953.0,819.5
0.1471,36301.678571428565,33194.678571428565,27852.67857142857,19818.999999999996,12179.071428571428,31926.0,11583.0,4612.5,2081.0,937.0
0.151,38124.928571428565,35080.35714285714,30104.928571428565,22841.92857142857,14689.285714285712,31934.0,11537.5,4516.5,2229.5,1150.0
0.1549,37492.214285714275,36581.10714285714,32511.964285714283,26115.071428571428,17766.5,34831.0,13805.5,5330.0,2451.0,1258.5
0.1588,39953.464285714275,38124.49999999999,34702.49999999999,28564.321428571424,20905.642857142855,30726.0,13138.0,5760.0,2620.5,1439.0
0.1627,40753.5,38733.46428571428,37081.96428571428,32091.607142857138,24102.964285714283,28684.0,12283.5,5247.5,2807.5,1689.0
0.1667,40487.678571428565,40565.178571428565,38646.99999999999,34032.85714285714,27249.499999999996,34865.0,12275.0,5265.5,3010.0,1925.5
0.1706,42965.714285714275,41670.428571428565,39925.60714285714,36312.46428571428,30544.142857142855,37445.0,12838.5,5773.5,3167.0,2050.5
0.1745,41017.964285714275,41996.892857142855,41100.60714285714,38573.35714285714,33352.10714285714,37361.5,13579.0,5898.5,3269.5,2272.0
0.1784,44282.892857142855,42707.96428571428,41760.57142857143,40121.642857142855,35949.178571428565,34555.5,12359.0,5343.0,3398.0,2391.0
