Bias_Current,Counts_TL1(0.010),Counts_TL2(0.011),Counts_TL3(0.012),Counts_TL4(0.013),Counts_TL5(0.014),Counts_TL6(0.015),DCounts_TL1(0.010),DCounts_TL2(0.011),DCounts_TL3(0.012),DCounts_TL4(0.013),DCounts_TL5(0.014),DCounts_TL6(0.015)
0.0176,-379.92857142857247,-121.07142857142867,-12.142857142857167,48.78571428571428,1.1428571428571388,-10.000000000000004,8196.0,1255.0,230.0,53.0,56.0,35.0
0.0186,-221.1428571428587,-77.00000000000023,42.35714285714283,-15.642857142857146,38.14285714285714,-10.142857142857146,10264.0,1527.0,263.0,46.0,44.0,53.0
0.0196,302.28571428571377,21.28571428571422,8.071428571428555,69.85714285714283,18.714285714285708,-26.92857142857143,9687.0,1468.0,258.0,73.0,42.0,43.0
0.0206,285.7142857142844,-4.071428571428669,-48.785714285714306,40.78571428571428,12.857142857142854,-3.4285714285714306,9675.0,1438.0,272.0,61.0,30.0,32.0
0.0216,-449.21428571428623,18.14285714285711,0.6428571428571104,3.9285714285714235,22.999999999999993,-1.9285714285714306,10426.0,1464.0,194.0,55.0,27.0,18.0
0.0225,-99.50000000000182,-7.500000000000227,7.14285714285711,-1.9285714285714306,8.857142857142847,15.142857142857139,10662.0,1720.0,275.0,93.0,59.0,42.0
0.0235,19.142857142856883,73.71428571428555,65.07142857142856,47.07142857142857,-20.357142857142858,-23.5,8863.0,1312.0,226.0,44.0,40.0,36.0
0.0245,150.28571428571377,-11.000000000000227,20.071428571428555,2.714285714285708,9.142857142857139,-12.000000000000004,8689.0,1336.0,221.0,58.0,23.0,37.0
0.0255,362.0,58.78571428571422,19.857142857142833,24.214285714285708,-1.142857142857146,4.357142857142854,8788.0,1418.0,198.0,49.0,44.0,26.0
0.0265,-338.8571428571431,189.07142857142844,81.92857142857139,18.285714285714278,23.857142857142854,1.0714285714285694,9196.0,1452.0,227.0,71.0,19.0,40.0
0.0275,1115.2857142857138,458.42857142857133,108.64285714285711,13.999999999999986,16.57142857142857,11.142857142857139,9024.0,1313.0,211.0,61.0,37.0,46.0
0.0284,1320.7142857142844,462.9999999999998,268.7857142857142,117.2142857142857,18.285714285714285,-3.9285714285714306,9090.0,1362.0,158.0,56.0,21.0,20.0
0.0294,2271.5714285714275,1029.1428571428569,381.3571428571428,99.14285714285714,36.07142857142857,10.642857142857142,8657.0,1328.0,249.0,58.0,30.0,9.0
0.0304,2611.499999999998,1388.4999999999995,580.4999999999999,190.9285714285714,87.49999999999999,11.857142857142854,8601.0,1249.0,257.0,68.0,25.0,6.0
0.0314,3809.5714285714275,2011.6428571428569,970.3571428571427,392.07142857142856,152.14285714285714,41.71428571428571,7969.0,1308.0,285.0,74.0,30.0,19.0
0.0324,4689.785714285714,2897.0714285714284,1527.6428571428569,634.4999999999999,255.4285714285714,97.49999999999999,9462.0,1569.0,267.0,78.0,41.0,15.0
0.0333,6267.857142857141,4041.999999999999,1975.928571428571,1012.7857142857142,396.2857142857142,159.49999999999997,10050.0,1583.0,408.0,139.0,68.0,28.0
0.0343,8673.071428571428,5549.857142857142,3295.142857142857,1537.1428571428569,742.1428571428571,292.85714285714283,9618.0,1568.0,337.0,145.0,65.0,25.0
0.0353,10175.857142857141,7232.857142857141,4374.642857142857,2480.2142857142853,1148.3571428571427,447.21428571428567,9742.0,1710.0,420.0,168.0,57.0,26.0
0.0363,12650.357142857141,9148.642857142857,6005.928571428571,3419.2857142857138,1797.1428571428569,764.2857142857142,9205.0,1696.0,553.0,195.0,110.0,50.0
0.0373,15469.928571428569,11092.92857142857,7735.142857142857,4838.071428571428,2691.4999999999995,1192.7142857142856,9814.0,1966.0,572.0,278.0,196.0,93.0
0.0382,17037.35714285714,13473.142857142855,9681.42857142857,6479.285714285714,3762.642857142857,1762.1428571428569,9843.0,1934.0,690.0,335.0,182.0,95.0
0.0392,19076.999999999996,16298.357142857141,12305.285714285714,8402.42857142857,5302.428571428571,2866.285714285714,9273.0,1982.0,809.0,444.0,269.0,173.0
0.0402,21341.35714285714,18175.35714285714,14495.571428571428,10605.071428571428,7116.285714285714,4155.785714285714,10839.0,2405.0,983.0,611.0,348.0,271.0
0.0412,23092.28571428571,20566.785714285714,17116.714285714283,13620.142857142855,9205.42857142857,5790.642857142857,10272.0,2410.0,1094.0,712.0,441.0,279.0
0.0422,25262.214285714283,22898.42857142857,19648.642857142855,15916.642857142855,11947.357142857141,7913.785714285714,9911.0,2398.0,1171.0,853.0,608.0,363.0
0.0431,26092.857142857138,24984.28571428571,22001.285714285714,18417.499999999996,14271.857142857141,10095.357142857141,9800.0,2530.0,1338.0,1020.0,796.0,510.0
0.0441,28000.142857142855,26080.42857142857,23758.92857142857,20615.785714285714,16546.714285714283,12577.071428571428,10082.0,2691.0,1475.0,1161.0,864.0,664.0
0.0451,28089.357142857138,27123.28571428571,25375.714285714283,22727.92857142857,19193.42857142857,15474.071428571428,9891.0,2766.0,1585.0,1206.0,1053.0,792.0
0.0461,29672.214285714283,28438.714285714283,26860.214285714283,24887.214285714283,21888.35714285714,17701.571428571428,9526.0,2772.0,1688.0,1461.0,1117.0,977.0
0.0471,29797.428571428565,28926.071428571424,28527.571428571424,26338.571428571428,23741.92857142857,20420.785714285714,9399.0,2840.0,1701.0,1665.0,1342.0,1106.0
0.048,30159.142857142855,29730.214285714283,29027.071428571424,28042.214285714283,25631.571428571428,22523.571428571428,9223.0,2918.0,1864.0,1606.0,1547.0,1280.0
