Bias_Current,Counts_TL1(0.010),Counts_TL2(0.011),Counts_TL3(0.012),Counts_TL4(0.013),Counts_TL5(0.014),DCounts_TL1(0.010),DCounts_TL2(0.011),DCounts_TL3(0.012),DCounts_TL4(0.013),DCounts_TL5(0.014)
0.2647,46771.142857142855,48542.71428571428,48304.57142857142,48661.21428571428,47575.642857142855,43261.0,16618.0,8499.0,5812.0,4869.0
0.2686,50934.214285714275,50872.07142857142,48769.85714285714,48800.928571428565,48257.57142857142,42814.0,17444.0,9898.0,7083.0,5821.0
0.2725,50056.214285714275,50833.0,50152.21428571428,49421.85714285714,49047.57142857142,46142.0,20192.0,11796.0,8846.0,7906.0
0.2765,52779.07142857142,51771.714285714275,52489.78571428571,51469.28571428571,50390.07142857142,46912.0,23239.0,15187.0,12620.0,11526.0
0.2804,53597.928571428565,54472.85714285713,55073.0,53618.214285714275,53214.714285714275,52536.0,29145.0,20977.0,18580.0,17721.0
0.2843,65286.57142857142,63569.85714285713,64548.214285714275,61536.85714285713,61003.642857142855,60117.0,37398.0,29400.0,27831.0,26616.0
0.2882,85976.35714285713,87155.0,84821.7857142857,84142.78571428571,81836.71428571428,67354.0,44470.0,36355.0,33759.0,32924.0
0.2922,128099.85714285713,130698.07142857142,126152.57142857142,124258.14285714284,120452.35714285713,73393.0,42793.0,35276.0,32499.0,30928.0
0.2961,170388.92857142855,169039.78571428568,164964.99999999997,163414.92857142855,154725.35714285713,67745.0,38637.0,29510.0,24944.0,23680.0
0.2941,151009.35714285713,151650.07142857142,151218.2857142857,148500.14285714284,141200.21428571426,75246.0,42066.0,31921.0,28482.0,27448.0
