Bias_Current,Counts_TL1(0.010),Counts_TL2(0.011),Counts_TL3(0.012),Counts_TL4(0.013),Counts_TL5(0.014),Counts_TL6(0.015),DCounts_TL1(0.010),DCounts_TL2(0.011),DCounts_TL3(0.012),DCounts_TL4(0.013),DCounts_TL5(0.014),DCounts_TL6(0.015)
0.3333,541.6428571428405,-829.7857142857174,438.5,-239.07142857143117,78.8571428571413,21.57142857142844,130003.0,60153.0,32349.0,18598.0,10464.0,5557.0
0.3373,3670.4285714285506,-823.0714285714348,-433.2142857142899,436.3571428571413,408.57142857142753,419.57142857142844,128501.0,60457.0,32585.0,18494.0,10470.0,5484.0
0.3412,-2622.71428571429,1558.8571428571377,1461.0714285714275,1088.2142857142826,402.1428571428569,393.9999999999991,138887.0,62884.0,32130.0,18410.0,10505.0,5781.0
0.3451,2512.5,1243.4999999999927,1683.2857142857101,1550.8571428571413,461.42857142857065,901.0714285714275,133000.0,60394.0,31181.0,18267.0,11460.0,5665.0
0.349,-4322.3571428571595,2555.928571428565,1553.142857142855,2227.428571428569,1511.7857142857138,840.8571428571422,136892.0,61378.0,32854.0,19119.0,11115.0,6027.0
0.3529,4358.28571428571,4625.428571428565,1455.9285714285652,1546.9999999999964,1326.7857142857138,1714.4285714285706,130781.0,61671.0,33653.0,18578.0,10700.0,5682.0
0.3569,2465.2142857142608,-702.3571428571522,3269.5,1663.642857142855,2722.7857142857138,2374.7857142857138,130158.0,61822.0,32318.0,19006.0,10754.0,5752.0
0.3608,4427.5,140.9285714285652,2520.0714285714275,2613.9999999999964,3344.4285714285706,3257.0,133935.0,63243.0,32521.0,18911.0,10652.0,5918.0
0.3647,3191.2142857142608,4061.642857142848,4609.142857142855,3705.5714285714275,3535.2857142857138,3999.3571428571413,130457.0,58908.0,32223.0,18498.0,10929.0,5831.0
0.3686,5939.714285714261,8108.142857142855,3661.428571428565,4726.5714285714275,5290.428571428571,5168.857142857141,135521.0,60424.0,33460.0,18702.0,10881.0,5649.0
0.3725,149.71428571426077,4474.928571428565,6358.142857142855,6162.5714285714275,6214.357142857141,6249.0714285714275,139411.0,62434.0,32824.0,18366.0,10616.0,5567.0
0.3765,2802.5,8667.28571428571,7388.999999999993,7333.0714285714275,7861.5,8481.92857142857,135835.0,60422.0,32211.0,18983.0,11001.0,5652.0
0.3804,11422.14285714284,9971.35714285713,10451.857142857138,10260.714285714283,9724.214285714283,9870.071428571428,139560.0,61984.0,31616.0,18000.0,10624.0,5846.0
0.3843,12529.35714285713,10949.928571428565,11996.499999999993,12360.78571428571,11275.357142857141,12036.928571428569,131601.0,58859.0,31616.0,18291.0,10755.0,5972.0
0.3882,10071.28571428571,16023.57142857142,13112.999999999993,14919.071428571428,14341.142857142855,14979.285714285714,137643.0,61630.0,34487.0,18522.0,11041.0,6360.0
