Bias_Current,Counts_TL1(0.008),Counts_TL2(0.010),Counts_TL3(0.012),DCounts_TL1(0.008),DCounts_TL2(0.010),DCounts_TL3(0.012)
0.0,26626.984126984127,-96.3718820861678,-5.668934240362812,64484.12698412698,96.3718820861678,5.668934240362812
0.0029,29994.331065759645,-90.70294784580499,-34.01360544217687,64450.11337868481,90.70294784580499,34.01360544217687
0.0059,29263.038548752833,-119.04761904761905,-51.02040816326531,62959.183673469386,119.04761904761905,51.02040816326531
0.0088,24484.126984126982,-130.38548752834467,-11.337868480725623,65515.87301587302,130.38548752834467,11.337868480725623
0.0118,34761.90476190476,2103.174603174603,-39.682539682539684,65238.09523809524,119.04761904761905,39.682539682539684
0.0147,38543.08390022676,3191.609977324263,-51.02040816326531,65901.36054421769,141.7233560090703,51.02040816326531
0.0176,27380.95238095238,1031.7460317460318,1060.0907029478458,63730.15873015873,79.36507936507937,51.02040816326531
0.0206,43441.04308390022,7698.412698412699,5555.555555555556,66558.95691609978,79.36507936507937,0.0
0.0235,78973.92290249432,25447.84580498866,11060.090702947846,65470.52154195011,107.70975056689342,51.02040816326531
0.0265,113667.80045351473,45459.183673469386,23299.319727891158,64109.97732426304,96.3718820861678,34.01360544217687
0.0294,148044.21768707482,96553.28798185941,68877.55102040817,66400.22675736962,113.37868480725623,11.337868480725623
0.0324,217692.74376417234,115436.50793650794,100000.0,67862.81179138322,119.04761904761905,0.0
0.0353,234007.9365079365,138735.8276643991,122176.87074829932,65992.06349206349,153.0612244897959,45.35147392290249
0.0382,285096.3718820862,238724.48979591837,178803.85487528346,67125.85034013605,164.39909297052154,85.03401360544218
0.0412,329325.39682539686,268724.48979591834,198866.21315192746,68452.38095238095,164.39909297052154,22.675736961451246
0.0441,377454.6485260771,323168.9342403628,263259.6371882086,68100.90702947846,164.39909297052154,73.69614512471655
0.0471,370136.05442176876,362001.1337868481,297715.41950113385,66530.61224489796,221.08843537414967,62.358276643990926
0.05,410311.79138322,376434.24036281183,336592.97052154195,67465.98639455783,232.42630385487527,73.69614512471655
0.0529,393951.2471655329,416434.24036281183,383225.6235827665,68270.97505668935,232.42630385487527,107.70975056689342
0.0559,439410.4308390023,418645.12471655325,412046.485260771,67256.2358276644,243.7641723356009,175.73696145124717
0.0588,455861.67800453515,408526.0770975057,397551.0204081633,65249.43310657596,362.81179138321994,226.75736961451247
0.0618,483854.8752834467,440702.947845805,479744.89795918367,65034.013605442175,408.16326530612247,255.10204081632654
0.0647,524603.1746031747,471802.7210884354,456405.89569161,67619.04761904762,419.5011337868481,260.77097505668934
0.0676,578021.5419501134,483996.5986394558,451887.7551020408,66422.90249433107,447.8458049886621,334.4671201814059
0.0706,475731.2925170068,456162.1315192744,491865.0793650794,65379.818594104305,504.53514739229024,357.14285714285717
0.0735,530255.1020408163,508384.35374149657,491626.98412698414,66411.56462585034,504.53514739229024,595.2380952380952
0.0765,573724.4897959183,507125.8503401361,497244.8979591837,69608.84353741497,651.9274376417234,532.8798185941043
0.0794,528134.9206349206,502335.6009070295,503543.08390022675,69642.85714285714,997.7324263038548,901.3605442176871
0.0824,607936.5079365079,498741.49659863947,560022.6757369614,72063.49206349206,1258.503401360544,1088.4353741496598
0.0853,631865.0793650794,609988.6621315193,656876.4172335601,72579.36507936507,2233.560090702948,2012.471655328798
0.0882,869773.2426303856,1050153.06122449,919529.4784580499,73560.09070294784,4291.383219954649,3803.8548752834467
0.0912,4789614.512471655,4282579.365079365,4865901.360544218,75941.04308390022,8531.746031746032,8543.083900226757
0.0941,9739217.68707483,8919058.9569161,10349365.07936508,86337.86848072562,18718.820861678003,18412.698412698413
0.0971,14148497.732426304,13511564.62585034,14914206.349206349,112613.37868480725,43990.92970521542,43571.42857142857
