# metadata,value
mode,qcl
fudge_factor,1
cycles,1
cycles_completed,1
integration_time,2
on_start,0.04
on_stop,0.95
on_dcr_start,1.2
on_dcr_stop,1.2
off_start,1.2
off_stop,15

Bias_Current,Counts_TL1(0.012),Counts_TL2(0.014),Counts_TL3(0.016),CountsOnDcr_TL1(0.012),CountsOnDcr_TL2(0.014),CountsOnDcr_TL3(0.016),DCounts_TL1(0.012),DCounts_TL2(0.014),DCounts_TL3(0.016),ClicksOn_TL1(0.012),ClicksOn_TL2(0.014),ClicksOn_TL3(0.016),ClicksOnDcr_TL1(0.012),ClicksOnDcr_TL2(0.014),ClicksOnDcr_TL3(0.016),ClicksOff_TL1(0.012),ClicksOff_TL2(0.014),ClicksOff_TL3(0.016)
0.0578,20452.72601794341,15163.979136805225,10469.242713807933,,,,9309.178743961353,422.10144927536226,34.42028985507246,3250.0,1702.0,1147.0,0.0,0.0,0.0,15416.0,699.0,57.0
0.0598,22892.89032223815,19820.824706694275,14075.589265806659,,,,8975.24154589372,417.27053140096615,45.289855072463766,3480.0,2210.0,1542.0,0.0,0.0,0.0,14863.0,691.0,75.0
0.0618,24493.251313903493,23967.364760843022,18866.778149386846,,,,8885.86956521739,419.0821256038647,43.47826086956521,3645.0,2663.0,2065.0,0.0,0.0,0.0,14715.0,694.0,72.0
0.0637,28324.0231990232,26596.4790040877,23715.52662313532,,,,8763.888888888889,390.7004830917874,57.367149758454104,4050.0,2947.0,2596.0,0.0,0.0,0.0,14513.0,647.0,95.0
0.0657,29711.034134947186,28322.815469554604,26393.14248553379,,,,8759.661835748791,431.7632850241545,53.743961352657,4201.0,3140.0,2888.0,0.0,0.0,0.0,14506.0,715.0,89.0
0.0676,30722.50092902267,30105.006105006105,29147.435897435902,,,,8636.47342995169,444.4444444444444,83.33333333333333,4298.0,3336.0,3192.0,0.0,0.0,0.0,14302.0,736.0,138.0
0.0696,32281.878749270058,31324.560704995492,30781.195254021346,,,,8762.077294685989,479.46859903381636,88.76811594202898,4482.0,3473.0,3371.0,0.0,0.0,0.0,14510.0,794.0,147.0
0.0716,34659.50655624569,33361.05138822531,33304.03593990551,,,,8792.874396135265,466.78743961352654,111.71497584541062,4745.0,3694.0,3649.0,0.0,0.0,0.0,14561.0,773.0,185.0
0.0735,34851.21701969529,34047.16117216117,34598.66220735786,,,,8738.526570048309,458.3333333333333,144.92753623188403,4760.0,3768.0,3794.0,0.0,0.0,0.0,14471.0,759.0,240.0
0.0755,35882.17338217339,36626.851409460105,35227.10622710623,,,,8888.888888888889,543.4782608695651,166.66666666666666,4889.0,4059.0,3865.0,0.0,0.0,0.0,14720.0,900.0,276.0
0.0775,39043.6441577746,37816.013696448485,37119.78420130594,,,,8749.3961352657,590.5797101449275,233.69565217391303,5219.0,4194.0,4079.0,0.0,0.0,0.0,14489.0,978.0,387.0
0.0794,38509.17078090992,39549.988055422844,39062.06535010883,,,,8890.096618357487,715.5797101449275,370.16908212560384,5176.0,4397.0,4306.0,0.0,0.0,0.0,14722.0,1185.0,613.0
0.0814,40396.281254976915,38870.79949036471,40161.643308382445,,,,9228.260869565216,909.4202898550724,598.4299516908212,5419.0,4344.0,4451.0,0.0,0.0,0.0,15282.0,1506.0,991.0
0.0833,41239.82720178372,40594.97929606626,40559.198651589955,,,,9657.608695652174,1309.782608695652,942.6328502415458,5558.0,4576.0,4532.0,0.0,0.0,0.0,15993.0,2169.0,1561.0
0.0853,41862.94924881882,42536.092530657756,42073.4259701651,,,,10417.270531400965,1951.086956521739,1626.207729468599,5709.0,4858.0,4772.0,0.0,0.0,0.0,17251.0,3231.0,2693.0
0.0873,44350.85868238042,42870.56059882147,42845.54998141955,,,,11372.5845410628,3054.347826086956,2667.270531400966,6085.0,5015.0,4970.0,0.0,0.0,0.0,18833.0,5058.0,4417.0
0.0892,45277.41944046292,44856.40627488454,45610.57360513882,,,,13522.94685990338,4932.971014492753,4673.309178743961,6421.0,5437.0,5491.0,0.0,0.0,0.0,22394.0,8169.0,7739.0
0.0912,47345.516802038546,46507.96968731751,47630.494505494506,,,,16775.36231884058,8336.35265700483,7708.333333333333,7002.0,5989.0,6043.0,0.0,0.0,0.0,27780.0,13805.0,12765.0
0.0931,51188.19344906302,50431.809736157564,50217.05951053778,,,,23070.048309178743,15016.908212560385,14196.85990338164,8109.0,7147.0,7034.0,0.0,0.0,0.0,38204.0,24868.0,23510.0
0.0951,54374.60848330414,56309.41763550461,56356.88405797102,,,,36367.14975845411,27545.89371980676,26976.449275362316,9909.0,9157.0,9100.0,0.0,0.0,0.0,60224.0,45616.0,44673.0
0.0971,77707.86882199928,75588.71502893243,71149.99734564952,,,,67804.95169082125,60684.17874396135,58538.647342995166,15890.0,14881.0,14162.0,0.0,0.0,0.0,112285.0,100493.0,96940.0
0.099,213787.26708074543,249443.96666135802,211266.94139194145,,,,305141.30434782605,279512.077294686,265125.0,56667.0,57762.0,52022.0,0.0,0.0,0.0,505314.0,462872.0,439047.0
0.101,315205.12156925234,290242.29574773065,198444.59043372096,,,,1723888.2850241545,1569382.2463768115,1453679.9516908212,222669.0,203071.0,180412.0,0.0,0.0,0.0,2854759.0,2598897.0,2407294.0
0.1029,31935.870892392937,12039.62281679688,-2948.021181716118,,,,2793219.806763285,2529883.45410628,2235063.405797101,308507.0,277578.0,243747.0,0.0,0.0,0.0,4625572.0,4189487.0,3701265.0
0.1049,2139.2604979565367,-8225.135371874087,5433.382438817527,,,,3014783.8164251205,2665679.347826087,2283660.024154589,329448.0,290194.0,249969.0,0.0,0.0,0.0,4992482.0,4414365.0,3781741.0
0.1069,-2995.2288050106727,-13812.403779794462,-23022.40935393097,,,,3116823.06763285,2686349.0338164247,2241071.8599033817,340030.0,291841.0,242211.0,0.0,0.0,0.0,5161459.0,4448594.0,3711215.0
0.1088,-8375.338429685682,-23591.69453734625,-26636.884854275733,,,,3154510.8695652173,2643655.797101449,2134210.144927536,343558.0,286111.0,230147.0,0.0,0.0,0.0,5223870.0,4377894.0,3534252.0
0.1078,-5789.271115357522,-20654.556192599237,-6170.741094653495,,,,3147620.7729468597,2676213.1642512074,2190740.338164251,343088.0,289987.0,238555.0,0.0,0.0,0.0,5212460.0,4431809.0,3627866.0
