# metadata,value
mode,qcl
fudge_factor,1
cycles,6
cycles_completed,6
integration_time,2
on_start,0.1
on_stop,0.95
on_dcr_start,1.2
on_dcr_stop,1.2
off_start,1.2
off_stop,15

Bias_Current,Counts_TL1(0.012),Counts_TL2(0.014),Counts_TL3(0.016),CountsOnDcr_TL1(0.012),CountsOnDcr_TL2(0.014),CountsOnDcr_TL3(0.016),DCounts_TL1(0.012),DCounts_TL2(0.014),DCounts_TL3(0.016),ClicksOn_TL1(0.012),ClicksOn_TL2(0.014),ClicksOn_TL3(0.016),ClicksOnDcr_TL1(0.012),ClicksOnDcr_TL2(0.014),ClicksOnDcr_TL3(0.016),ClicksOff_TL1(0.012),ClicksOff_TL2(0.014),ClicksOff_TL3(0.016)
0.0814,40820.99554797765,40152.97314578005,40194.183953774744,,,,7994.363929146538,1159.1183574879228,898.9533011272142,29875.0,25283.0,25149.0,0.0,0.0,0.0,79432.0,11517.0,8932.0
0.0833,42041.323292602065,42134.134934166905,41716.828881310976,,,,8587.761674718196,1725.3421900161031,1459.6417069243157,30985.0,26842.0,26424.0,0.0,0.0,0.0,85328.0,17143.0,14503.0
0.0853,43089.5732689211,42848.16354077863,43370.903192194746,,,,9604.871175523349,2751.509661835749,2485.305958132045,32249.0,27907.0,28064.0,0.0,0.0,0.0,95434.0,27339.0,24694.0
0.0873,45123.65610495406,44865.53945249597,44269.09870228285,,,,11332.226247987117,4495.571658615137,4257.045088566828,34551.0,30209.0,29698.0,0.0,0.0,0.0,112597.0,44668.0,42298.0
0.0892,46877.18456947997,46686.1205834991,46928.54267310789,,,,14655.495169082125,7697.866344605475,7432.568438003221,37658.0,33283.0,33269.0,0.0,0.0,0.0,145617.0,76486.0,73850.0
0.0912,49667.25869091598,49263.9599317988,50086.086246092644,,,,20040.257648953302,13213.164251207729,12846.920289855072,42661.0,38236.0,38515.0,0.0,0.0,0.0,199120.0,131286.0,127647.0
0.0931,55532.69157904708,55325.3469262101,54898.82897603486,,,,31125.805152979065,24047.202093397747,23682.870370370372,53035.0,48576.0,48092.0,0.0,0.0,0.0,309266.0,238933.0,235313.0
0.0951,67972.45311167945,65332.5933030217,64660.98323387327,,,,54578.20048309179,47428.84460547504,46335.74879227053,75001.0,69010.0,67930.0,0.0,0.0,0.0,542289.0,471253.0,460392.0
0.0971,116200.80278488208,102160.15439992423,98934.68788481578,,,,136307.36714975844,129112.72141706925,124530.99838969404,154535.0,141539.0,136761.0,0.0,0.0,0.0,1354350.0,1282864.0,1237340.0
0.099,253825.64293833473,214820.93042531027,223790.34053234814,,,,792858.9975845411,743732.9911433172,695729.2673107891,640571.0,586635.0,562746.0,0.0,0.0,0.0,7877847.0,7389731.0,6912766.0
0.101,134626.7405512929,116628.07852609642,93424.98460736964,,,,2280340.579710145,2106501.006441224,1907725.342190016,1477960.0,1360555.0,1224704.0,0.0,0.0,0.0,22657464.0,20930194.0,18955159.0
0.1029,28694.971346026286,7528.813820214476,-2156.910107037984,,,,2836834.4404186797,2570160.728663446,2263413.4460547506,1753704.0,1577546.0,1383889.0,0.0,0.0,0.0,28186787.0,25537117.0,22489276.0
0.1049,5550.535189921502,-3550.5884721037,-15138.196220517159,,,,3031130.8373590983,2676289.150563607,2287040.157004831,1858449.0,1635716.0,1390404.0,0.0,0.0,0.0,30117316.0,26591609.0,22724031.0
0.1069,5493.363408165518,-13500.236809699796,-20304.069574689493,,,,3125000.1006441223,2690317.230273752,2229441.3244766505,1915862.0,1638212.0,1351992.0,0.0,0.0,0.0,31050001.0,26730992.0,22151729.0
0.1088,-14531.939708250575,-23270.09330302151,-27950.93895045924,,,,3159182.2665056363,2640091.9887278583,2113509.762479871,1924526.0,1601495.0,1276362.0,0.0,0.0,0.0,31389635.0,26231954.0,20999833.0
0.1078,-8009.395424836315,-15768.275788576342,-21105.33887467999,,,,3150854.1666666665,2672083.6352657005,2178371.6787439613,1923421.0,1625665.0,1320247.0,0.0,0.0,0.0,31306887.0,26549823.0,21644301.0
