# metadata,value
mode,qcl
fudge_factor,1
cycles,6
cycles_completed,6
integration_time,2
on_start,0.04
on_stop,0.95
on_dcr_start,1.2
on_dcr_stop,1.2
off_start,1.2
off_stop,15

Bias_Current,Counts_TL1(-0.016),CountsOnDcr_TL1(-0.016),DCounts_TL1(-0.016),ClicksOn_TL1(-0.016),ClicksOnDcr_TL1(-0.016),ClicksOff_TL1(-0.016)
0.0245,2011.699049742528,,9.057971014492754,1324.0,0.0,90.0
0.0265,2024.8148590539895,,8.152173913043478,1332.0,0.0,81.0
0.0284,2026.5423988250077,,7.950885668276973,1333.0,0.0,79.0
0.0304,1995.3128594432942,,8.655394524959743,1313.0,0.0,86.0
0.0324,2014.986020420803,,11.876006441223833,1328.0,0.0,118.0
0.0343,2012.8061350887438,,7.950885668276973,1324.0,0.0,79.0
0.0363,2001.199987613031,,7.347020933977456,1316.0,0.0,73.0
0.0382,2015.673939586983,,9.66183574879227,1327.0,0.0,96.0
0.0402,2013.409999823043,,7.347020933977456,1324.0,0.0,73.0
0.0422,1988.8893312806358,,7.447665056360709,1308.0,0.0,74.0
0.0441,1987.4803135672703,,8.856682769726248,1308.0,0.0,88.0
0.0461,2037.6619153793065,,10.567632850241546,1342.0,0.0,105.0
0.048,2019.129019129019,,9.25925925925926,1329.0,0.0,92.0
0.05,2057.0508396595355,,6.4412238325281805,1352.0,0.0,64.0
0.052,2060.9748544531153,,11.674718196457327,1358.0,0.0,116.0
0.0539,2168.4837907663996,,7.950885668276973,1426.0,0.0,79.0
0.0559,2328.6561465909294,,9.561191626409018,1532.0,0.0,95.0
0.0578,2923.608899152377,,11.372785829307569,1923.0,0.0,113.0
0.0598,3999.4149369149372,,11.574074074074074,2628.0,0.0,115.0
0.0618,6238.878271486967,,15.70048309178744,4098.0,0.0,156.0
0.0637,9856.41180478137,,26.06682769726248,6475.0,0.0,259.0
0.0657,14736.541337084815,,34.52093397745572,9678.0,0.0,343.0
0.0676,20034.443515421775,,51.02657004830918,13160.0,0.0,507.0
0.0696,24733.90357629488,,72.26247987117553,16253.0,0.0,718.0
0.0716,29314.852418113285,,96.01449275362319,19270.0,0.0,954.0
0.0735,32275.322503583375,,137.68115942028984,21237.0,0.0,1368.0
0.0755,34575.66004848614,,209.13848631239935,22791.0,0.0,2078.0
0.0775,36448.343021712586,,299.2149758454106,24077.0,0.0,2973.0
0.0794,37669.82644971775,,472.7254428341385,24991.0,0.0,4697.0
0.0814,39103.594875334005,,769.7262479871175,26125.0,0.0,7648.0
0.0833,40991.706260728,,1291.5660225442834,27704.0,0.0,12833.0
0.0853,41687.01447505795,,2194.2431561996777,28751.0,0.0,21802.0
0.0873,42969.77468988339,,3684.681964573269,30568.0,0.0,36611.0
0.0892,44845.58758471802,,6466.988727858293,33620.0,0.0,64256.0
0.0912,45904.92005981136,,11079.20692431562,37336.0,0.0,110083.0
0.0931,47425.537727168165,,20094.303542673108,44239.0,0.0,199657.0
0.0951,50711.49975226062,,38348.32930756844,58352.0,0.0,381029.0
0.0971,52150.203057811756,,92224.03381642512,94594.0,0.0,916338.0
0.099,-10357.506724354578,,543290.96215781,349178.0,0.0,5398139.0
0.101,-58280.947514643194,,1505637.4798711755,948308.0,0.0,14960014.0
0.1029,-8239.641397250118,,1693859.2995169081,1104418.0,0.0,16830186.0
0.1049,3604.0151474934537,,1605567.230273752,1054329.0,0.0,15952916.0
0.1069,11845.530073791044,,1474109.9033816424,973598.0,0.0,14646756.0
0.1088,18255.358470032457,,1303765.3985507246,866188.0,0.0,12954213.0
0.1078,14502.888818106148,,1392411.0305958132,921810.0,0.0,13834996.0
