LECROYWM8600A,187,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,25-Jun-2025 12:38:07,0                 
Time,Ampl
-1.0000167e-005,-0.00359893
-9.9999671e-006,-0.00580866
-9.9997671e-006,-0.0013892
-9.9995671e-006,-0.00359893
-9.9993671e-006,-0.00359893
-9.9991671e-006,-0.0013892
-9.9989671e-006,-0.0013892
-9.9987671e-006,-0.00359893
-9.9985671e-006,-0.0013892
-9.9983671e-006,-0.00359893
-9.9981671e-006,-0.0013892
-9.9979671e-006,0.000820535
-9.9977671e-006,-0.00359893
-9.9975671e-006,-0.00359893
-9.9973671e-006,-0.0013892
-9.9971671e-006,-0.0013892
-9.9969671e-006,-0.00359893
-9.9967671e-006,-0.0013892
-9.9965671e-006,-0.00359893
-9.9963671e-006,-0.00359893
-9.9961671e-006,0.000820535
-9.9959671e-006,-0.0013892
-9.9957671e-006,-0.00359893
-9.9955671e-006,0.000820535
-9.9953671e-006,-0.0013892
-9.9951671e-006,-0.00359893
-9.9949671e-006,0.000820535
-9.9947671e-006,-0.0013892
-9.9945671e-006,-0.0013892
-9.9943671e-006,0.000820535
-9.9941671e-006,-0.0013892
-9.9939671e-006,-0.0013892
-9.9937671e-006,0.000820535
-9.9935671e-006,-0.0013892
-9.9933671e-006,-0.0013892
-9.9931671e-006,0.00303026
-9.9929671e-006,0.000820535
-9.9927671e-006,-0.0013892
-9.9925671e-006,0.000820535
-9.9923671e-006,0.000820535
-9.9921671e-006,0.000820535
-9.9919671e-006,0.00303026
-9.9917671e-006,0.000820535
-9.9915671e-006,0.000820535
-9.9913671e-006,0.00303026
-9.9911671e-006,0.000820535
-9.9909671e-006,0.000820535
-9.9907671e-006,0.00303026
-9.9905671e-006,0.00303026
-9.9903671e-006,0.000820535
-9.9901671e-006,0.00303026
-9.9899671e-006,0.000820535
-9.9897671e-006,0.000820535
-9.9895671e-006,0.00303026
-9.9893671e-006,0.000820535
-9.9891671e-006,0.000820535
-9.9889671e-006,0.00303026
-9.9887671e-006,0.000820535
-9.9885671e-006,0.000820535
-9.9883671e-006,0.00303026
-9.9881671e-006,0.000820535
-9.9879671e-006,0.000820535
-9.9877671e-006,0.00523999
-9.9875671e-006,0.000820535
-9.9873671e-006,-0.0013892
-9.9871671e-006,0.00303026
-9.9869671e-006,0.000820535
-9.9867671e-006,0.000820535
-9.9865671e-006,0.00303026
-9.9863671e-006,0.00303026
-9.9861671e-006,0.000820535
-9.9859671e-006,0.00303026
-9.9857671e-006,0.000820535
-9.9855671e-006,0.000820535
-9.9853671e-006,0.00303026
-9.9851671e-006,0.000820535
-9.9849671e-006,0.000820535
-9.9847671e-006,0.00303026
-9.9845671e-006,0.000820535
-9.9843671e-006,0.000820535
-9.9841671e-006,0.00303026
-9.9839671e-006,0.000820535
-9.9837671e-006,0.000820535
-9.9835671e-006,0.00303026
-9.9833671e-006,-0.0013892
-9.9831671e-006,-0.0013892
-9.9829671e-006,0.00303026
-9.9827671e-006,-0.0013892
-9.9825671e-006,-0.0013892
-9.9823671e-006,0.000820535
-9.9821671e-006,0.000820535
-9.9819671e-006,0.000820535
-9.9817671e-006,0.00303026
-9.9815671e-006,0.000820535
-9.9813671e-006,0.000820535
-9.9811671e-006,0.00303026
-9.9809671e-006,0.000820535
-9.9807671e-006,0.000820535
-9.9805671e-006,0.00303026
-9.9803671e-006,0.000820535
-9.9801671e-006,0.000820535
-9.9799671e-006,0.00303026
-9.9797671e-006,0.000820535
-9.9795671e-006,0.000820535
-9.9793671e-006,0.00303026
-9.9791671e-006,0.000820535
-9.9789671e-006,0.000820535
-9.9787671e-006,0.00303026
-9.9785671e-006,0.000820535
-9.9783671e-006,0.000820535
-9.9781671e-006,0.00303026
-9.9779671e-006,0.000820535
-9.9777671e-006,0.000820535
-9.9775671e-006,0.000820535
-9.9773671e-006,0.000820535
-9.9771671e-006,0.000820535
-9.9769671e-006,0.000820535
-9.9767671e-006,0.000820535
-9.9765671e-006,-0.0013892
-9.9763671e-006,0.00303026
-9.9761671e-006,0.000820535
-9.9759671e-006,0.000820535
-9.9757671e-006,0.000820535
-9.9755671e-006,0.000820535
-9.9753671e-006,-0.0013892
-9.9751671e-006,0.00303026
-9.9749671e-006,0.000820535
-9.9747671e-006,-0.0013892
-9.9745671e-006,0.00303026
-9.9743671e-006,0.000820535
-9.9741671e-006,0.000820535
-9.9739671e-006,0.000820535
-9.9737671e-006,0.000820535
-9.9735671e-006,0.000820535
-9.9733671e-006,0.00303026
-9.9731671e-006,0.000820535
-9.9729671e-006,0.000820535
-9.9727671e-006,0.00303026
-9.9725671e-006,0.000820535
-9.9723671e-006,0.000820535
-9.9721671e-006,0.00303026
-9.9719671e-006,0.000820535
-9.9717671e-006,0.000820535
-9.9715671e-006,0.00303026
-9.9713671e-006,0.000820535
-9.9711671e-006,0.000820535
-9.9709671e-006,0.00303026
-9.9707671e-006,0.00303026
-9.9705671e-006,0.000820535
-9.9703671e-006,0.00303026
-9.9701671e-006,0.00303026
-9.9699671e-006,0.000820535
-9.9697671e-006,0.00523999
-9.9695671e-006,0.000820535
-9.9693671e-006,0.000820535
-9.9691671e-006,0.00303026
-9.9689671e-006,0.00303026
-9.9687671e-006,0.000820535
-9.9685671e-006,0.00303026
-9.9683671e-006,0.00303026
-9.9681671e-006,0.00303026
-9.9679671e-006,0.00303026
-9.9677671e-006,0.00303026
-9.9675671e-006,0.000820535
-9.9673671e-006,0.00523999
-9.9671671e-006,0.000820535
-9.9669671e-006,0.000820535
-9.9667671e-006,0.00303026
-9.9665671e-006,0.00303026
-9.9663671e-006,0.00303026
-9.9661671e-006,0.00303026
-9.9659671e-006,0.00303026
-9.9657671e-006,0.000820535
-9.9655671e-006,0.00303026
-9.9653671e-006,0.000820535
-9.9651671e-006,0.000820535
-9.9649671e-006,0.000820535
-9.9647671e-006,0.000820535
-9.9645671e-006,-0.0013892
-9.9643671e-006,0.00303026
-9.9641671e-006,0.000820535
-9.9639671e-006,-0.0013892
-9.9637671e-006,0.000820535
-9.9635671e-006,0.000820535
-9.9633671e-006,-0.0013892
-9.9631671e-006,0.000820535
-9.9629671e-006,0.000820535
-9.9627671e-006,-0.0013892
-9.9625671e-006,0.000820535
-9.9623671e-006,0.000820535
-9.9621671e-006,-0.0013892
-9.9619671e-006,0.000820535
-9.9617671e-006,0.000820535
-9.9615671e-006,0.000820535
-9.9613671e-006,0.000820535
-9.9611671e-006,-0.0013892
-9.9609671e-006,-0.0013892
-9.9607671e-006,0.00303026
-9.9605671e-006,0.000820535
-9.9603671e-006,-0.0013892
-9.9601671e-006,0.00303026
-9.9599671e-006,0.000820535
-9.9597671e-006,-0.0013892
-9.9595671e-006,0.000820535
-9.9593671e-006,0.000820535
-9.9591671e-006,0.000820535
-9.9589671e-006,0.000820535
-9.9587671e-006,0.000820535
-9.9585671e-006,0.000820535
-9.9583671e-006,0.000820535
-9.9581671e-006,0.000820535
-9.9579671e-006,0.000820535
-9.9577671e-006,0.00303026
-9.9575671e-006,0.000820535
-9.9573671e-006,0.000820535
-9.9571671e-006,0.00303026
-9.9569671e-006,0.000820535
-9.9567671e-006,0.000820535
-9.9565671e-006,0.00523999
-9.9563671e-006,0.000820535
-9.9561671e-006,0.000820535
-9.9559671e-006,0.00523999
-9.9557671e-006,0.000820535
-9.9555671e-006,0.000820535
-9.9553671e-006,0.00523999
-9.9551671e-006,0.000820535
-9.9549671e-006,-0.0013892
-9.9547671e-006,0.00303026
-9.9545671e-006,0.00303026
-9.9543671e-006,0.000820535
-9.9541671e-006,0.00303026
-9.9539671e-006,0.00303026
-9.9537671e-006,0.000820535
-9.9535671e-006,0.00303026
-9.9533671e-006,0.000820535
-9.9531671e-006,0.000820535
-9.9529671e-006,0.00303026
-9.9527671e-006,0.000820535
-9.9525671e-006,0.000820535
-9.9523671e-006,0.00303026
-9.9521671e-006,0.000820535
-9.9519671e-006,0.000820535
-9.9517671e-006,0.00303026
-9.9515671e-006,0.000820535
-9.9513671e-006,-0.0013892
-9.9511671e-006,0.00303026
-9.9509671e-006,0.000820535
-9.9507671e-006,-0.0013892
-9.9505671e-006,0.00303026
-9.9503671e-006,0.000820535
-9.9501671e-006,-0.0013892
-9.9499671e-006,0.00303026
-9.9497671e-006,0.000820535
-9.9495671e-006,0.000820535
-9.9493671e-006,0.00303026
-9.9491671e-006,0.000820535
-9.9489671e-006,0.000820535
-9.9487671e-006,0.00303026
-9.9485671e-006,0.000820535
-9.9483671e-006,-0.0013892
-9.9481671e-006,0.00303026
-9.9479671e-006,0.000820535
-9.9477671e-006,-0.0013892
-9.9475671e-006,0.000820535
-9.9473671e-006,0.000820535
-9.9471671e-006,0.000820535
