LECROYWM8600A,187,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,25-Jun-2025 12:37:08,0                 
Time,Ampl
-1.0000017e-005,0.00303026
-9.9998174e-006,0.000820535
-9.9996174e-006,0.000820535
-9.9994174e-006,0.00303026
-9.9992174e-006,0.000820535
-9.9990174e-006,0.000820535
-9.9988174e-006,0.000820535
-9.9986174e-006,-0.0013892
-9.9984174e-006,-0.00359893
-9.9982174e-006,0.000820535
-9.9980174e-006,-0.0013892
-9.9978174e-006,-0.00359893
-9.9976174e-006,-0.0013892
-9.9974174e-006,-0.0013892
-9.9972174e-006,0.000820535
-9.9970174e-006,0.00523999
-9.9968174e-006,0.000820535
-9.9966174e-006,0.000820535
-9.9964174e-006,0.00523999
-9.9962174e-006,0.00523999
-9.9960174e-006,0.00303026
-9.9958174e-006,0.00523999
-9.9956174e-006,0.00523999
-9.9954174e-006,0.00303026
-9.9952174e-006,0.00965945
-9.9950174e-006,0.00523999
-9.9948174e-006,0.00523999
-9.9946174e-006,0.00965945
-9.9944174e-006,0.00965945
-9.9942174e-006,0.00523999
-9.9940174e-006,0.00744972
-9.9938174e-006,0.00744972
-9.9936174e-006,0.00965945
-9.9934174e-006,0.0118692
-9.9932174e-006,0.00965945
-9.9930174e-006,0.00744972
-9.9928174e-006,0.0118692
-9.9926174e-006,0.00965945
-9.9924174e-006,0.00744972
-9.9922174e-006,0.0118692
-9.9920174e-006,0.00744972
-9.9918174e-006,0.00523999
-9.9916174e-006,0.00744972
-9.9914174e-006,0.00744972
-9.9912174e-006,0.00523999
-9.9910174e-006,0.00965945
-9.9908174e-006,0.00744972
-9.9906174e-006,0.00523999
-9.9904174e-006,0.0140789
-9.9902174e-006,0.0140789
-9.9900174e-006,0.0140789
-9.9898174e-006,0.0162886
-9.9896174e-006,0.0162886
-9.9894174e-006,0.0162886
-9.9892174e-006,0.0162886
-9.9890174e-006,0.0162886
-9.9888174e-006,0.0140789
-9.9886174e-006,0.0162886
-9.9884174e-006,0.0162886
-9.9882174e-006,0.0184984
-9.9880174e-006,0.0118692
-9.9878174e-006,0.0162886
-9.9876174e-006,0.0162886
-9.9874174e-006,0.0162886
-9.9872174e-006,0.0140789
-9.9870174e-006,0.0118692
-9.9868174e-006,0.0140789
-9.9866174e-006,0.0118692
-9.9864174e-006,0.00965945
-9.9862174e-006,0.0118692
-9.9860174e-006,0.0118692
-9.9858174e-006,0.00965945
-9.9856174e-006,0.0118692
-9.9854174e-006,0.00965945
-9.9852174e-006,0.0140789
-9.9850174e-006,0.0162886
-9.9848174e-006,0.0118692
-9.9846174e-006,0.0118692
-9.9844174e-006,0.00965945
-9.9842174e-006,0.0118692
-9.9840174e-006,0.00744972
-9.9838174e-006,0.00744972
-9.9836174e-006,0.00523999
-9.9834174e-006,0.00965945
-9.9832174e-006,0.0162886
-9.9830174e-006,0.00965945
-9.9828174e-006,0.0140789
-9.9826174e-006,0.0162886
-9.9824174e-006,0.0140789
-9.9822174e-006,0.0140789
-9.9820174e-006,0.0140789
-9.9818174e-006,0.0162886
-9.9816174e-006,0.0140789
-9.9814174e-006,0.0162886
-9.9812174e-006,0.0184984
-9.9810174e-006,0.0184984
-9.9808174e-006,0.0184984
-9.9806174e-006,0.0184984
-9.9804174e-006,0.0184984
-9.9802174e-006,0.0184984
-9.9800174e-006,0.0184984
-9.9798174e-006,0.0207081
-9.9796174e-006,0.0162886
-9.9794174e-006,0.0162886
-9.9792174e-006,0.0140789
-9.9790174e-006,0.0140789
-9.9788174e-006,0.0140789
-9.9786174e-006,0.0118692
-9.9784174e-006,0.0140789
-9.9782174e-006,0.00965945
-9.9780174e-006,0.00965945
-9.9778174e-006,0.0140789
-9.9776174e-006,0.00965945
-9.9774174e-006,0.00965945
-9.9772174e-006,0.00965945
-9.9770174e-006,0.00744972
-9.9768174e-006,0.00965945
-9.9766174e-006,0.0118692
-9.9764174e-006,0.00744972
-9.9762174e-006,0.00744972
-9.9760174e-006,0.00965945
-9.9758174e-006,0.00744972
-9.9756174e-006,0.00965945
-9.9754174e-006,0.00965945
-9.9752174e-006,0.00965945
-9.9750174e-006,0.00965945
-9.9748174e-006,0.0118692
-9.9746174e-006,0.00965945
-9.9744174e-006,0.00744972
-9.9742174e-006,0.00965945
-9.9740174e-006,0.00744972
-9.9738174e-006,0.00523999
-9.9736174e-006,0.00744972
-9.9734174e-006,0.00303026
-9.9732174e-006,0.00303026
-9.9730174e-006,0.00523999
-9.9728174e-006,0.00303026
-9.9726174e-006,0.00303026
-9.9724174e-006,0.00523999
-9.9722174e-006,0.00303026
-9.9720174e-006,0.000820535
-9.9718174e-006,0.00523999
-9.9716174e-006,0.000820535
-9.9714174e-006,-0.0013892
-9.9712174e-006,0.00523999
-9.9710174e-006,0.00303026
-9.9708174e-006,0.00523999
-9.9706174e-006,0.00744972
-9.9704174e-006,0.00303026
-9.9702174e-006,0.000820535
-9.9700174e-006,0.00523999
-9.9698174e-006,0.00303026
-9.9696174e-006,0.000820535
-9.9694174e-006,0.00965945
-9.9692174e-006,0.00523999
-9.9690174e-006,0.00744972
-9.9688174e-006,0.00965945
-9.9686174e-006,0.00744972
-9.9684174e-006,0.00744972
-9.9682174e-006,0.0118692
-9.9680174e-006,0.0118692
-9.9678174e-006,0.00744972
-9.9676174e-006,0.00965945
-9.9674174e-006,0.00965945
-9.9672174e-006,0.00523999
-9.9670174e-006,0.00744972
-9.9668174e-006,0.00523999
-9.9666174e-006,0.000820535
-9.9664174e-006,0.00303026
-9.9662174e-006,0.000820535
-9.9660174e-006,-0.0013892
-9.9658174e-006,0.000820535
-9.9656174e-006,-0.0013892
-9.9654174e-006,-0.00359893
-9.9652174e-006,-0.0013892
-9.9650174e-006,-0.0013892
-9.9648174e-006,-0.00359893
-9.9646174e-006,-0.00359893
-9.9644174e-006,-0.0013892
-9.9642174e-006,-0.00359893
-9.9640174e-006,-0.0013892
-9.9638174e-006,-0.00359893
-9.9636174e-006,-0.00580866
-9.9634174e-006,-0.0013892
-9.9632174e-006,-0.0013892
-9.9630174e-006,-0.00359893
-9.9628174e-006,-0.0013892
-9.9626174e-006,0.000820535
-9.9624174e-006,0.000820535
-9.9622174e-006,0.00303026
-9.9620174e-006,0.000820535
-9.9618174e-006,0.000820535
-9.9616174e-006,0.00303026
-9.9614174e-006,0.000820535
-9.9612174e-006,0.000820535
-9.9610174e-006,0.00523999
-9.9608174e-006,0.00303026
-9.9606174e-006,0.000820535
-9.9604174e-006,0.00303026
-9.9602174e-006,0.000820535
-9.9600174e-006,-0.0013892
-9.9598174e-006,0.000820535
-9.9596174e-006,-0.0013892
-9.9594174e-006,0.000820535
-9.9592174e-006,0.000820535
-9.9590174e-006,-0.0013892
-9.9588174e-006,-0.00580866
-9.9586174e-006,-0.0013892
-9.9584174e-006,-0.0013892
-9.9582174e-006,-0.00359893
-9.9580174e-006,-0.00359893
-9.9578174e-006,-0.00580866
-9.9576174e-006,-0.00580866
-9.9574174e-006,-0.0013892
-9.9572174e-006,-0.00359893
-9.9570174e-006,-0.00801838
-9.9568174e-006,-0.00359893
-9.9566174e-006,-0.00359893
-9.9564174e-006,-0.00580866
-9.9562174e-006,-0.0013892
-9.9560174e-006,-0.0013892
-9.9558174e-006,-0.00359893
-9.9556174e-006,0.000820535
-9.9554174e-006,0.000820535
-9.9552174e-006,-0.0013892
-9.9550174e-006,0.00303026
-9.9548174e-006,0.000820535
-9.9546174e-006,0.000820535
-9.9544174e-006,0.00303026
-9.9542174e-006,-0.0013892
-9.9540174e-006,-0.0013892
-9.9538174e-006,0.000820535
-9.9536174e-006,0.000820535
-9.9534174e-006,-0.00359893
-9.9532174e-006,-0.0013892
-9.9530174e-006,-0.0013892
-9.9528174e-006,-0.00359893
-9.9526174e-006,0.000820535
-9.9524174e-006,-0.0013892
-9.9522174e-006,-0.0013892
-9.9520174e-006,0.000820535
-9.9518174e-006,0.000820535
-9.9516174e-006,-0.00359893
-9.9514174e-006,0.000820535
-9.9512174e-006,-0.0013892
-9.9510174e-006,-0.0013892
-9.9508174e-006,-0.00359893
-9.9506174e-006,-0.00359893
-9.9504174e-006,-0.00801838
-9.9502174e-006,-0.00580866
-9.9500174e-006,-0.00359893
-9.9498174e-006,-0.00580866
-9.9496174e-006,-0.00359893
-9.9494174e-006,-0.00580866
-9.9492174e-006,-0.00359893
-9.9490174e-006,0.000820535
-9.9488174e-006,-0.0013892
-9.9486174e-006,-0.0013892
-9.9484174e-006,0.000820535
-9.9482174e-006,0.000820535
-9.9480174e-006,-0.0013892
-9.9478174e-006,0.000820535
-9.9476174e-006,-0.0013892
-9.9474174e-006,0.000820535
-9.9472174e-006,0.00303026
-9.9470174e-006,0.000820535
-9.9468174e-006,0.000820535
-9.9466174e-006,0.00303026
-9.9464174e-006,0.000820535
-9.9462174e-006,-0.0013892
-9.9460174e-006,0.00303026
-9.9458174e-006,-0.0013892
-9.9456174e-006,-0.0013892
-9.9454174e-006,0.000820535
-9.9452174e-006,0.000820535
-9.9450174e-006,-0.0013892
-9.9448174e-006,0.000820535
-9.9446174e-006,0.000820535
-9.9444174e-006,0.000820535
-9.9442174e-006,0.00303026
-9.9440174e-006,0.00303026
-9.9438174e-006,0.00523999
-9.9436174e-006,0.00303026
-9.9434174e-006,0.00523999
-9.9432174e-006,0.00523999
-9.9430174e-006,0.00744972
-9.9428174e-006,0.00744972
-9.9426174e-006,0.00523999
-9.9424174e-006,0.00744972
-9.9422174e-006,0.00523999
-9.9420174e-006,0.00523999
-9.9418174e-006,0.00744972
-9.9416174e-006,0.00523999
-9.9414174e-006,0.000820535
-9.9412174e-006,0.00303026
-9.9410174e-006,0.00303026
-9.9408174e-006,-0.0013892
-9.9406174e-006,0.00303026
-9.9404174e-006,0.000820535
-9.9402174e-006,0.000820535
-9.9400174e-006,0.00523999
-9.9398174e-006,0.00303026
-9.9396174e-006,0.00523999
-9.9394174e-006,0.00744972
-9.9392174e-006,0.00523999
-9.9390174e-006,0.00965945
-9.9388174e-006,0.00965945
-9.9386174e-006,0.0118692
-9.9384174e-006,0.00965945
-9.9382174e-006,0.0140789
-9.9380174e-006,0.0118692
-9.9378174e-006,0.00965945
-9.9376174e-006,0.0140789
-9.9374174e-006,0.0140789
-9.9372174e-006,0.0118692
-9.9370174e-006,0.0118692
-9.9368174e-006,0.00965945
-9.9366174e-006,0.00965945
-9.9364174e-006,0.0118692
-9.9362174e-006,0.00965945
-9.9360174e-006,0.00965945
-9.9358174e-006,0.0118692
-9.9356174e-006,0.00965945
-9.9354174e-006,0.00965945
-9.9352174e-006,0.0140789
-9.9350174e-006,0.0118692
-9.9348174e-006,0.00965945
-9.9346174e-006,0.00965945
-9.9344174e-006,0.00744972
-9.9342174e-006,0.00965945
-9.9340174e-006,0.00744972
-9.9338174e-006,0.00303026
-9.9336174e-006,0.00303026
-9.9334174e-006,0.00744972
-9.9332174e-006,0.00303026
-9.9330174e-006,-0.0013892
-9.9328174e-006,0.00303026
-9.9326174e-006,0.00303026
-9.9324174e-006,0.000820535
-9.9322174e-006,0.00303026
-9.9320174e-006,0.000820535
-9.9318174e-006,-0.00359893
-9.9316174e-006,0.000820535
-9.9314174e-006,-0.0013892
-9.9312174e-006,-0.00359893
-9.9310174e-006,0.00303026
-9.9308174e-006,0.000820535
-9.9306174e-006,-0.0013892
-9.9304174e-006,0.000820535
-9.9302174e-006,0.000820535
-9.9300174e-006,0.000820535
-9.9298174e-006,0.000820535
-9.9296174e-006,-0.0013892
-9.9294174e-006,-0.0013892
-9.9292174e-006,0.00303026
-9.9290174e-006,0.000820535
-9.9288174e-006,-0.0013892
-9.9286174e-006,0.00303026
-9.9284174e-006,0.000820535
-9.9282174e-006,0.000820535
-9.9280174e-006,0.00744972
-9.9278174e-006,0.00303026
-9.9276174e-006,0.000820535
-9.9274174e-006,0.00523999
-9.9272174e-006,0.00523999
-9.9270174e-006,0.00303026
